messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nIrish:'}]"	"""Tá lucha 4 mhí d’aois againn anois a bhíodh diaibéiteach tráth ach nach bhfuil anois,"" a dúirt sé."	"""Tá lucha ceithre mhí d'aois againn anois nach bhfuil diaibéiteach a bhí diaibéiteach tráth,"" a dúirt sé leis."
[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nIrish:'}]	De réir na comhairle a thug Dr. Ehud Ur, ollamh le leigheas in Ollscoil Dalhousie in Halifax, an Albain Nua agus cathaoirleach ar rannán cliniciúil agus eolaíochta de Chomhlachas Diaibéitis Cheanada, níl ach tús curtha leis an taighde fós.	Chuir an Dr. Ehud Ur, ollamh le leigheas in Ollscoil Dalhousie i Halifax, Albain Nua agus cathaoirleach an roinn chliniciúil agus eolaíochta de Chumann Diaibéiteas Cheanada, rabhadh go bhfuil an taighde go fóill ina laethanta tosaigh.
[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nIrish:'}]	Cosúil le roinnt saineolaithe eile, tá amhras air cibé an féidir diaibéiteas a leigheas, ag tabhairt faoi deara nach bhfuil baint ar bith ag na torthaí seo le daoine le diaibéiteas cineál 1 acu cheana féin.	Cosúil le roinnt saineolaithe eile, tá sé amhrasach faoi cibé an féidir an diaibéiteas a leigheas, ag tabhairt faoi deara nach mbaineann na torthaí seo le daoine atá ag fulaingt ó diaibéiteas Cineál 1 cheana féin.
[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nIrish:'}]	Dé Luain, d’fhógair Sara Danius, rúnaí buan Choiste Litríochta Nobel in Acadamh na Sualainne, go poiblí le linn clár raidió ar Sveriges Radio sa tSualainn, go raibh an coiste, nach raibh in ann teagmháil dhíreach a dhéanamh le Bob Dylan faoi Dhuais Nobel sa Litríocht 2016 a bhuachan. tar éis éirí as a chuid iarrachtaí chun teacht air.	Dé Luain, d'fhógair Sara Danius, rúnaí buan Choiste Nobel na Litríochta ag an Acadamh Sualannach, go poiblí le linn clár raidió ar Sveriges Radio sa tSualainn nach raibh an coiste in ann teacht ar Bob Dylan go díreach maidir leis an Duais Nobel sa Litríocht a bhaint amach sa bhliain 2016, agus go raibh siad tar éis a n-iarrachtaí teagmháil a dhéanamh leis a thréigean.
"[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nIrish:'}]"	"Dúirt Danius, ""Níl muid ag déanamh dada faoi láthair. Chuir mé glao ar a chomrádaí is dlúithe leis agus sheol mé ríomhphoist chuig an duine sin agus fuair mé freagairt an-chairdiúl dá réir. Is leor é sin cinnte faoin am seo."""	"Dúirt Danius, ""Faoi láthair nílimid ag déanamh tada. Tá glaoite agam agus ríomhphoist seolta chuig a chomhoibrí is gaire agus fuair mé freagraí an-chairdiúla. Go ceann tamaill, tá sin cinnte go leor."""
"[{'role': 'user', 'content': ""This is an English to Irish translation, please provide the Irish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.\nIrish:""}]"	Roimhe seo, dúirt Príomhfheidhmeannach Ring, Jamie Siminoff, gur thosaigh an chuideachta as smaoineamh a bhuail é nuair nár fhéad sé clog a dhorais a chloisteáil óna shiopa ina gharáiste.	Roimhe seo, dúirt POF Ring, Jamie Siminoff, gur thosaigh an comhlacht nuair nach raibh a chlog dorais le cloisteáil óna cheardlann ina gharáiste.
[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nIrish:'}]	Thóg sé cloigín dorais WiFi, a dúirt sé.	Thóg sé clog dorais WiFi, a dúirt sé.
[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nIrish:'}]	Dúirt Siminoff gur tháinig borradh faoi dhíolacháin tar éis dó a bheith le feiceáil in 2013 in eipeasóid de Shark Tank inar dhiúltaigh painéal an tseó an chuideachta nua a mhaoiniú.	Dúirt Siminoff go raibh méadú ar dhíolacháin i ndiaidh a láithrithe in eipeasóid de Shark Tank sa bhliain 2013 nuair a dhiúltaigh painéal an seó maoiniú a thabhairt don tosaitheach.
[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nIrish:'}]	Go déanach in 2017, bhí Siminoff le feiceáil ar an gcainéal teilifíse siopadóireachta QVC.	I ndeireadh 2017, bhí Siminoff le feiceáil ar chainéal teilifíse siopadóireachta QVC.
[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nIrish:'}]	Shocraigh Ring cás dlí chomh maith leis an gcuideachta slándála, Corparáid ADT, a bhí in iomaíocht leis.	Rinne Ring socraíocht ar agra dlí freisin leis an gcomhlacht slándála iomaíoch, an ADT Corporation.
