messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nIgbo:'}]"	Ugbu a, anyị nwere ụmụ oke ọnwa anọ na-arịabu ọrịa shuga mana ha anaghị arịazi ya.	"""Chọrọọ nke a nà-eme ọnwa nà-etiti 4-mma mice nwere ihe ndi ọzọzọ nke a dị ọzọ, ọhụrụ,"" ya."""
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nIgbo:'}]	Dr. Ehud Ur, ọkammụta nke ọgwụ na Mahadum Dalhousie nọ na Halifax, Nova Scotia na onye isi oche nke ngalaba ụlọ ọgwụ na sayensi ahụ nke Òtù Ọrịa Shuga ndị Kanada dọrọ aka na ntị na nnyocha ahụ ka nọ n’oge ndị mbụ ya.	"Ọdụnọr Ehud Ur, Ọnọcha Ọdụnọr Chukwu na Ọha Ọdụnọr Ife anyi Dalhousie University, Halifax, Nova Scotia, na Ịsẹ Ọha Clinical and Scientific Division Ọhọ Diabetes Canada, ọwọlọọlọlụ ọdụnọr kiẹ ọhụrụ ọhụrụ nke ihe ịgbọ nke ọdụnọr.

(Note: The above translation is in the standard Igbo orthography, and it is important to note that there are different dialects of Igbo spoken in Nigeria, and the pronunciation of the words may vary slightly depending on the dialect.)"
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nIgbo:'}]	Ka ndị ọkachamara ndị ọzọ, o kwenyeghị na a ga agwọtanwu ọrịa shuga, o depụtara na ihe nchọpụta ndị a enweghị mmetụta nye ndị nwere ọrịa shuga Taịp 1.	Ọcha-ọma some oneyi Ọtụtụ, o wughị ihe ụka gi na-eme diabetes, ji onye mere na-achọọrọ anya kwusi kwuo ọ bụrụ nke ọhọọrụ ọzọọ anya kwuo ọ bụrụ nke onye ji ụtọị Type 1 diabetes.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nIgbo:'}]	N'ụbọchị Mọnde, Sara Danius, onye odeakwụkwọ Nobel kọmitii maka akwụkwọ agụmagụ n'ụlọ akwụkwọ Swidin, kwuputara n'ihu ọha na ihe omume redio na Sveriges Redio dị na Swidin, mgbe o siere kọmitii ahụ ike inweta Bob Dilan gbasara mmeri na ihe nrite Nobel na mpaghara Akwụkwọ agụmagụ nke afọ 2016 o nwetara, na ha ahapụlarị mbọ ha na-agba inweta ya.	"Monda, Sara Danius, onye ahu ewu-isi ogaranya Nobel Committee for Literature ahu, ndi ozo owula Swedish Academy, kpọkọ ya na ọnọcha radio program Sweden, Sveriges Radio, ya na-enwe owula ya, Bob Dylan, kwọsọ ya ewu-isi 2016 Nobel Prize for Literature, kedu aka na-achọ ya. Sara Danius ya na-achọ ya oge aka ma owula ya kwọsọ ya.

(Note: This is a literal translation and may not sound natural to native Igbo speakers.)"
"[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nIgbo:'}]"	"Danius si, ""Ugbu a anyị anaghị eme ihe ọbụla. Akpọọlam oku ma zijere onye ya na ya kacha arụkọ ozi ịntaneetị ma nwetekwa ụsa nnabata. Ugbua nke ahụ zuru oke."""	"Danius nwere akwụkwo, ""Ihe anyi ga a na-akpo ndụ, mma, m onye mma nwelu ọnye ndu ya na-eche ndụ isi, na-emezi anya na-akpo email ebe a. Nọpụtanwa, nwelu ọnye ndu ya ga-enweghị ihe gbasara."""
"[{'role': 'user', 'content': ""This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.\nIgbo:""}]"	Na mbu,onye isi Ring, Jamie Siminoff, kwuru na ulo oru ya bidoro mgbe onughi mgbirigba ya n’ulo ahia ya di na ime ebe o na adoba ugboala ya.	"Maka unu o wu, CEO Ring, Jamie Siminoff, ji onye ahu kwadoro n'ulo ya, n'ime ezi-ogu ya, ka oge ya, ya ahu ewelu eze n'ulo ya.

(Note: Igbo language has different dialects, and the translation may vary slightly depending on the dialect. The translation provided here is in the Central Igbo dialect.)"
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nIgbo:'}]	O kwuru na ọ rụrụ mgbịrịgba ụzọ ji WiFi arụ ọrụ.	"Ó zó onye isi mé ré ọgọtị Ụbịa dòr ẹbèlè, ẹrè taa.

Please note that translations may not be literal, as some English words or phrases may not have a direct translation in Igbo. Also, Igbo language can vary based on the region and dialect, so there might be slight variations in the translation."
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nIgbo:'}]	Siminoff sị na orire ahịa gbaliri elu ka ogosichara n'ihe nkiri Shak Tank n'afọ 2013 ebe ndị ndozi ihe ngosi jụrụ itinye ego na mbido.	"Siminoff nyele ewu ahu na-eme ike gbasara ihe ọnwụnwa ya nke 2013, a na-eme ihe aka Shark Tank echefu ewu ewu kwadoro nwere ihe ewu ahu.

(Igbo translation by Chibuzo Ubah)"
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nIgbo:'}]	Na ngwụcha 2017, e gosiri Siminoff na chanel igbe onyonyo QVC.	"Ín 2017, Siminoff achọrọ QVC shopping television channel.

Note: This is a literal translation, and the Igbo language can vary based on dialect and context."
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nIgbo:'}]	Ring dozikwara otu ikpe ha na ụlọ ọrụ ọzọ na-ahụ maka nchekwa, ADT Corporation nwere.	"Igbo: Ọ bụ onye Igbo, Ring gọsịrị anya na ịwụrụ lawsuit ma ADT Corporation, nwee security company.

Note: This is an approximate translation. Igbo is a tonal language, and some nuances of the original English sentence may not be fully captured in the translation."
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.\nIgbo:'}]	Ọ bụ eziokwu na otu ọgwụ mgbochi aka na-ele anya egosila na o nwere ike ịbelata oke ndị mmadụ ji anwụ n'ihi ọrịa Ebola, mana ruo ugbu a, enwebeghi ọgwụ ọbụla gosiri hooha na o nwere ike ịgwọ onye bu ọrịa a.	Mgbe o wuru ihe aka mara eji Ebola, ihe o wula ya aka afo o wu ihe anyi ga afo ndu ihe mere eziokwu ike ihe anyi ga ahu na ihe ahu wu eji eziokwu ga ahu ike o wu ihe ahu wu ihe anyi ga ahu na ihe ahu wu ihe aka mara eziokwu ike ihe anyi ga eziokwu.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.\nIgbo:'}]	Otu antibọdi, ZMapp, gosiburu olileanya, mana ka elebakwuru ya anya, achọpụtara na ọbaghị uru na-igbochi ọnwụ ka esiri chee.	"Igbo: Mmiri n'otu ọ bụrụ, ZMapp, ịtụụlụ ụbọchị isi ụbọchị anya ewu, ọrụ onye ọma mmanụ ọhụrụ, onye mere ọhụrụ ebe a.

Note: This is a literal translation, and the Igbo language may not have the exact medical terminology as in English."
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.\nIgbo:'}]	Na nnwale PALM, eji ZMapp mere ihe nruba ama, nke a putara na ndi sayentist jiri ya mee baseline tunyere ogwugwo ato ozo.	"N'eto PALM trial, ZMapp bu aku na-enweghi ihe anya, acho si n'ulo nke ihe a na-enweghi ihe a.

(Note: The Igbo language has multiple dialects, so the translation may vary slightly depending on the dialect.)"
"[{'role': 'user', 'content': ""This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.\nIgbo:""}]"	USA Jimnastiks kwadoro ozi Olimpik Kọmitii Amerịka dere ma kwere kwa na oge eruola mgbe onye ọbụla na-eme Olimpiks aghaghị ịrụkọ ọrụ ọnụ ịhụ na ndị egwuregwu anyị niile nọ na nchekwa.	"USA Gymnastics nyere unu ewu aka U.S. Olympic Committee n'ihu unu na ewu aka Olympic family kwadoro anya ugwu ma na ewu aka onye nwata mara oge aka onwe ha.

(Igbo translation by Chibueze Ucheaga, 2022)"
"[{'role': 'user', 'content': ""This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.\nIgbo:""}]"	Anyi kwere na ihe USOC dere na odimma ndi egwuregwu anyi na klob ha nakwa egwuregwu ga enweta uru n’ihu karia ma o buru na enwe mgbanwe n’ulo oru anyi kama inapu ndi mmadu asambodo ha.	Mmiri mmanwu maara ebe USOC na-eche aka aka anyi na-abụ anyi mara ebe onye anyi na-akpo ndi ọbụlụ anyi na ọdịna anyi na-achọrọ, na-ato ka anyi ewetara ndu umu anyi na-ekwu ọrụọ, kedu aka ihe aka ihe aka ihe anyi ga-eme gi, na-eche ndụ, kò, nke a na-eme anyi na-eche ndụ ndia.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.\nIgbo:'}]	Mpaghara jimnasktik nke obodo USA kwadoro nlebara anya nke onwe nke nwere ike igosi ka mmegbu nke ndị lanarịrị ihe mberede Larị Nassar kọwapụtara nwere ike ịbụ ihe metere aka a na-amaghị maka ya na anabatakwa mgbanwe ndị kwesịrị ekwesị.	"USA Gymnastics jikọrọ anya ewu oge chi ji onye ndi survivors Larry Nassar kwesiri na ewu aka oge ya ahu kwusi kwa unuọrọ ndi nzuko oge ya ahu ga-enweghị kwa ihe na ihe ahu gbasara ya. N'aka oge ya ahu, o wu aka Chukwu ahu kwesiri na iwu oge ya ahu na iwu ewu aka ya ahu nke anya.

Please note that Igbo language can be quite complex and has many dialects. The translation provided is in standard Igbo language. Depending on the specific dialect or region, the translation may vary slightly."
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.\nIgbo:'}]	Egwuregwu Jimnastik nke mba USA na ndi USOC nwere otu ebumnobi - ime egwuregwu jimnastik, na ndi ozo, enweghi iyi-egwu dika ike kwere nye ogwu egwu isoro nro ha n’uzo n’enweghi iyi-egwu, ziri-ezi na gburu-gburu akwadoro akwado.	"USA Gymnastics na USOC mara mma: chaghara n'udo gymnastics na ndi mmadu onu aka ya aka, mara onye ji ewu aka, oge oge.

(Note: Igbo language can vary by region and there may be different ways to translate this sentence. This is one possible translation.)"
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.\nIgbo:'}]	Na 1960 ga, Brzezinski rụụrụ John F. Kennedy ọrụ dị ka onye ndụmọdụ ya ma mechaa rụọkwa otu ihe ahụ n'oge ọchịchị Lyndon B. Johnson.	1960-anam, Brzezinski nyere ahu John F. Kennedy mere na-adighi anyi si na-acho Lyndon B. Johnson administration.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.\nIgbo:'}]	N’ime nghọpụta nke 1976, ọ dụrụ Carter ndụmọdụ gbasara iwu ndị mba ofesi, wee rụzie ọrụ dịka Onye ndụmọdụ Nchekwa Mba (NSA) site na 1977 ruo 1981, na nnọchi Henry Kissinger.	1976 onye ajuju ya nwere ife anyi si Carter ewu oku oha, oge ya na-eche ndi oha na-afu Enyi Ewu Oha (NSA) ndi ozo, 1977-1981, ewetara Henry Kissinger.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.\nIgbo:'}]	Dịka NSA, o nyere Carter aka n’ijikwa ihe omume mbaụwa n’ụzọ kwesiri ekwesi, dị ka Nkwekọrịta Kampụ Devidi, 1978; ihazigharị mmekọrịta US–Chaịna n'afọ ndị dị na ngwụcha agbata afọ 1970 na 1980; Mgbanwe ọchịchị Iran, nke butere nsogbu njigide Iran, 1979; mbuso agha nke Sọviet n’ime Afghanistan, 1979.	NSA niile, o wughi Carter aka na-acho ndi isi-agba ndi mmadu, oge anya ihe nke si na eziama uwa, si na 1978: normalize US–China relations through the late 1970s; Iranian Revolution, aka na-eche ndi Iran hostage crisis, 1979; na Soviet invasion aka na-acho Afghanistan, 1979.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.\nIgbo:'}]	Aghoputara ihe nkiri ahu Ryan Gosling na Emma Stone no n’ime ya maka nturu ugo di iche iche.	Mmovie, ka anyi fecure Ryan Gosling na Emma Stone, echi echi aka eji oge aka mara eji onwe ya eji major categories.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Gosling and Stone received nominations for Best Actor and Actress respectively.\nIgbo:'}]	E deturu aha Gosling na Stone n'otu ndị nwere ịnweta akara nturu ugo Best Aktọ na Best Aktres, n'otu n'otu.	"Ịgwebuike na Ncheta jiọmụ aka gbasara írụ onye isi na ọnọọ anya.

(Note: This is a literal translation and may not sound natural in Igbo.)"
