messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for these sentences:\nEnglish: Accepted were Aristotle\'s views on all matters of science, including psychology.\nSouthern Pashto: د ارسطو نظرونه د ساینس په ټولو چارو کې د ارواپوهنې پشمول منل شوي دي.\nEnglish: In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.\nSouthern Pashto: په لومړیو ورځو کې خپرونه یواځې د اوږد مهاله چلیدونکې د انترنیت رادیو په پاڼه Toginet رادیو کې مطرح کیده چې دا یوه پاڼه وه چې د راډیوي خبرو باندې یې تمرکز درلود.\nEnglish: A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.\nSouthern Pashto: یوه دوه ګونې شمېره له دوو قدرونو څخه یواځې یو لرلې شي یعني 0 یا 1، او دغه شمېرو ته د کمپیوټرو په خپله ژبه باینري ډیجټس - یا بټس، ویل کیږي.\nEnglish: Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world\'s population.\nSouthern Pashto: مهرباني وکړئ په یاد ولرئ چې تاسو په حقیقت کې د یو ډله ییز قبر ځای ته ورغلي یاست، چې هم داسې ځای دی چې د نړۍ د پام وړ یوې برخه لپاره تقریبا د نه کېدونکې اندازې معنا لري.\nEnglish: The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.\nSouthern Pashto: په جیزه کې ستر هرم یو له اوه عجایبو څخه دی چې اوس هم پخپل ځای ولاړ دی.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nSouthern Pashto:'}]"	"هغه زیاته کړه ""چې اوس موږ د ۴ میاشتو زوړ موږکان لرو چې غیر شکرې ناروغ دي چې د شکرې ناروغي درلوده، هغه زیاته کړه. """	"زه دوه چار ماهه کې وکړ شوي ماوش دا دارم چې په قبل دیابیتکي وو، پر دغه د دیابیت وختونه نه دي.

Please note that the translation is provided in Southern Pashto dialect, and the translation may differ slightly in other Pashto dialects."
"[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for these sentences:\nEnglish: It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.\nSouthern Pashto: دغه جنګ راتلونکو 40 کالو پورې ودرلود او دا جګړه د افریقا څخه تر اسیا، افغانستان، کیوبا او نورو ډېرو ځایونو کې په جنګي میدانونو کې په حقیقي ډول، په نیابتي ډول، ترسره شوه.\nEnglish: ""They are cooler than the surrounding surface in the day and warmer at night.\nSouthern Pashto: د ورځې هغوۍ د خپل شاوخوا سطحې په پرتله یخ او د شپې ګرم وي.\nEnglish: Such things have become separate disciplines, which focus on providing solutions to real life problems.\nSouthern Pashto: دا ډول شیان جلا نظم ته اړتیا لري کوم چې د حقیقي ژوند ستونزو ته حللارې پيداکوي.\nEnglish: Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.\nSouthern Pashto: د شلمې پیړۍ څیړنې ښیې چې دوه ډوله جینیټیکي تغییرات شتون لري: پټ او څرګند\nEnglish: All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today.\nSouthern Pashto: ټول څیزونه د پام وړ دي، مونږ باید حیران نشو که چیرته زمونږ نیکونو خپل د ""پروټین ستونزې"" کټ مټ لکه نن چې بیزوګانې په دښتو کې کوي.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nSouthern Pashto:'}]"	داکتر ایهود اور په هالیفاکس په دالهوسی پوهنتون کې د طب پروفیسور، نووا سکوشیا او د شکر ناروغۍ کانادایی اتحادیې د کلنیکي او ساینسي برخې مشر خبرداری ورکړی چې څیړنه لا تراوسه په لومړیو ورځو کې ده.	دکتر اهود ار، د دلهاوزی يونيورسټي په دوكتر براعت دا خواه د هليفاکس نوښه د نوفا سكوچيا په طب براعت ډول دا او د کنډيان ديابیتس اسوسياسيون کل د کلنيکل او سائنسي ديوډيشن کې چيرته وارسوال شوي، دا تحقیق لمراض ده وي.
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for these sentences:\nEnglish: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.\nSouthern Pashto: په دغه ریاست کارکوونکو څخه د اکثرو هره وځنۍ ژبه هم اطالوي خو په مذهبي رسوماتو کې لاطیني کارول کیږي.\nEnglish: For the Springboks, it ended a five-match losing streak.\nSouthern Pashto: د SpringBoks لپاره دې د پنځو لوبو د بایللو د لړۍ ختمه کړه\nEnglish: Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.\nSouthern Pashto: دا ادعا کيږي چې څارويو د ځینو پالنه کړې ده؛ ویل کیږي چې ځینې یې پخپله په ځنګل کې ژوند کړی دی.\nEnglish: Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.\nSouthern Pashto: مشهورو لوبو کې فوټبال، باسکیټبال، والیبال، واټر پولو، فینسي، رګبي، سایکلینګ، آیس هاکي، رولر هاکي او د F1 موټرو ریسینګ شامل دي.\nEnglish: It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).\nSouthern Pashto: دا د سوېلي افریقا مرکزي راښکونکو ځایونو څخه یو دی او دا د سوېلي افریقا قامي پارکونو (سېنپارکس) سره تر ټولو مهم پارک دی.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nSouthern Pashto:'}]	لکه د بعضې نورو متخصیصینو په شان، هغه په شک دې چې آیا د شکرې ناروغي به د تداوۍ وړ وي او که نه. که څه هم دا موندنې د هغو خلکو پورې اړه نلري چې له وړاندې اوله درجه د شکرې رنځ لري	په دغه کارروای کارو کیږي چې دا ډیابیتس کې په شمار دی کسانو کې په یو بار به خبر وکړی چې دا د ډیابیتس د علاج کې شک دی، د دې پوه نکات باندې لري چې دا به خبر وکړی شو دی د نوم د ټایپ 1 دا خبرونو کې نه دی.
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for these sentences:\nEnglish: Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.\nSouthern Pashto: په شمال کې لویې سیمې د ډیر لږ نفوس لرونکي دي او ځینې یې بې ځایه دښته دي۔\nEnglish: In the warm climate of the Middle East, the house was not so important.\nSouthern Pashto: د مرکزي ختیځ په ګرم اقلیم کې، کورونه ډير مهم نه وو.\nEnglish: If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.\nSouthern Pashto: که هغه هېواد چې تاسو چکر وروهئ په اړه سفري تنبیهي سلاوو ورکړل شي، نو کېدې شي سفر کې د ستاسو صحي بیمه یا د ستاسو د دورې د کېنسل کېدا بیمه اغېزمنه شي.\nEnglish: Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.\nSouthern Pashto: حتی په دودیز ډول، که څه هم، ټول سومي په لویه کچه رینډیر پالنه کې دخیل ندي، مګر د کب نیولو، ښکار کولو او ورته څخه ژوند کولو، رینډیر د یوې څاروي په توګه پیژندل شوې.\nEnglish: German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.\nSouthern Pashto: المانۍ پېسټرۍ کافي غوره دي، او په باوېریا کې، د دوی سوېلي ګاونډي اتریش یعني آسټریا ته ورته، تر کافي حده غني او مختلفې دي.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nSouthern Pashto:'}]	د دوشنبې په ورځ Sara Danius په سویدني اکادمۍ کې د ادبیاتو لپاره د نوبل کمیتې دایمې سکرترې په سویدن کې د Sveriges Radio د رادیو پروګرام له لارې عام اعلان وکړ چې کمیتې ددې له وجې چې په مستقیم ډول په ادبیاتو کې د کال 2016 د نوبل جایزې د ګټلو په اړه Bob Dylan ته رسیدلو کې پاتې راغلي، هغې ته د رسیدلو په پار خپل کوښښونه درولي دي.	په منگل کې، سوید کټرین نوبل کمیټی لیترچر کی سرپرست سارا دانیوس په سوید کټرین سویرژ رادیو کی یوټو د کمیټی په 2016 نوبل پرستش لیترچر نوبل پریز برون کولو وغوره کرول دا، کومیټی بوب دایلن ته دریافت کولو نه توکل کوي، د کمیټی نوبل پرستش لیترچر ته د کمیټی پر ورکړ کولو خبردار کړل.
"[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for these sentences:\nEnglish: This means you can visit the historic city for a couple of full days while returning and sleeping on the ship at night.\nSouthern Pashto: ددی مطلب دادی چی تاسی کولای شی ددی تاریخی ښار څخه د دوه ورځو لپاره لیدنه وکړئ. اړینه ده چی د شپی د خوب لپاره بیرته خپلی کښتۍ ته راوګرځئ.\nEnglish: Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.\nSouthern Pashto: پولیسو وویل چې دوی شک لري چې تش په نامه داعش (ISIL) وسله وال د بريد پړه پر غاړه اخیستې ده.\nEnglish: Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.\nSouthern Pashto: چارواکي اټکل کوي چې دا په ګوته کوي چې په دغه ځای کې کانټینرونه چې د یورانیم خشاک لري کيدې شي چې مسموم شوي وي او یا به ترې ليکيج کيږي.\nEnglish: In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.\nSouthern Pashto: سره له دې، خبر ووسئ چې بویونه میلوګان او نور ځنګلي ژوي راښکي، نو بوی لرونکي خواړه ګرځولو یا پخولو څخه ډډ وکړئ او کېمپ پاک وساتئ.\nEnglish: When you call someone who is thousands of miles away, you are using a satellite.\nSouthern Pashto: کله چې ته یو چاته ټیلیفون کوي چې هغه له تا څخه زرګونه میله لرې وي نو تاسې له سټلایټ استفاده کوئ.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nSouthern Pashto:'}]"	"دانیوس وویل "" اوسمهال موږ څه نه کوو. ما د هغه ډیر نژدې ملګري ته تلیفونونه او ایمیلونه کړي او د هغې څخه مې ډیر دوستانه ځوابونه ترلاسه کړي، د اوس لپاره دا په ښکاره ډول کافي ده"""	"دانيوس وویل، ""حال حاضر زه هیچ شي نه وکړئم. ما په دغه کاروان کولای د برید کې ته د دوستی د بلند همکار د برید وکړئ او له دوی کولای به خوبی پورتال ورکړئ. بلکه له دې به ترسره خبره وکړئ."""
"[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for these sentences:\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nSouthern Pashto: هغه زیاته کړه ""چې اوس موږ د ۴ میاشتو زوړ موږکان لرو چې غیر شکرې ناروغ دي چې د شکرې ناروغي درلوده، هغه زیاته کړه. ""\nEnglish: Wagonways were built in England as early as the 16th Century.\nSouthern Pashto: په انګلستان کې د رېړیو لارې دومره وخت وړاندې چې په 16مه پېړۍ کې جوړې شوې وې.\nEnglish: Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.\nSouthern Pashto: ډير مرګونه د ستړیا په پایله کې پیښیږي کله چې دوی د څپې په وړاندې د بیرته لامبو وهلو هڅه کوي، چې دا يوه ناممکنه خبره کيدې شي.\nEnglish: Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.\nSouthern Pashto: که څه هم ساهیلانتروپس ښايي 70 لکه کاله وړاندې په دوو پښو تللي وي، خو د استرالوپیتاکس فوسیلونو کې موندل شوي دوی 4.2 څخه تر 3.9 ملیون کاله وړاندې په دوه پښو تللو سره ځانګړې اموختیا درلودله.\nEnglish: Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.\nSouthern Pashto: د ماليې ورکولو پرته سودا اخيستل يو فرصت دی چې په هغه ځینو سيمو کې توکي واخلئ چيرې چې توکې له ماليې او محصول څخه معاف شوي وي.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring\'s CEO, Jamie Siminoff, remarked the company started when his doorbell wasn\'t audible from his shop in his garage.\nSouthern Pashto:'}]"	وړاندې له دې، د رینګ اجراییه رییس جیمي سیمیناف څرګندونه کړې وه چې دده شرکت هغه وخت پیل وکړ چې د دروازې زنګ یې له دوکان څخه دده په ګراج کې نه اوریدل کېدل.	په سبق کې، رینگ کېو CEO، جیمی سیمیناف، دروازه کې نه سماندل شوي د خپل دکان کې د خپل گراج کې د شریکت پرته کړې خبردله.
"[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for these sentences:\nEnglish: Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents\' rejection of a child\'s severe intellectual or physical impairment.\nSouthern Pashto: داسې ماشومانو ""وحشي"" یا ځنګلي یادېږي. ځینې وحشي ماشومان د خلکو (معمولاً د خپلو والدینو) له لورې محدود شوي؛ په ځینو پیښو کې د ماشوم مخنیوی د والدینو له لورې د ماشوم د اړینې ذهني یا فزیکي خرابۍ په اړه د والدینو د نارضایت له وجې کیږي.\nEnglish: NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.\nSouthern Pashto: نیکسټجن (NextGen) د FAA د ادعاوو یو سیسټـم دی تر څو جهازونه په لنډو لارو الوت ته وادار کړي او میلیونونه ګیلنه تیل هر کال بچت او د کاربن خپرول کم کړي.\nEnglish: Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.\nSouthern Pashto: دغه شان، د شنګن ویزه لرلو په برکت، تاسو نه اړ کېږئ چې د شنګن هر یوه غړي هېواد ته د ویزا خواست ورکړئ، نو دغه د وخت، پیسو، او د کاغذي کاروايئ څخه بچ کېږئ.\nEnglish: Earlier this week, a police helicopter crash killed three people and wounded three more.\nSouthern Pashto: ددی اوونی په پیل کی د پولیسود هیلی کاپتر یوی حادثی د دری کسان وژلی او دری نور ټپیان کړی وه\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nSouthern Pashto: د عمومي څارنوالۍ رییس، کییر سټارمیر کیو سي (Kier Starmer QC) نن سهار یوه اعلامیه خپل ځان د دواړو هوهنو او پریس (Huhne and Pryce) څارنوال اعلان کړل.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nSouthern Pashto:'}]"	هغه د وائي فائي دروازې زنګ جوړ کړو، هغه وویل.	دوی یو وای فای د دور کرک خوړل، خبر کول. (He built a WiFi door bell, he said.)
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for these sentences:\nEnglish: There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.\nSouthern Pashto: اوس هم ګڼ شمېر سړي او ښځې شته چې هلته خپل وخت کې ژوندي پاتې شوي و، او ډېر شته چې ګران خپلوان يې هلته وژل شوي ول یا په کار کار يې مرګ ته رسولي ول، چې دواړه یهودیان او غېریهودیان پکې شامل و.\nEnglish: Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.\nSouthern Pashto: د خپور شوي سرعت محدودیتونه د تیرو او ورپسې برخو څخه د پام وړ ټیټ دي — په عمومي ډول ۴۰-۳۵ میل فی ساعت (۵۶-۶۴ کلومتره/سعت) — او د دوی په سختي سره اطاعت د له بل پلوه خورا مهم دی.\nEnglish: They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.\nSouthern Pashto: هغوۍ دا وموندل چې لمر د نورو ستورو په شان په اساسي اصولو باندې فعالیت کوي: دا وموندل شول چې په نظام کې د ټولو ستورو چارې د هغوۍ د رڼا د انعکاس او تناوب له وجې سرته رسیږي نه چې د نورو شیانو له وجې.\nEnglish: Apia was founded in the 1850s and has been the official capital of Samoa since 1959.\nSouthern Pashto: 1850 کې د آپیا مدراب کېښول شو او 1959 راهیسې د سامووا رسمي پلازمېنه ده.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nSouthern Pashto: د عمومي څارنوالۍ رییس، کییر سټارمیر کیو سي (Kier Starmer QC) نن سهار یوه اعلامیه خپل ځان د دواړو هوهنو او پریس (Huhne and Pryce) څارنوال اعلان کړل.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nSouthern Pashto:'}]	سمینوف وویل چې د هغه د شارک ټینک په خپرونه کې د څرګندیدو وروسته چیرته چې د خپرونې ټیم د نوي شروع شوي تجارت د تمویلول ودرول خرڅلاو زیات شو.	سیمینوف وویل: 2013 کی شرک کار د شارک ٹینک وروسته کیدو په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه په په کارنګه 
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for these sentences:\nEnglish: The Amazon is also the widest river on Earth, at times six miles wide.\nSouthern Pashto: ایمازان د نړۍ تر ټولو زیات پلن دریاب هم چې ځنه وخت شپږ میله پلن شي.\nEnglish: Fruit pastries are common, with apples cooked into pastries year round, and cherries and plums making their appearances during the summer.\nSouthern Pashto: د میوو پیستري عام دي، د مڼو سره چې د کال په اوږدو کې پیستري کې پخه شوي، او چیري او پلمه د دوبي په جریان کې خپل ظهور کوي.\nEnglish: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.\nSouthern Pashto: د پولیسو مطابق امکان نلري چې هغه موټر چلوونکی چې انځورګر یې وهلي د جرمي سزا سره مخ شي.\nEnglish: Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.\nSouthern Pashto: رابین اوتپا په ۴۱ بالونو د 11 څلوریزو او ۲ شپږیزو په مرسته ۷۰ منډې د اننګز ترټولو ډیرې منډې جوړې کړې.\nEnglish: Virtual team members often function as the point of contact for their immediate physical group.\nSouthern Pashto: په انټرنټ د مجازي ډلو غړي اکثره وخت خپل نږدني فزیکي ډلې سره د رابطې نقاطو په توګه کار کوي.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nSouthern Pashto:'}]	د 2017 کال په وروستیو کې سیمینوف د QVC د پیرلو په چینل کې را څرګند شو.	د لاته 2017 کې، سیمینوف قواچه تلویزیون کانال QVC په پلټ دریافت کړل.
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for these sentences:\nEnglish: Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.\nSouthern Pashto: داسې ځای هدف وګرځوه چېرې چې تاسو بیا ګېر نه شئ یا، خو دې ته په کتو چې ستاسو هنرونه څومره ښه دي او ایا تاسو چا ته په نظر راغلي یاست یا نه، کولای شئ ژغورل کېدا پورې انتظار وباسئ.\nEnglish: Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.\nSouthern Pashto: کومو، 53، خپله حکومتداري ددې کال په پیل کې پیل کړله او په تېره میاشت کې یې یو بیل پاس کړ چې له مخې همجنس سره واده قانوني وګڼل شو.\nEnglish: Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.\nSouthern Pashto: ښځو په حویلۍ کې اشپزي کوله، دوکانونه تازه خلاص شوي وو او سړکونه یې څارل، تیږې د کورونو جوړولو لپاره کاریدل.\nEnglish: Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.\nSouthern Pashto: نن سبا ډېر سامي په جدیدو تجارتونو کې کارونه کوي. سپامي، د سامي سیمه، کې سېلګري د عایداتو مهمه سرچېنه ده.\nEnglish: For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.\nSouthern Pashto: د مثال په توګه، نارت کېرولاینا کې بېنټ سکول هر کال د هېواد پلازمېنې ته د چکر په اړه یو ویب سایټ ډیزاین کوي، هر کال ویب سایټ په بله بڼه جوړول کیږي، خو پخوانۍ نسخې يې د یادښتې دفترچو په حیث انلاین ساتل کیږي.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nSouthern Pashto:'}]	د Ring د خپل امنیتي سیال شرکت ADT Corporation د حقوقي دعوې پیسې هم ورکړې.	د Ring هم د ستاسو دریافتور د امنیت کمپانی سره، ADT کورپوریشن کې یو جریمه د په بله ویروستل کیږي.
