messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nHausa:'}]"	“Yanzu muna bera mai watanni 4 wadanda ba su da ciwon sukari ba wadanda ke da suke fama da ciwon sukari,” in ji shi.	"""Yanzu muna da beraye masu watanni hudu da haihuwa wadanda ba sa fama da ciwon suga wadanda a da suke da ciwon suga,"" ya kara da cewa."
[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nHausa:'}]	Dokta Ehud Ur, farfesan magani a Jami’ar Dalhousie da ke Halifax, Nova Scotia kuma shugaban sashen likitanci da bangaren kimiyya na kungiyar masu ciwon sikari ta Kanada ya yi gargadin cewa har yanzu binciken yana kan farkonsa.	Dr. Ehud Ur, farfesa a fannin likitanci a Jami'ar Dalhousie da ke Halifax, Nova Scotia kuma shugaban sashen bincike na kimiyya da na asibiti na Kungiyar Ciwon Sugan Kanada ya yi gargadi cewa binciken har yanzu yana matakin farko.
[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nHausa:'}]	Kamar wasu ƙwararrun, yana da shakkun cewa ko za a iya warkar da ciwon sukari, inda ya bayyana cewa sakamakon bincike ba shi da alaƙa da mutanen da tuni su ke da nau’in ciwon sukari na 1.	Kamar wasu masana, shi ma yana da shakku akan ko ciwon suga za a iya warkarwa, yana lura cewa wadannan bincike ba su da alaka da mutanen da suka riga suka kamu da ciwon suga na nau'in farko.
[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nHausa:'}]	A ranar Litinin, Sara Danius, sakatariyar dindindin ta Kwamitin Adabi na kungiyar nagartattu a Kwalejin Nazarin Sweden, ta sanar a bainar jama'a yayin wani shirin rediyo a Sveriges Radio a Sweden kwamitin, ba zai iya kaiwa ga Bob Dylan kai tsaye ba game da lashe kyautar Nobel ta 2016 a Adabi, ta yi watsi da ita kokarinta na isa gare shi.	A ranar Litinin, Sara Danius, sakatariyar dindindin ta kwamitin Nobel don Adabi a Swedish Academy, ta sanar da jama'a a shirin rediyo a kan Sveriges Radio a Sweden cewa kwamitin, bayan kasa samun Bob Dylan kai tsaye game da lashe kyautar Nobel ta Adabi ta shekarar 2016, ya daina kokarin tuntubar shi.
"[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nHausa:'}]"	Danius ya ce, “Yanzu haka ba mwa yin komi. Na kira na kuma aika emails zuwa abokan aikinsa na kusa na kuma anshi amsoshi masu kyau. A yanzu haka, wannan bai isa ba.”	"Danius ya ce, ""A yanzu ba mu yi komai ba. Na kira kuma na aika imel zuwa ga abokin aikinsa mafi kusa kuma na samu amsoshi masu kyau. A yanzu, hakan ya isa tabbas."""
"[{'role': 'user', 'content': ""This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.\nHausa:""}]"	A baya, Shugaban kamfanin Ring, Jamie Siminoff, ya bayyana cewa kamfanin ya fara lokacin da ba a jiyo sauti kararrawar jikin ƙofar sa daga shagonsa a cikin garejinsa.	A baya, Shugaban Ring, Jamie Siminoff, ya lura cewa kamfanin ya fara ne lokacin da kararrawar kofarsa ba ta ji daga shagonsa a cikin garejin gidansa.
[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nHausa:'}]	Ya ce, ya gina ƙararrawar ƙofa ta WiFi.	Ya gina kararrawar ƙofar WiFi, ya ce.
[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nHausa:'}]	Siminoff ya ce tallace-tallace sun bunkasa bayan bayyanarsa a 2013 a cikin wani taron fim na Shark Tank inda taron kwamitin ya nuna ba da tallafin farawa.	Siminoff ya ce tallace-tallace sun karu bayan bayyanarsa a wani shirin Shark Tank na shekarar 2013 inda alkalan shirin suka ki tallafawa kamfanin da jari.
[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nHausa:'}]	A ƙarshen 2017, Siminoff ya bayyana a tashar telebijin mai sayarwa ta QVC.	A karshen shekarar 2017, Siminoff ya bayyana a tashar talabijin ta sayar da kayayyaki QVC.
[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nHausa:'}]	Ring ta kuma sasanta takardar kotu tsakanin wata kamfanin adawa na tsaro wato ADT Corporation.	Ring ma ya daidaita ƙarar da kamfanin tsaro mai gasa, ADT Corporation.
[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.\nHausa:'}]	Yayinda allurar gwaji rigakafi guda daya ta bayyana tana iya rage mutuwar cutar ta Ebola, har zuwa yanzu, babu wasu kwayoyi da aka nuna da suka dace da maganin cututtukan da suke kamuwa da su.	Duk da cewa akwai allurar gwaji guda daya da ke iya rage mace-macen cutar Ebola, har zuwa yanzu, babu magungunan da aka tabbatar da cewa sun dace da magance cutar da ke akwai.
[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.\nHausa:'}]	Wani hadaddiyar giyar, ZMapp, da farko ya nuna alƙawari a fagen, amma nazarin yau da kullun ya nuna cewa ba shi da fa'ida fiye da yadda ake neman hana mutuwa.	Magungunan garkuwar jiki guda daya, ZMapp, da farko sun nuna alamar tasiri a aikace, amma binciken da aka yi bisa ka'ida ya nuna cewa suna da amfani kasa da yadda ake bukata wajen hana mutuwa.
[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.\nHausa:'}]	a nan gwajin PALM, ZMapp yayi bauta a wajen kula, hakan na nufin masana fasaha sun yi amfani da shi a matsayin kasan idan ka kimanta da hanyoyin guda uku nashi.	A gwajin PALM, an yi amfani da ZMapp a matsayin sarrafawa, ma'ana masana kimiyya sun yi amfani da shi a matsayin tushe kuma sun kwatanta sauran magunguna uku da shi.
