messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Central Kurdish translation, please provide the Central Kurdish translation for these sentences:\nEnglish: Accepted were Aristotle\'s views on all matters of science, including psychology.\nCentral Kurdish: ڕوانگەکانی ئەریستۆ لەسەر هەموو بوارەکانی زانست، بە دەروونناسیشەوە پەسەندکرابوون.\nEnglish: In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.\nCentral Kurdish: لە ڕۆژەکانی سەرەتایدا، بەرنامەکە بە تایبەتی جەختی کردبۆوە سەر ماڵپەڕی ڕادیۆیی سەر ئینتەرنێت بەناوی تۆگینێت رادیۆ، ماڵپەڕێك تەنها بۆ بەرنامەی قسەکردن لەسەر ڕادیۆ.\nEnglish: A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.\nCentral Kurdish: ژمارەیەکی باینەری (سفر یەك) تەنها یەك بەهای هەیە، واتە یان ٠ یان ١، ئەم ژمارانەش پێیان دەوترێت ژمارەی دووانی- یان لەتە ژمارە (بیت) کە لە زاراوەی کۆمپیوتەرسازیدا بەکاردێت.\nEnglish: Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world\'s population.\nCentral Kurdish: تکایە ئەوەت لە یاد بێت کە تۆ لە بنەڕەتدا سەردانی شوێنێکی گۆڕە بەکۆمەڵەکان دەکەیت، هەروەها شوێنێک کە مانایەکی بێهاوتای هەیە بۆ بەشێکی بەرچاوی دانیشتوانی جیهان.\nEnglish: The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.\nCentral Kurdish: هەرەمی گەورە لە گیزە یەکێکە لەو حەوت سەرسوڕهێنەرەکەی جیهان کە تا ئەمڕۆ ماوە.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nCentral Kurdish:'}]"	"""ئێستا مشکێکی تەمەن 4 مانگانەمان هەیە کە شەکرەی نیە کە پێشووتر شەکرەی هەبوو،"" زیاتر ووتی."	"""ئێستا مان مێشکی چوار مانگەمان هەیە کە نەخۆشی شەکرەیان نییە و پێشتر نەخۆشی شەکرەیان بوو"" زیادی کرد."
"[{'role': 'user', 'content': 'This is an English to Central Kurdish translation, please provide the Central Kurdish translation for these sentences:\nEnglish: It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.\nCentral Kurdish: بۆ ماوەی ٤٠ ساڵی داهاتوو بەردەوامبوو وە بە راستەقینە جەنگی لەسەر دەکرا لەلایەن سوپای بەکرێگیراوەوە لە مەیدانی جەنگیی ئەفریقا و ئاسیا و ئەفغانستان و کوبا و چەندان ناوچەی تردا.\nEnglish: ""They are cooler than the surrounding surface in the day and warmer at night.\nCentral Kurdish: فێنکترن لە ڕووپۆشەکانی دەوروبەر لە ماوەی ڕۆژ و لە شەودا گەرمترن.\nEnglish: Such things have become separate disciplines, which focus on providing solutions to real life problems.\nCentral Kurdish: ئەم جۆرە شتانە بوونەتە بنچینەی جیاواز، کە جەختکردنی لە سەر دابینکردنی چارەسەر ەبۆ کێشەکانی ژیانی ڕاستەقینە.\nEnglish: Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.\nCentral Kurdish: توێژینەوەی سەدەی بیستەم ئەوەی نیشانداوە کە دوو جۆری هەمەچەشنی بۆماوەیی هەن: شاراوە و دەبڕدراو.\nEnglish: All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today.\nCentral Kurdish: بە ڕەچاوکردنی هەموو شتێك ئێمە نابێت سەرمان بسوڕمێت ئەگەر باووباپیرانی خۆمان ""کێشەی پرۆتین"" یان چارەسەرکردبێت بە هەمان شێوەی مەیمونەکانی سەڤانا کە ئەمڕۆکە دەیکەن.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nCentral Kurdish:'}]"	دکتۆر ئیهود ئور، پرۆفیسۆری پزیشکی لە زانکۆی دالهۆیس لە هالیفاکس لە نۆڤا سکۆشا و سەرۆکی لقی پزیشکی و زانستی لە دەستەی نەخۆشی شەکرەی کەنەدی هۆشداریدا لەوەی لێکۆڵینەوەکان هێشتا لە سەرەتادان.	د. ئیهود ئور، مامۆستای پزیشکی لە زانکۆی دالهۆزی لە هالیفاکس، نۆڤاسکۆشیا و سەرۆکی بەشی کلینیکی و زانستی یەکێتی شێکرەی کەنەدی ئاگاداری دا کە توێژینەوەکە هێشتا لە سەرەتای کارەکانیدایە.
[{'role': 'user', 'content': 'This is an English to Central Kurdish translation, please provide the Central Kurdish translation for these sentences:\nEnglish: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.\nCentral Kurdish: هەروەها زمانی ئیتاڵی زمانی قسەی ڕۆژانەیە لەلایەن زۆربەی ئەوانەی کار لە وڵاتەکەدا دەکەن، زمانی لاتینیش زۆرجار بەکاردێت بۆ بۆنە ئاینیەکان.\nEnglish: For the Springboks, it ended a five-match losing streak.\nCentral Kurdish: بەلای سپرینبۆکسەوە، ئەوە بووە هۆی کۆتایی هێنانی دۆڕاندنی پێنج یاریی یەك لەدوای یەک.\nEnglish: Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.\nCentral Kurdish: گومان لەوە دەکرێ ئەوانی تر لەلایەن ئاژەڵانەوە بەخێوکرابن یانیش هەندێك کەس دەلێن خۆیان لە دەشت ژیاون.\nEnglish: Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.\nCentral Kurdish: وەرزشە بەناوبانگەکان بریتین لە تۆپی پێ و باسکە و بالە و واتەر-پۆلۆو شمشێربازی و ڕەگبی و پاسکیل سواری وهۆکی سەرسەهۆڵ و یاری هۆکی یاری خلیسکێنە و پێشبڕکێی ئۆتۆمبێڵی F1.\nEnglish: It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).\nCentral Kurdish: یەکێكە لە ناوچە سەرنجڕاکێشەکانی ئەفریقای باشوور و بە پارکی گەورەی نیشتیمانیی ئەفریقای باشوور دانراوە (سان پارك).\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nCentral Kurdish:'}]	وەکو هەندێك لە شارەزایانی تر، ئەمیش گومانی هەیە لەوەی شەکرە بتوانرێت چارەسەر بکرێت، تێبینیدا لەسەر ئەم دۆزینەوانە کە هیچ پەیوەندیان نیە بەو کەسانەوە کە جۆری ١ ی شەکرەیان هەیە.	وەک چەند پسپۆڕێکی تر، نیگەرانە لەوەی ئایا دیابەت دەتوانرێت چارەسەر بکرێت، ئاماژە بەوە دەکات کە ئەم دۆزینەوانە پەیوەندی بە کەسانەوە نییە کە پێشتر دیابەتی جۆری یەکیان هەیە.
[{'role': 'user', 'content': 'This is an English to Central Kurdish translation, please provide the Central Kurdish translation for these sentences:\nEnglish: Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.\nCentral Kurdish: ناوچەیەکی فراوانی بەرەو باكوور بە پەرشوبلاوی ئاوەدانە و هەندێك ناوچە هیچ ئاوەدان نیە و کێوییە.\nEnglish: In the warm climate of the Middle East, the house was not so important.\nCentral Kurdish: لە کەشی گەرمی ڕۆژهەڵاتی ناوەڕاستدا، ماڵ زۆر گرنگ نەبووە.\nEnglish: If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.\nCentral Kurdish: ئەگەر ئەو وڵاتەی سەردانی دەکەیت کەوتە بازنەی ئاگادارکردنەوە لە گەشت، ئەوا دڵنیایی تەندروستیی گەشتەکەت یان دڵنیایی هەڵوەشاندنەوەی گەشتەکەت لەوانەیە کاریگەرییان بکرێتە سەر.\nEnglish: Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.\nCentral Kurdish: تەنانەت لەڕووی نەریتیشەوە، هەموو هاولاتیانی سامی خەریکی بەخێوکردنی ئاسکە کێوی (ڕێندیر) نەبوون، بەلکو لەسەر ڕاوە ماسی و راووشکار و شتانی لەم جۆرە ژیاون، بەزۆری ئاسکە کێویان وەکو ئاژەلی لاوەکی هەبووە.\nEnglish: German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.\nCentral Kurdish: کاری هەویری ئەڵمانی زۆر بەتامن، لە بەڤاریا جۆرەکانی زۆر و پڕتامە، هاوشێوەی دراوسێکەیان لە باشور، نەمسا.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nCentral Kurdish:'}]	لە دوو شەمەدا سارا دانیەس، سکرتێری هەمیشەیی لیژنەی نۆبڵ بۆ وێژە لە ئەکادیمیای سویدیدا، لە بەرنامەیەکی رادیۆییدا لە وێستگەی رادیۆی سڤەرگیس لە سوید رایگەیاند کە لیژنەکە نەیتوانیوە بگاتە بۆب دیلان بە راستەوخۆیی بۆ بردنەوەی خەلاتی نۆبڵ لە وێژەدا بۆ سالی ٢٠١٦، و وازی لە هەوڵەکان داوە بۆ ئەوەی بگاتە ئەو کەسە.	لە دووشەممە، سارا دانیوس، سکرتێری هەمیشەیی کۆمیتەی نۆبڵ بۆ ئەدەب لە ئەکادیمیای سویدی، لە بەرنامەیەکی ڕادیۆ لە ڕادیۆی سوێریە لە سوید، بە گشتی ڕایگەیاند کە کۆمیتەکە، نەیتوانیوە بە شێوەی ڕاستەوخۆ پەیوەندی بگرێت بە بۆب دیلان سەبارەت بە بردنەوەی خەڵاتی نۆبڵ لە ئەدەب لە ساڵی ٢٠١٦، هەوڵەکانی بۆ گەیشتن پێی ڕاگرتبوو.
"[{'role': 'user', 'content': 'This is an English to Central Kurdish translation, please provide the Central Kurdish translation for these sentences:\nEnglish: This means you can visit the historic city for a couple of full days while returning and sleeping on the ship at night.\nCentral Kurdish: ئەمە واتە دەتوانیت سەردانی شارە مێژوییەکە بکەیت بۆ چەند ڕۆژێکی تەواو لەو کاتەی بە کەشتی دەگەڕێیتەوە و بە شەو بخەویت.\nEnglish: Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.\nCentral Kurdish: پۆلیس گوتی گومانیان لە چەکدارێکی داعش هەیە کە بەرپرسیارە لە هێرشەکە.\nEnglish: Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.\nCentral Kurdish: بەرپرسان وای بۆ دەچن ئەمە ئاماژەیە بۆ ئەوەی هەڵگرەکان سوتەمەنی یۆرانیۆمی تێدابووە لە شوێنەکەدا و ئەگەری هەیە تەقیبن و لێیان بچێت.\nEnglish: In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.\nCentral Kurdish: سەرباری ئەمە ئاگاداری ئەوەبە بۆن دەبێتە ڕاکێشانی ورچ و ئاژەڵی تری کێوی، بۆیە لە خێمەدا خۆراکی بۆندار لێمەنێ و شوێنەکە پاك رابگرە.\nEnglish: When you call someone who is thousands of miles away, you are using a satellite.\nCentral Kurdish: کاتێک پەیوەندی بە کەسێکەوە دەکەیت کە هەزاران میل دوورە، ئەوە تۆ سەتەلایت بەکاردێنیت.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nCentral Kurdish:'}]"	"دانیەس دەڵێت ""لە ئێستادا ئێمە هیچ ناکەین. ئیمەیل و تەلەفونم کردووە بۆ نزیکترین هەماهەنگکاری و وەڵامی زۆر ئەرێنیم وەرگرتووە. بە دڵنیاییەوە لە ئێستادا ئەمە بەسە."""	"دانیوس وتی، ""ئێستا هیچ کارێک ناکەین. پەیوەندیم بە هاوکاری نزیکترینی بەرێوەبەرەوە کردووە و ئیمەیڵم بۆ ناردووە و وەڵامەکانی زۆر دۆستانە بوون. بۆ ئێستا، ئەوە بەڵێن دەدات."""
"[{'role': 'user', 'content': 'This is an English to Central Kurdish translation, please provide the Central Kurdish translation for these sentences:\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nCentral Kurdish: ""ئێستا مشکێکی تەمەن 4 مانگانەمان هەیە کە شەکرەی نیە کە پێشووتر شەکرەی هەبوو،"" زیاتر ووتی.\nEnglish: Wagonways were built in England as early as the 16th Century.\nCentral Kurdish: واگۆنوەیس لە سەرەتاکانی سەدەی 16م لە ئینگلترا دروستکران.\nEnglish: Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.\nCentral Kurdish: زۆربەی مردنەکان لە دەرەنجامی شەکەتبوون لە کاتی مەلەدا ڕوودەدات بەرەو کەناراوەکە بەناو شەپۆلەکەدا، ئەمەش ئاستەمە.\nEnglish: Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.\nCentral Kurdish: دوو پێی لە بەبەردبووەکانی ئوسترالۆپیتیکەس دۆزراونەتەوە کە دەگەڕێتەوە بۆ ٤.٢ بۆ ٣.٩ ملیۆن ساڵ لەمەوبەر، هەرچەندە ساهێلانترۆپەس لەوانەیە لەسەر دوو قاچ ڕۆشتبێ تەنانەت لە پێش حەوت ملیۆن ساڵ لەمەوبەردا.\nEnglish: Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.\nCentral Kurdish: بازارکردنی بێ باج (duty free) دەرفەتێکە بۆ کڕینی کاڵای وەدەرنراو لە باجەکان و لە هەندێك شوێنی دیاریکراو بوونی هەیە.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring\'s CEO, Jamie Siminoff, remarked the company started when his doorbell wasn\'t audible from his shop in his garage.\nCentral Kurdish:'}]"	پێشووتر جەیمی سیمینۆف بەڕێوەبەری جێبەجێکاری کۆمپانیای ڕینگ، باسی ئەوەی کرد کە کۆمپانیاکە ئەو کاتە دەستی پێکرد کە زەنگی دەرگاکەی لە دوکانەکەی لە ناو گەراجەکە نەبیستراوە.	پێشتر، سەرۆکی کۆمپانیای رینگ، جەیمی سیمینۆف، تێبینی کرد کە کۆمپانیاکە دەستی بەکارکرد کاتێک دەرگای زەنگەکەی لە دوکانەکەی لە گەراجەکەی دەنگ نەدەدا.
"[{'role': 'user', 'content': 'This is an English to Central Kurdish translation, please provide the Central Kurdish translation for these sentences:\nEnglish: Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents\' rejection of a child\'s severe intellectual or physical impairment.\nCentral Kurdish: ئەم جۆرە منداڵانە پێیان دەوترێت ""وەحشی"" یان دڕەندە. هەنگ منداڵی دڕندە لە لایەن خەڵکەوە سنوردارکراون (بە شێوەیەکی گشتى لە لایەن دایک/باوکی خۆیان)؛ لە هەندێک حاڵەتدا ئەم پشگوێخستنەی منداڵ بەهۆی ڕەتکردنەوەی دایک/باوکەکە بووە بۆ کێشەی تووندی هزریی یان جەستەیی منداڵەکە.\nEnglish: NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.\nCentral Kurdish: نێکست جێن سیستەمێکە کە دەستەی کارگێریی فڕۆکەوانی دەڵێت وادەکات فڕۆکەکان ڕێگەیەکی کورتتر بگرن و ملیۆنان گالۆن لە سوتەمەنی بگەڕێتەوە ساڵانە و دەردانی دوانۆکسیدی کاربۆن کەمبکاتەوە.\nEnglish: Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.\nCentral Kurdish: بە هەمان شێوە بە بوونی ڤیزای شنگن، پێویست ناکات بۆ هەر یەک لە وڵاتانی ئەندامی شنگن بە جیا داوای ڤیزا بکەیت، ئەمەش دەبێتە هۆی پاشەکەوتکردنی کات، پارە و پەڕاوکاری.\nEnglish: Earlier this week, a police helicopter crash killed three people and wounded three more.\nCentral Kurdish: سەرەتای ئەم هەفتەیە هەلیکۆپتەرێکی پۆلیسی کەوتە خوارەوە و سێ کەسی کوشت و سێی تر بریندار بوون.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nCentral Kurdish: بەڕێوەبەری داواکاری گشتی، کیەر ستارمەر کیو سی، ئەم بەیانیە ڕوونکردنەوەیەکی دا کە دادگایی کردنی هوهنی و پرایسی ڕاگەیاند.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nCentral Kurdish:'}]"	وتی زەنگێکی دەرگایی وایفای دروستکردووە.	ئەو وتی دەرگای وای فای دروستکرد.
[{'role': 'user', 'content': 'This is an English to Central Kurdish translation, please provide the Central Kurdish translation for these sentences:\nEnglish: There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.\nCentral Kurdish: هێشتا پیاو و ژنێکی زۆر زیندوو ماون کە لێرە لە کاتی خۆیان ڕزگاریان بووە، و زۆر کەسی تریش کە خۆشەویستانیان لەوێ کوژران یان لەوێ کاریان دەکرد، بۆ جولەکە و ناجولەکە وەک یەک بوو.\nEnglish: Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.\nCentral Kurdish: سنووردارکەری خێرایی دانراو بەشێوەیەکی بەرچاو کەمترە لە بەشەکانی پێشووتر و دواتر - بە گشتی 35-40 میل لە کاتژمێرێکدا (56-64 کم/کاتژمێر) - و گوێڕایەڵکردنی تەواویان تەنانەت لە ئەگەرەکانی دیکە گرنگترە.\nEnglish: They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.\nCentral Kurdish: ئەوەیان دۆزیەوە کە خۆر لە هەمان بنەمای بنەڕەتی وەک ئەستێرەکانی دیکە کار دەکات: چالاکی گشت ئەستێرەکانی سیستەمەکە زانرا کە بەهۆی بریقە و خولانەوەیانە، نەوەک هیچی دیکە.\nEnglish: Apia was founded in the 1850s and has been the official capital of Samoa since 1959.\nCentral Kurdish: ئاپیا لە ١٨٥٠ دروستکراوە و لە ١٩٥٩ ەوە پایتەختی فەرمیی ساموایە.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nCentral Kurdish: بەڕێوەبەری داواکاری گشتی، کیەر ستارمەر کیو سی، ئەم بەیانیە ڕوونکردنەوەیەکی دا کە دادگایی کردنی هوهنی و پرایسی ڕاگەیاند.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nCentral Kurdish:'}]	سیمینۆف وتی فرۆشەکان پاش دەرکەوتنی لە ساڵی 2013 لە ئەڵقەی شارک تانکدا زیادیان کردووە کە تیایدا پانێڵی نمایشەکە هەستا بە ڕەتکردنەوەی پارەدارکردنی دەستپێکەکە.	سیمینۆف وتی دوای دەرکەوتنی لە بەرنامەیەکی شارک تانک لە ساڵی ٢٠١٣ فرۆشتن زیادی کرد، کە لەوێ لیژنەی بەرنامەکە پشتگیری دارایی کۆمپانیای دەستپێکردنەکەی ڕەتکردەوە.
[{'role': 'user', 'content': 'This is an English to Central Kurdish translation, please provide the Central Kurdish translation for these sentences:\nEnglish: The Amazon is also the widest river on Earth, at times six miles wide.\nCentral Kurdish: هەروەها ئەمازۆن فراوانترین ڕووبارە لە سەر زەوی، لە هەندێک کات شەش میل فراوانە.\nEnglish: Fruit pastries are common, with apples cooked into pastries year round, and cherries and plums making their appearances during the summer.\nCentral Kurdish: کاری هەوریر بە میوە باوە، سێو لێدەنرێت لەناو کێکی خڕدا و گێلاس و هەڵوژە لە هاویندا دەردەکەون.\nEnglish: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.\nCentral Kurdish: بەپێی وتەی پۆلیس، شۆفێری ئۆتۆمبیلەکە کە خۆی کێشاوە بە وێنەکەدا ئەگەری نیە سکاڵای لەسەر تۆمار بکرێت.\nEnglish: Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.\nCentral Kurdish: ڕۆبن ئوتاپا بەرزترین خاڵی تۆمار کرد، 70 ڕاکردن بە 41 تۆپ ڕادەکات بە لێدانی 11 چوار و 2 شەش.\nEnglish: Virtual team members often function as the point of contact for their immediate physical group.\nCentral Kurdish: ئەندامانی تیمی ڤیرچوەڵ گەلێک جار وەک خاڵی پەیوەندی بۆ گروپی فیزیایی دەستبەجێ ئەرک دەگێڕن.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nCentral Kurdish:'}]	لە کۆتایی ٢٠١٧ دا، سیمینۆف لە کەنالی تەلەڤیزۆنیی بازاڕکردندا بەناوی (QVC) دەرکەوت.	لە کۆتایی ٢٠١٧، سیمینۆف لە کەناڵی تەلەفزیۆنی بازرگانی QVC دەرکەوت.
[{'role': 'user', 'content': 'This is an English to Central Kurdish translation, please provide the Central Kurdish translation for these sentences:\nEnglish: Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.\nCentral Kurdish: هەوڵی بە ئامانجگرتنی شوێنێک بدە کە تیایدا دووبارە ناگیرێیت یان، بەگوێرەی کارامەییەکانت و ئایا تێبینیت کردووە، ڕەنگە بتەوێت چاوەڕوانی ڕزگارکردن بکەیت.\nEnglish: Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.\nCentral Kurdish: کومۆ تەمەن ٥٣ ساڵ دەستیکرد بە حاکمێتیەکەی لەمساڵدا و واژۆی یاسایەکی کرد مانگی پێشوو بۆ بەیاساییکردنی هاوسەرگیریی هەمان ڕەگەز.\nEnglish: Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.\nCentral Kurdish: ئافرەتەکان لە ناو گۆڕەپانەکە کرداری چێشت لێنانیان کرد؛ فرۆشگاکان تازە دەرگاکانیان کردەوە بە تێڕوانین بە ناو شەقامەکە. بەرد بۆ دروست کردنی خانووەکان بەکارهات.\nEnglish: Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.\nCentral Kurdish: ئەمڕۆ سامیەکی زۆر لە بازرگانیە نوێکان کار دەکەن. گەشت و گوزار داهاتێکی گرنگە لە ساپمی، ناوچەی سامی.\nEnglish: For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.\nCentral Kurdish: بۆ نمونە هەموو ساڵێك خوێندکارانی قوتابخانەی بێنێت لە کارۆلاینای باکوور دیزاینی ماڵپەڕێك دەکەن دەربارەی گەشتەکەیان بۆ پایتەخت، هەموو ساڵێك ماڵپەڕەکە دەستکاری دەکرێتەوە، بەڵام وەشانە کۆنەکان لەسەر هێڵ دەمێنێتەوە بۆ ئەوەی وەکو ڕەشنووس بەکاربێت.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nCentral Kurdish:'}]	هەروەها ڕینگ داوای یاسایی لەگەڵ کۆمپانیای ئاسایشی ڕکابەری، کۆمپانیای ADT یەکلاکردەوە.	Ring هەروەها یەکەم کەیسی یاسایی چارەسەر کرد لەگەڵ کۆمپانیای ئاسایشی ڕکابەر، کۆمپانیای ADT.
