messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Mesopotamian Arabic translation, please provide the Mesopotamian Arabic translation for these sentences:\nEnglish: Accepted were Aristotle\'s views on all matters of science, including psychology.\nMesopotamian Arabic: تم قبول آراء أرسطو حول جميع المسائل العلمية، ومنها مسائل علم النفس.\nEnglish: In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.\nMesopotamian Arabic: بأيامه الأولى، تمت إذاعة البرنامج حصراً على موقع راديو الإنترنت الموجود من فترة طويلة ""توجي نت راديو""، وهو الموقع اللي  يركز على الراديو الحواري.\nEnglish: A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.\nMesopotamian Arabic: ممكن أن تكون قيمة الرقم الثنائي قيمة وحدة فقط من قيمتين، وهي 0 أو 1، ويُشار إلى هذي  الأرقام على أنها أرقام ثنائية - أو بت، إذا استخدمنا لغة الحاسوب الاصطلاحية.\nEnglish: Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world\'s population.\nMesopotamian Arabic: رجاءً تذكر أنك بموقع مقبرة جماعية، بالإضافة إلى أنه موقع إله معنى روحي إلى مالانهاية بالنسبة لجزء هائل من سكان العالم.\nEnglish: The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.\nMesopotamian Arabic: يعتبر الهرم الأكبر بمحافظة ""الجيزة"" هو الوحيد من العجائب السبع اللي ما تزال قائمة لحد هذا اليوم.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nMesopotamian Arabic:'}]"	"أضاف بكلامه وكَال، ""عدنا هسه فيران عمرها 4 أشهر، وكانت سابقاً مصابة بمرض السكر، بس هسه تعافت منه."	"""لدينا الآن فئات من الفئران الربيعية الرابعة اللي كانت سابقاً بدون سكرية وكانت سابقاً سكرية,"" أضاف.

Please note that Mesopotamian Arabic is not a standardized dialect and can vary greatly in different regions. The translation provided is in Modern Standard Arabic, which is the standardized and literary form of the Arabic language used in writing and formal communication throughout the Arab world."
"[{'role': 'user', 'content': 'This is an English to Mesopotamian Arabic translation, please provide the Mesopotamian Arabic translation for these sentences:\nEnglish: It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.\nMesopotamian Arabic: كان من المفترض أن تستمر هذي  الحرب طيلة الأربعين عام القادمة، وأن يكون القتال على أرض الواقع، بواسطة جيوش بالوكالة، بساحات القتال من أفريقيا إلى آسيا، وبأفغانستان، وكوبا، والعديد من الأماكن الأخرى.\nEnglish: ""They are cooler than the surrounding surface in the day and warmer at night.\nMesopotamian Arabic: هي أبرد من السطح المحيط بالنهار وأدفى منه بالليل.\nEnglish: Such things have become separate disciplines, which focus on providing solutions to real life problems.\nMesopotamian Arabic: صارت مثل هذي  الأشياء مجالات منفصلة تركز على تقديم حلول لمشاكل الحياة الحقيقية.\nEnglish: Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.\nMesopotamian Arabic: أوضحت أبحاث القرن العشرين وجود مجموعتين من التنوعات الچينية:- مجموعة مستترة ومجموعة ظاهرة.\nEnglish: All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today.\nMesopotamian Arabic: إذا تم  أخذ كل الأمور بنظر الاعتبار، فما لازم نتعجب إذا حل أجدادنا ""مشكلة البروتين"" عدهم بطريقة ما وبنفس الطريقة اللي سواها الشمبانزي بالسافانا.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nMesopotamian Arabic:'}]"	نبهنا الدكتور إيهود أور -أستاذ الطب بجامعة دالهوزي بمنطقة هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية بالجمعية الكندية لأمراض السكري- إن البحث بعده  بمراحله الأولى.	"انذار من د. أهود أور، باحث بقسم الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا، ورئيس قسم العلاجية والعلمية لجمعية ديابيت الكندية، أن البحث لا بد أن يكون بعد الأول.

Please note that the translation is provided for the given English sentence, and no explanations or additional text are included."
[{'role': 'user', 'content': 'This is an English to Mesopotamian Arabic translation, please provide the Mesopotamian Arabic translation for these sentences:\nEnglish: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.\nMesopotamian Arabic: الإيطالية أيضاً هي لغة الحياة اليومية اللي يستخدمها معظم العاملين بالدولة، بينما تُستخدم اللاتينية عادةً بالمراسم الدينية.\nEnglish: For the Springboks, it ended a five-match losing streak.\nMesopotamian Arabic: بالنسبة لمنتخب جنوب أفريقيا للركبي، أنهى هذا الفوز سلسلة خسائر استمرّت لخمس مباريات.\nEnglish: Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.\nMesopotamian Arabic: وآخرين يُزعم أنه تمت تربيتهم من قبل الحيوانات؛ ويقال إنو  بعضهم عاش بالبرية بوحدة.\nEnglish: Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.\nMesopotamian Arabic: تشمل الرياضات الشعبية كرة القدم، وكرة السلة، والكرة الطائرة، وكرة الماء، والمبارزة، والركبي، وركوب البايسكلات، وهوكي الجليد، وهوكي الإنزلاق وسباق السيارات F1.\nEnglish: It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).\nMesopotamian Arabic: تُعتبر وحدة من المناطق الجذابة بجنوب إفريقيا، كما تعتبر منتزه رئيسي من المنتزهات الوطنية بجنوب إفريقيا ( منتزهات جنوب إفريقيا الوطنية).\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nMesopotamian Arabic:'}]	مثل بعض الخبراء الآخرين هو متشكك من امكانية علاج مرض السكر، مع ملاحظة أنو هذي النتائج ما إلها علاقة بالناس اللي يعانون من السكر من النوع الأول.	كمثل بعض الخبراء الآخرين، يتردد هو في أن يتم علاج السكري، ويذكر أن هذه العثورات لا تشتمل على أي صلة بناس هم يشتركون بالسكري النوع 1.
[{'role': 'user', 'content': 'This is an English to Mesopotamian Arabic translation, please provide the Mesopotamian Arabic translation for these sentences:\nEnglish: Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.\nMesopotamian Arabic: المناطق الكبيرة بالشمال هي مناطق قليلة السكان نوعا ما وقسم منها مأهول تقريبا.\nEnglish: In the warm climate of the Middle East, the house was not so important.\nMesopotamian Arabic: بمناخ الشرق الأوسط الدافي، ما كان للبيت أهمية كبيرة.\nEnglish: If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.\nMesopotamian Arabic: إذا صارت الدولة اللي راح تزورها خاضعة لمنع السفر، فاحتمال يتأثر التأمين الصحي للسفر أو تأمين إلغاء الرحلة.\nEnglish: Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.\nMesopotamian Arabic: وحتى تقليدياً، وعلى الرغم من هذا، ما اشتركوا كل أفراد قومية سامي بتربية غزال الرنة على نطاق واسع، بس كانوا يعيشون من صيد الأسماك والصيد وما شابه ذلك، واستخدموا غزلان الرنة بالغالب كحيوانات للجر.\nEnglish: German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.\nMesopotamian Arabic: المعجنات الألمانية كلش طيبة، و بمقاطعة بافاريا هي غنية جداً ومتنوعة، تشبه معجنات جارتها الجنوبية، النمسا.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nMesopotamian Arabic:'}]	يوم الاثنين، كَالت سارة دانيوس -السكرتيرة الدائمية للجنة نوبل للأداب بالأكاديمية السويدية- كَدام الناس خلال برنامج على راديو السويد بالسويد، أنو اللجنة ما كدرت توصل مباشرة لبوب ديلان علمود الفوز بجائزة نوبل للأدب سنة 2016- وتخلت عن جهودها  بالوصول إله.	في الإثنين، سارة دانيوس، باحثة نهائية لللجنة النوبل للأدب في الأكاديمية السويدية، أعلنت على موقع برنامج بث صوتي على سويدريج راديو في السويد أن اللجنة لم تتمكن من الوصول إلى بوب ديلان للفوز بالجائزة النوبل للأدب في العام 2016، ولذلك توقفت عن جهودها للوصول إليه.
"[{'role': 'user', 'content': 'This is an English to Mesopotamian Arabic translation, please provide the Mesopotamian Arabic translation for these sentences:\nEnglish: This means you can visit the historic city for a couple of full days while returning and sleeping on the ship at night.\nMesopotamian Arabic: هذا معناه أنك تكَدر تزور المدينة التاريخية لكم يوم خلال العودة وتبات بالسفينة.\nEnglish: Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.\nMesopotamian Arabic: وكَالت الشرطة إنها تشتبه بمسؤولية أحد مقاتلي داعش عن الهجوم.\nEnglish: Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.\nMesopotamian Arabic: وتعتقد السلطات أن هذا دليل على أن الحاويات اللي تحتوي على وقود اليورانيوم بالموقع  ممكن تكون انفجرت وتسربت.\nEnglish: In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.\nMesopotamian Arabic: بالإضافة لهذا، انتبه لأن الروائح تجذب الدببة وحيوانات برية أخرى، لذا حاول ما تاخذ أو تطبخ أطعمة بيها ريحة وحافظ على نظافة المخيم.\nEnglish: When you call someone who is thousands of miles away, you are using a satellite.\nMesopotamian Arabic: لمن تتصل بشخص يبعدآلاف الأميال عنك، فإنت تستخدم قمر صناعي.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nMesopotamian Arabic:'}]"	"كَالت دانيوس "" ما راح نسوي أي شي. أني اتصلت ودزيت رسائل بريد إلكتروني لأقرب المتعاونين وياه وحلصت على ردود كلش لطيفة. هذا  كاببالوقت الحالي طبعاً""."	قال دانيوس: في اللحظة نحن لا نفعل شيئا. قمت بالاتصال والبريد الإلكتروني إلى أقرب متعاونيه وتلقيت الردود الصداقية الجيدة. حاليًا، بالتأكيد كافي.
"[{'role': 'user', 'content': 'This is an English to Mesopotamian Arabic translation, please provide the Mesopotamian Arabic translation for these sentences:\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nMesopotamian Arabic: أضاف بكلامه وكَال، ""عدنا هسه فيران عمرها 4 أشهر، وكانت سابقاً مصابة بمرض السكر، بس هسه تعافت منه.\nEnglish: Wagonways were built in England as early as the 16th Century.\nMesopotamian Arabic: أُنشئت طرق العربات بإنكَلترا بوقت يرجع إلى القرن السادس عشر.\nEnglish: Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.\nMesopotamian Arabic: تصير أغلب الوفيات بسبب الإرهاق من محاولة السباحة عكس التيار، وهذا شي شبه مستحيل.\nEnglish: Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.\nMesopotamian Arabic: تم العثور على فصائل ذات قدمين بحفريات أسترالوبيثكس من 4.2 إلى 3.9 مليون سنة مضت، على الرغم من أن ساحيلانثروبوس ممكن يكون مشى على رجلين قبل سبعة ملايين سنة.\nEnglish: Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.\nMesopotamian Arabic: التسوق من السوق الحرة فرصة حتى تشتري بضائع معفاة من الضرائب والرسوم بأماكن محددة.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring\'s CEO, Jamie Siminoff, remarked the company started when his doorbell wasn\'t audible from his shop in his garage.\nMesopotamian Arabic:'}]"	قبل مدة، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أنو الشركة تأسست لمن ما  كان  جرس بابه مسموع من دكانه اللي صاير بكراج بيته.	"سابقا، تم تعليق الشركة Ring بواسطة رئيس التنفيذ للشركة Jamie Siminoff، أن الشركة بدأت عندما لم يمكن لجرس الباب الخارجي للمغامر بالصوت من داخل المغامر في مخزنه في جراجه.

Note: I am not a native Mesopotamian Arabic speaker, so please verify the translation with a native speaker."
"[{'role': 'user', 'content': 'This is an English to Mesopotamian Arabic translation, please provide the Mesopotamian Arabic translation for these sentences:\nEnglish: Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents\' rejection of a child\'s severe intellectual or physical impairment.\nMesopotamian Arabic: ويطلق على هذوله الأطفال اسم ""المتوحش"" أو البري. يتم حبس بعض الأطفال الضالين من قبل أشخاص (عادةً والديهم)؛ ببعضِ الحالات، كان التخلي عن الطفل بسبب رفض الوالدين لإعاقة الطفل الشديدة عقلياً أو جسدياً.\nEnglish: NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.\nMesopotamian Arabic: نيكسدجين هو نظام تدعي إدارة الطيران الفيدرالية أنه راح يسمح للطيارات بالطيران بمسارات أقصر، وراح يوفر ملايين الجالونات من الوقود كل عام ويقلل من انبعاثات الكربون.\nEnglish: Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.\nMesopotamian Arabic: وبنفس الطريقة، من خلال الحصول على فيزا شنغن، مراح تكون أكو حاجة تقدم طلب منفصل حتى تحصل على فيزا لكل دولة من الدول الأعضاء بشنغن، وبالتالي توفر الوقت والمال والمعاملات.\nEnglish: Earlier this week, a police helicopter crash killed three people and wounded three more.\nMesopotamian Arabic: تحطمت بوقت سابق هذا الأسبوع هليكوبتر للشرطة، وماتوا 3 أشخاص وانجرحوا 3 آخرين.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nMesopotamian Arabic: أدلى مدير النيابة العامة، كير ستارمر كيو سي، ببيان صباح اليوم أعلن فيه محاكمة كل من هوهني وبرايس.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nMesopotamian Arabic:'}]"	كَال إنه صنع جرس للباب يشتغل بتقنية الواي فاي.	بناه بيب بلتون للبيت الذي يقوم بإرسال إشارة بواسطة WiFi، قال.
[{'role': 'user', 'content': 'This is an English to Mesopotamian Arabic translation, please provide the Mesopotamian Arabic translation for these sentences:\nEnglish: There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.\nMesopotamian Arabic: لحد الآن أكو هوايه من الرجال والنسوان الي بقو عايشين ونجوا من ذاك المكان، وأكو هوايه من الناس اللي كان عندهم أحباء ماتوا أو اشتغلوا هناك لحد ما ماتوا ، من اليهود وغير اليهود على حد سواء.\nEnglish: Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.\nMesopotamian Arabic: حدود السرعة المعلنة أقل بشكل ملحوظ مما كانت عليه بالأقسام السابقة واللاحقة — عادة 35-40 ميل بالساعة (56-64 كم / ساعة) — والالتزام الصارم بيها كلش مهم.\nEnglish: They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.\nMesopotamian Arabic: اكتشفوا أن الشمس تعمل على نفس المبادئ الأساسية للنجوم البقية: و أنو نشاط جميع النجوم  بالنظام يسير من خلال لمعانها ودورانها فقط.\nEnglish: Apia was founded in the 1850s and has been the official capital of Samoa since 1959.\nMesopotamian Arabic: تأسست أبيا بخمسينيات القرن التاسع عشر وكانت العاصمة الرسمية لساموا من عام 1959.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nMesopotamian Arabic: أدلى مدير النيابة العامة، كير ستارمر كيو سي، ببيان صباح اليوم أعلن فيه محاكمة كل من هوهني وبرايس.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nMesopotamian Arabic:'}]	كَال سيمينوف إن المبيعات ارتفعت بعد ما طلع بالتلفزيون سنة2013 بحلقة برنامج شارك تانك، ورفضت لجنة العرض تمويل الشركة البادئة.	قال سيمينوف: زادت المبيعات بعد حديثه في حلقة Shark Tank في عام 2013، حيث رفض اللجنة المعنية تمويل المبتكرة.
[{'role': 'user', 'content': 'This is an English to Mesopotamian Arabic translation, please provide the Mesopotamian Arabic translation for these sentences:\nEnglish: The Amazon is also the widest river on Earth, at times six miles wide.\nMesopotamian Arabic: نهر الأمازون هو أيضاً أعرض نهر بالعالم، يصل عرضه بأوقات إلى 6 أميال (9.6 كم).\nEnglish: Fruit pastries are common, with apples cooked into pastries year round, and cherries and plums making their appearances during the summer.\nMesopotamian Arabic: معجنات الفاكهة كلش مشهورة  ويطبخون التفاح بالمعجنات على مدار العام بحين يظهر الكرز والعنجاص خلال الصيف.\nEnglish: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.\nMesopotamian Arabic: وبحسب ما ذكرته الشّرطة، فإنهم ما يتوقعون أن يواجه سايق السيارة اللي صدمت المصور أي تهم جنائية.\nEnglish: Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.\nMesopotamian Arabic: حقق روبن قفزات أعلى نتيجة بالجولات، 70 ركضة بـ 41 كرة فقط بتسجيل 11 من الأربعة واثنين من الـستات.\nEnglish: Virtual team members often function as the point of contact for their immediate physical group.\nMesopotamian Arabic: غالباً ما يعمل أعضاء الفريق الافتراضي كنقطة اتصال لمجموعاتهم المادية الفورية.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nMesopotamian Arabic:'}]	"بنهاية عام 2017، طلع ""سيمينوف"" على قناة التسوق التلفزيونية كيو بسي."	في آخر 2017، ظهر سيمينوف على قناة التلفزيون التجارية QVC.
[{'role': 'user', 'content': 'This is an English to Mesopotamian Arabic translation, please provide the Mesopotamian Arabic translation for these sentences:\nEnglish: Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.\nMesopotamian Arabic: حاول استهداف مكان ما يسيطر عليك التيار بي مرة لخ أو،على حسب مهاراتك أو إذا شافك أحد، والخيار الثاني كَدامك هو انتظار الإنقاذ.\nEnglish: Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.\nMesopotamian Arabic: بدا كومو، وعمر 53 عام حكمه بوقت مبكر هذا العام ووقع مشروع قانون الشهر الماضي يسمح بالزواج من نفس الجنس.\nEnglish: Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.\nMesopotamian Arabic: كانت النسوان يطبخن بالساحة؛ والمحلات مجرد ميوزه مفتوحة تطل على الشارع.  تم استخدم الحجر ببناء البيوت.\nEnglish: Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.\nMesopotamian Arabic: يعمل العديد من الساميين اليوم بالحرف الحديثة. وتُعتبر السياحة دخل مهم بسابمي، منطقة الساميين.\nEnglish: For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.\nMesopotamian Arabic: على سبيل المثال، يقوم طلاب من مدرسة بينيت كل عام بولاية كارولينا الشمالية بتصميم موقع إلكتروني يشرح رحلتهم إلى عاصمة الولاية، ويتم إعادة تصميم الموقع الإلكتروني كل سنة، ولكن يحتفظون بالإصدارات القديمة على الإنترنت حتى تكون بمثابة سجل\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nMesopotamian Arabic:'}]	وقامت رينج بتسوية دعوى قضائية وية شركة الأمن المنافسة، شركة آي دي تي.	وقر أيضا قضية اتهام مع شركة أمن منافسة، شركة الadt المحدودة.
