messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Romanian translation, please provide the Romanian translation for these sentences:\nEnglish: Accepted were Aristotle\'s views on all matters of science, including psychology.\nRomanian: Erau acceptate ideile lui Aristotel despre toate aspectelor legate de știință, inclusiv psihologie.\nEnglish: In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.\nRomanian: La începuturile sale, spectacolul a fost transmis doar de către vechea stație de radio prin internet TogiNet Radio, un site specializat în talk show-uri radio.\nEnglish: A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.\nRomanian: Un număr binar poate să conțină doar una dintre cele două valori, respectiv 0 sau 1, iar denumirea acestor numere este de cifre binare sau biți, în jargonul informaticii.\nEnglish: Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world\'s population.\nRomanian: Vă rugăm să rețineți că, în principiu, vizitați locul unei gropi comune, precum și un sit care are o semnificație aproape incalculabilă pentru o parte semnificativă a populației lumii.\nEnglish: The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.\nRomanian: Marea Piramidă din Giza este singura dintre cele șapte minuni ale lumii care a rămas în picioare până în zilele noastre.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nRomanian:'}]"	„Acum avem șoareci în vârstă de 4 luni care nu mai au diabet, dar care anterior fuseseră diabetici”, a adăugat el.	"""Acum avem șoareci de 4 luni care nu sunt diabetici și care obișnuiau să fie diabetici"", a adăugat el."
"[{'role': 'user', 'content': 'This is an English to Romanian translation, please provide the Romanian translation for these sentences:\nEnglish: It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.\nRomanian: Urma să dureze patruzeci de ani și va fi luptat serios, de către armate „delegate”, pe câmpuri de luptă răspândite din Africa până-n Asia, în Afganistan, Cuba și multe alte locuri.\nEnglish: ""They are cooler than the surrounding surface in the day and warmer at night.\nRomanian: „Sunt mai reci decât suprafața înconjurătoare în timpul zilei și mai calde noaptea.\nEnglish: Such things have become separate disciplines, which focus on providing solutions to real life problems.\nRomanian: Astfel de acțiuni au devenit discipline separate, care se concentrează pe oferirea de soluții la problemele vieții reale.\nEnglish: Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.\nRomanian: Cercetările din secolul XX au arătat că există două grupuri de variație genetică: ascuns și exprimat.\nEnglish: All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today.\nRomanian: „Ținând cont de toate astea, n-ar trebui să ne surprindă dacă strămoșii noștri au rezolvat «problema proteinelor» într-un mod asemănător cu cimpanzeii din savanele zilelor noastre.”\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nRomanian:'}]"	Dr. Ehud Ur, profesor de medicină la Universitatea Dalhousie din Halifax, Nova Scotia, și președinte al diviziei clinice și științifice a Asociației Canadiene pentru Diabet, a atras atenția că cercetarea se află încă în fază incipientă.	Dr. Ehud Ur, profesor de medicină la Universitatea Dalhousie din Halifax, Nova Scotia și președinte al diviziei clinice și științifice a Asociației Canadiene de Diabet a avertizat că cercetarea este încă în stadiile sale incipiente.
[{'role': 'user', 'content': 'This is an English to Romanian translation, please provide the Romanian translation for these sentences:\nEnglish: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.\nRomanian: Italiana este, de asemenea, limba folosită zi de zi de majoritatea celor care lucrează în țară, în timp ce latina este adesea folosită în ceremoniile religioase.\nEnglish: For the Springboks, it ended a five-match losing streak.\nRomanian: Pentru echipa Springboks, aceasta a pus capăt unei serii de cinci meciuri pierdute.\nEnglish: Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.\nRomanian: Despre unii se crede că au fost crescuți de animale; iar despre alții se spune că au trăit singuri în sălbăticie.\nEnglish: Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.\nRomanian: Printre sporturile populare se numără fotbalul, baschetul, voleiul, polo în apă, scrima, rugbiul, ciclismul, hocheiul pe gheață, hocheiul pe role și cursele de F1.\nEnglish: It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).\nRomanian: Este una dintre cele mai importante atracții din Africa de Sud și este considerat emblema parcurilor naționale din această țară (SANParks).\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nRomanian:'}]	Asemenea altor experți, el este sceptic cu privire la faptul că diabetul poate fi vindecat, menționând că aceste descoperiri nu au nicio relevanță pentru persoanele care au deja diabet de tip 1.	Ca și alți experți, el este sceptic în legătură cu posibilitatea vindecării diabetului, subliniind că aceste descoperiri nu au relevanță pentru persoanele care deja au diabet de tip 1.
[{'role': 'user', 'content': 'This is an English to Romanian translation, please provide the Romanian translation for these sentences:\nEnglish: Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.\nRomanian: Porțiuni mari mai spre nord sunt destul de puțin populate, iar unele sunt aproape sălbăticie nepopulată.\nEnglish: In the warm climate of the Middle East, the house was not so important.\nRomanian: În climatul cald din Orientul Mijlociu, casa era mai puțin importantă.\nEnglish: If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.\nRomanian: Dacă țara pe care urmează să o vizitați face obiectul unui avertisment pentru călători, s-ar putea să vă afecteze asigurarea de sănătate pentru călătorie sau asigurarea pentru anularea voiajului.\nEnglish: Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.\nRomanian: Cu toate acestea, tradițional nu toți membrii populației Sámi au fost implicați în creșterea pe scară largă a renilor, ci au trăit din pescuit, vânătoare și altele asemenea, folosind renii mai mult ca animale de povară.\nEnglish: German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.\nRomanian: Produsele de patiserie germane sunt destul de bune, iar în Bavaria sunt destul de bogate și variate, asemănătoare celor ale vecinei sudice, Austria.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nRomanian:'}]	Luni, Sara Danius, secretarul permanent al Comitetului Nobel pentru Literatură al Academiei Suediei, a anunțat public în timpul unei transmisiuni a postului de radio suedez Sveriges Radio că, în urma eforturilor nereușite de a-l contacta direct pe Bob Dylan cu privire la decernarea Premiului Nobel pentru Literatură pe 2016, comitetul a decis abandonarea încercărilor de a-l contacta.	Luni, Sara Danius, secretar permanent al Comitetului Nobel pentru Literatură la Academia Suedeză, a anunțat public în timpul unui program de radio la Sveriges Radio din Suedia că comitetul, neputând să-l contacteze direct pe Bob Dylan în legătură cu câștigarea Premiului Nobel pentru Literatură în 2016, și-a abandonat eforturile de a-l contacta.
"[{'role': 'user', 'content': 'This is an English to Romanian translation, please provide the Romanian translation for these sentences:\nEnglish: This means you can visit the historic city for a couple of full days while returning and sleeping on the ship at night.\nRomanian: Aceasta înseamnă că puteți vizita orașul istoric timp de câteva zile întregi, revenind pe navă noaptea ca să dormiți.\nEnglish: Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.\nRomanian: Poliția a declarat că suspectează un presupus militant Daesh (ISIL) ca fiind responsabil pentru atentat.\nEnglish: Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.\nRomanian: Autoritățile speculează că aceasta indică faptul că este posibil ca recipientele în care este ținut combustibilul de uraniu să se fi crăpat și să prezinte scurgeri.\nEnglish: In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.\nRomanian: Pe lângă aceasta, aveți grijă că mirosurile pot atrage urșii și alte animale sălbatice, deci ar fi indicat să evitați mâncărurile cu miros puternic și să păstrați curățenia în locul de camping.\nEnglish: When you call someone who is thousands of miles away, you are using a satellite.\nRomanian: Când apelezi pe cineva aflat la mii de kilometri distanță, faci asta printr-un satelit.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nRomanian:'}]"	„Danius a zis: «Momentan nu facem nimic. L-am sunat și i-am trimis e-mailuri celui mai apropiat colaborator al său și am primit răspunsuri foarte prietenoase. Pentru moment cu siguranță e suficient.».”	"Danius a spus: ""În acest moment nu facem nimic. Am sunat și am trimis e-mailuri colaboratorului său cel mai apropiat și am primit răspunsuri foarte prietenoase. Pentru moment, cu siguranță este suficient."""
"[{'role': 'user', 'content': 'This is an English to Romanian translation, please provide the Romanian translation for these sentences:\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nRomanian: „Acum avem șoareci în vârstă de 4 luni care nu mai au diabet, dar care anterior fuseseră diabetici”, a adăugat el.\nEnglish: Wagonways were built in England as early as the 16th Century.\nRomanian: Drumuri de tipul wagonway au fost construite în Anglia încă din secolul al XVI-lea.\nEnglish: Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.\nRomanian: Majoritatea deceselor au loc din cauza epuizării în încercarea de a înota înapoi contra curentului, ceea ce se poate dovedi a fi imposibil.\nEnglish: Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.\nRomanian: Se întâlnește specializare bipedă în fosile de Australopithecus vechi de 4,2-3,9 milioane de ani, deși e posibil ca Sahelanthropus să fi mers deja biped în urmă cu șapte milioane de ani.\nEnglish: Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.\nRomanian: Shoppingul duty-free vă oferă în anumite locuri ocazia de a cumpăra bunuri scutite de taxe și accize.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring\'s CEO, Jamie Siminoff, remarked the company started when his doorbell wasn\'t audible from his shop in his garage.\nRomanian:'}]"	Anterior, CEO-ul Ring, Jamie Siminoff, afirmase că nașterea companiei a avut loc când soneria sa nu s-a auzit din magazinul său, în garaj.	Anterior, CEO-ul Ring, Jamie Siminoff, a remarcat că compania a început atunci când soneria sa nu se auzea din magazinul său din garaj.
"[{'role': 'user', 'content': 'This is an English to Romanian translation, please provide the Romanian translation for these sentences:\nEnglish: Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents\' rejection of a child\'s severe intellectual or physical impairment.\nRomanian: „Astfel de copii sunt numiți «neîmblânziți» sau sălbatici. Unii copii sălbatici au fost sechestrați de oameni (de regulă de către propriii părinți); în unele cazuri, abandonul copilului s-a datorat respingerii lui de către părinți, din cauza unor deficiențe intelectuale sau fizice severe.”\nEnglish: NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.\nRomanian: NextGen este un sistem despre care FAA afirmă că ar permite aeronavelor să parcurgă distanțe mai scurte, economisind astfel milioane de galoane de carburant în fiecare an și diminuând emisiile de carbon.\nEnglish: Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.\nRomanian: La fel, cine are o viză Schengen nu trebuie să obțină o viză pentru fiecare din țările membre Schengen în parte, făcând astfel economie de timp, bani și acte de obținut.\nEnglish: Earlier this week, a police helicopter crash killed three people and wounded three more.\nRomanian: La începutul acestei săptămâni, prăbușirea unui elicopter de poliție a dus la moartea a trei persoane și rănirea altora trei.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nRomanian: Directorul Corpului public de Procurori, Kier Starmer QC, a făcut azi-dimineață o declarație în care a anunțat trimiterea în judecată atât a lui Huhne, cât și a lui Pryce.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nRomanian:'}]"	A construit o sonerie de ușă WiFi, a spus el.	El a construit o sonerie cu WiFi, a spus el.
[{'role': 'user', 'content': 'This is an English to Romanian translation, please provide the Romanian translation for these sentences:\nEnglish: There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.\nRomanian: Sunt încă în viață mulți bărbați și multe femei care au supraviețuit internării acolo, și mult mai mulți care au avut membri ai familiei care au fost uciși sau siliți să lucreze până la moarte acolo, atât evrei cât și alții.\nEnglish: Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.\nRomanian: Limitele de viteză sunt semnificativ inferioare celor din secțiunile precedente – în general 35-40 mph (56-64 km/h) – și este cu atât mai important să fie respectate cu strictețe.\nEnglish: They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.\nRomanian: Ei au descoperit că Soarele funcționează după aceleași principii de bază ca și alte stele: activitatea tuturor stelelor din sistem s-a dovedit a fi condusă de luminozitatea lor, de rotația lor și de nimic altceva.\nEnglish: Apia was founded in the 1850s and has been the official capital of Samoa since 1959.\nRomanian: Apia a fost fondată în anii 1850 și a fost capitala oficială a statului Samoa începând cu 1959.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nRomanian: Directorul Corpului public de Procurori, Kier Starmer QC, a făcut azi-dimineață o declarație în care a anunțat trimiterea în judecată atât a lui Huhne, cât și a lui Pryce.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nRomanian:'}]	Siminoff a declarat că vânzările au crescut după apariția sa în 2013, într-un episod din Shark Tank, unde grupul de investitori al programului a refuzat să finanțeze startup-ul.	Siminoff a spus că vânzările s-au îmbunătățit după apariția sa într-un episod Shark Tank din 2013, în care panoul emisiunii a refuzat finanțarea start-up-ului.
[{'role': 'user', 'content': 'This is an English to Romanian translation, please provide the Romanian translation for these sentences:\nEnglish: The Amazon is also the widest river on Earth, at times six miles wide.\nRomanian: Amazonul este, de asemenea, cel mai lat fluviu de pe Pământ, având pe alocuri o lățime de șase mile.\nEnglish: Fruit pastries are common, with apples cooked into pastries year round, and cherries and plums making their appearances during the summer.\nRomanian: Produsele de patiserie cu fructe sunt obișnuite, merele fiind folosite de-a lungul întregului an, iar cireșele și prunele făcându-și apariția vara.\nEnglish: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.\nRomanian: Conform poliției, conducătorul vehiculului care l-a lovit pe fotograf probabil nu va fi inculpat.\nEnglish: Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.\nRomanian: Robin Uthappa a obținut scorul cel mai înalt al reprizei, 70 de runuri, pentru doar 41 de aruncări, marcând 11 de patru și 2 de șase.\nEnglish: Virtual team members often function as the point of contact for their immediate physical group.\nRomanian: Membrii virtuali ai echipei adesea au rolul de a oferi un punct de contact pentru grupul fizic din care fac parte.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nRomanian:'}]	La sfârșitul lui 2017, Siminoff a apărut la canal de televiziune de cumpărături QVC.	La sfârșitul anului 2017, Siminoff a apărut pe canalul de televiziune de shopping QVC.
[{'role': 'user', 'content': 'This is an English to Romanian translation, please provide the Romanian translation for these sentences:\nEnglish: Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.\nRomanian: Încercați să vă îndreptați spre o poziție unde nu sunteți prinși din nou și, în funcție abilitățile pe care le aveți și dacă v-a văzut sau nu cineva, s-ar putea să doriți să așteptați să fiți salvat.\nEnglish: Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.\nRomanian: Cuomo, în vârstă de 53 de ani, și-a început guvernarea la începutul acestui an și a semnat luna trecută un proiect de lege, prin care se legalizează căsătoria între persoane de același sex.\nEnglish: Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.\nRomanian: Femeile găteau în curte; magazinele erau doar tejghele care dădeau drept în stradă. La construcția caselor se folosea piatră.\nEnglish: Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.\nRomanian: În zilele noastre, mulți sámi au ocupații moderne. Turismul este o sursă importantă de venit pentru Sápmi, zona sámi.\nEnglish: For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.\nRomanian: De exemplu, în fiecare an studenții de la școala Bennet, din Carolina de Nord proiectează un site web despre excursia lor în capitala statului, în fiecare an site-ul este remodelat, iar versiunile anterioare sunt menținute online, pentru a servi drept album.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nRomanian:'}]	Ring a ajuns, de asemenea, la un acord de conciliere într-un proces cu compania de securitate concurentă, ADT Corporation.	Ring a încheiat și un proces cu compania concurentă de securitate, ADT Corporation.
