messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nSouthern Pashto:'}]"	"هغه زیاته کړه ""چې اوس موږ د ۴ میاشتو زوړ موږکان لرو چې غیر شکرې ناروغ دي چې د شکرې ناروغي درلوده، هغه زیاته کړه. """	"مونږ اوس د څلور میاشتنو خوښې لرو چې ناروغه نه دي کوم چې پخوا ناروغه وو،"" هغه زیاته کړه."""
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nSouthern Pashto:'}]	داکتر ایهود اور په هالیفاکس په دالهوسی پوهنتون کې د طب پروفیسور، نووا سکوشیا او د شکر ناروغۍ کانادایی اتحادیې د کلنیکي او ساینسي برخې مشر خبرداری ورکړی چې څیړنه لا تراوسه په لومړیو ورځو کې ده.	ډاکټر ایهود اُر، د طب استاد په ډالهوزي پوهنتون کې په هیلفکس، نوا سکوشیا کې او د کاناډا د شکرې ناروغۍ د انجمن د کلینیکي او علمي څانګې مشر وویل چې څیړنه لا هم په لومړیو ورځو کې ده.
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nSouthern Pashto:'}]	لکه د بعضې نورو متخصیصینو په شان، هغه په شک دې چې آیا د شکرې ناروغي به د تداوۍ وړ وي او که نه. که څه هم دا موندنې د هغو خلکو پورې اړه نلري چې له وړاندې اوله درجه د شکرې رنځ لري	نورو ماهرانو په شان، هغه هم دا شک لري چې آیا دیابت کیدای شي علاج شي، په دې ټینګار سره چې دا کشفونه د هغو کسانو سره هیڅ تړاو نلري چې له مخه دی ډول ۱ دیابت لري.
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nSouthern Pashto:'}]	د دوشنبې په ورځ Sara Danius په سویدني اکادمۍ کې د ادبیاتو لپاره د نوبل کمیتې دایمې سکرترې په سویدن کې د Sveriges Radio د رادیو پروګرام له لارې عام اعلان وکړ چې کمیتې ددې له وجې چې په مستقیم ډول په ادبیاتو کې د کال 2016 د نوبل جایزې د ګټلو په اړه Bob Dylan ته رسیدلو کې پاتې راغلي، هغې ته د رسیدلو په پار خپل کوښښونه درولي دي.	د سوموار په ورځ، سارا دانیوس، د ادبیاتو د نوبل کمیټې د دایمي سکرتر په توګه د سویډن اکاډمۍ په سویډن کې د سوريجز راډیو په یوه راډیو پروګرام کې په عامه توګه اعلان وکړ چې کمیټه، د ۲۰۱۶ کال د ادبیاتو د نوبل جایزې په ګټلو کې د باب دیلن سره په مستقیم ډول د اړیکې په نیولو کې ناکامه شوې وه، د هغه سره د اړیکې د نیولو هڅې پریښودلې وې.
"[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nSouthern Pashto:'}]"	"دانیوس وویل "" اوسمهال موږ څه نه کوو. ما د هغه ډیر نژدې ملګري ته تلیفونونه او ایمیلونه کړي او د هغې څخه مې ډیر دوستانه ځوابونه ترلاسه کړي، د اوس لپاره دا په ښکاره ډول کافي ده"""	"دانیوس وویل، ""اوس مهال موږ هیڅ نه کوو. زه یې تر ټولو نژدې همکار ته زنګونه وهلي او ایمیلونه لیږلي یم او ډېر ملګري ځوابونه ترلاسه کړي دي. دا مهال، دا په یقین سره کافي دی."""
"[{'role': 'user', 'content': ""This is an English to Southern Pashto translation, please provide the Southern Pashto translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.\nSouthern Pashto:""}]"	وړاندې له دې، د رینګ اجراییه رییس جیمي سیمیناف څرګندونه کړې وه چې دده شرکت هغه وخت پیل وکړ چې د دروازې زنګ یې له دوکان څخه دده په ګراج کې نه اوریدل کېدل.	پخوا رنګ شرکت مشر جېمي سيمينوف وويل، دا شرکت پيل شو کله چې د هغه کور زنګ ورته په خپله ګراژ کې له دوکان نه اورېدل کېده.
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nSouthern Pashto:'}]	هغه د وائي فائي دروازې زنګ جوړ کړو، هغه وویل.	هغه وای فای دروازه زنګ جوړ کړ، هغه وویل.
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nSouthern Pashto:'}]	سمینوف وویل چې د هغه د شارک ټینک په خپرونه کې د څرګندیدو وروسته چیرته چې د خپرونې ټیم د نوي شروع شوي تجارت د تمویلول ودرول خرڅلاو زیات شو.	سیمیناف وویل چې خرڅلاو وروسته له هغې زیات شو کله چې هغه په ۲۰۱۳ کال کې د شارک ټانک په قسط کې راڅرګند شو، چیرته چې د شو پینل د سټارټ اپ د مالي مرستې ورکولو نه انکار وکړ.
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nSouthern Pashto:'}]	د 2017 کال په وروستیو کې سیمینوف د QVC د پیرلو په چینل کې را څرګند شو.	په ۲۰۱۷ کال کې په وروستیو کې، سیمینوف د خرڅلاو ټلویزیوني چینل کیو وي سي په کې څرګند شو.
[{'role': 'user', 'content': 'This is an English to Southern Pashto translation, please provide the Southern Pashto translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nSouthern Pashto:'}]	د Ring د خپل امنیتي سیال شرکت ADT Corporation د حقوقي دعوې پیسې هم ورکړې.	رنګ هم د سیالۍ امنیتي شرکت، د ADT کارپوریشن سره د مقدمې حل کړی.
