messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nLimburgish:'}]"	“Veer höbbe noe muis vaan 4 maond aajd die gein diabetes höbbe mer wel iers diabetes hadde,” veugde heer touw.	"""Veer höbbe noe 4-maond-awd meuskes dae neet diabetes höbbe, mer vreuger waal."" höbbe hae toegevoogd."
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nLimburgish:'}]	Dr. Ehud Ur, perfesser medicijne aon Dalhousie University in Halifax, Nova Scoatia en veurzitter vaan de klinische en weitensjappeleke devisie vaan de Canadian Diabetes Association, waarsjouwde dat ‘t nog altied vreug in ‘t oonderzeuk is.	Dr. Ehud Ur, professor in de geneeskunde aan de Dalhousie Universiteit in Halifax, Nova Scotia en voorzitter van de klinische en wetenschappelijke divisie van de Canadese Diabetes Associatie waarschuwde dat het onderzoek nog in de beginfase is.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nLimburgish:'}]	Zjus wie sommege aandere experts is heer sceptisch of sukkerzìkde geneze kin weure, drop wiezend da dees bevindinge neet relevant zien veur lui die al sukkerzìkde Type 1 höbbe.	Wie sommige andere experts, is he sceptisch euver of diabetes geneze kin weure, en he merk op dat deze bevindinge geine relevantie höbbe veur luuj die al Type 1 diabetes höbbe.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nLimburgish:'}]	Op maondag kóndigde Sara Danius, sikkertaris-ginneraol vaan ‘t Nobelcommité veur Literatuur bij de Zweedse Academie, publiekelek aon tijdens ‘n radioprogramma op Sveriges Radio in Zwede dat ‘t commité, neet in staat um Bob Dylan direk te bereike euver ‘t winne vaan de Nobelpries vaan 2016 veur Literatuur, waor oetgesjeid met hun inspanninge häöm te bereike.	Op maandig, Sara Danius, blieëvend secretaris van de Nobelcommissie veur Literatuur beej de Zweedse Akademie, haet in 'n radio-programma op Sveriges Radio in Zwede bekendgemaak det de commissie, neet in sjtaat um Bob Dylan direk te bereike euver 't winne van de Nobelpris veur Literatuur in 2016, zien poginge um in contact te kómme met hem haet opgegaeve.
"[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nLimburgish:'}]"	Danius zag: “Op dit momint doen v’r niks. Iech höb gebeld en e-mails versjik nao zien naoste collega en erg vrunteleke reacties oontvaange. Op dit momint is da zeìker genóg.”	"Danius zagk, ""Op dit moment doon v'r niks. Ich höb gebeld en emails gestuurd nao zien naobeste medewerker en kreegk hiel vrunjelikke antwoorde. Veur noe is dat zeker genóg."""
"[{'role': 'user', 'content': ""This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.\nLimburgish:""}]"	Ieder leet Ring’s CEO Jamie Siminoff opmèrke, dat ‘t bedrief waor opgeriech naodat zien deurbel neet huurbaar waor vaanoet z’ne winkel in z’n graasj.	Veureg, de CEO van Ring, Jamie Siminoff, merkde op dat 't bedrief begós toen zien deurbel neet te heure waor vanoet zien winkel in zien garage.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nLimburgish:'}]	Heer maakde ‘n Wi-Fi deurbel, zag ‘r.	Hae haet eine WiFi deurbel gebawd, zag hae.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nLimburgish:'}]	Siminoff zag dat de verkoup steeg nao zien optrejje in ‘n aoflievering vaan Shark Tank in 2013, boe ‘t panel vaan ‘t program weigerde de startup te financere.	Siminoff zagge de verkoop toeneme nao zien optreaje in 2013 in ein Shark Tank-aflevering wo de showpanel neet investeerde in de start-up.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nLimburgish:'}]	Ind 2017 versjijnde Sinimoff op tèllevisie bij de verkaopzender QVC.	In 't lèt 2017 is Siminoff op de shopping televisiekanal QVC verschenen.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nLimburgish:'}]	Ring sjikde ouch ‘n perces mèt concurrerend beveilegingsbedrief ADT Corporation.	Ring haet ouch ein rechszaak aafgewikkeld mit 't konkurrerend beveiligingsbedrief, de ADT Corporation.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.\nLimburgish:'}]	Allewel ‘t liekent dat ein expirimenteìl vaccin t  dùtgoàn an Ebola kan verleìge, zien er tot noe touw gein medicijne die duudelek aontoene gesjik te zien um al bestaonde infecties te behandele.	Terwiel eine experimentele vaccin sjijnt in sjtaat te zeen um de mortaliteit van Ebola te vermindere, zien d'r tot noe toe gein medicatie dudelik beweze gesjik veur 't behanjelen van besjtaonde infectie.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.\nLimburgish:'}]	Eine antistofcocktail, ZMapp, waor aonvaankelek in de praktiek väölbelaovend, mer formele oonderzeuke gaove aon dat ‘t minder veurdeil had daan boe nao woort gezeuk in ‘t veurkaome vaan sterfte.	Eine antilichaamcocktail, ZMapp, toonde aanvankelijk belofte in het veld, maar formele studies gaven aan dat het minder voordeel had dan gewenst bij het voorkomen van de dood.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.\nLimburgish:'}]	In de PALM proof, deende ZMapp es control, wat beteikent dat weitensjappers ‘t gebruukde es ‘n oetgaankspunt um de aander drei behandelinge mèt te vergelieke.	In de PALM-proef diende ZMapp als een controle, wat betekent dat wetenschappers het als referentie gebruikten en de drie andere behandelingen ermee vergeleken.
"[{'role': 'user', 'content': ""This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.\nLimburgish:""}]"	USA Zjimnastiek steunt de breef vaan ‘t Amerikaonse Olympische Commité en erkint de abselute noedzaak vaan de Olympische femilie um ‘n veilege umgeving te behertege veur al euze atlete.	USA Gymnastics sjteunt de brief van 't Verenigde Staten Olympisch Comité en accepteert de absolute noodzaak van de Olympische familie om 'n veilige umgeving te bevorderen veur al ós sporters.
"[{'role': 'user', 'content': ""This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.\nLimburgish:""}]"	Veer zien ‘t eins met de verklaoring vaan USOC dat de belange vaan euze atlete en clubs, en hun sport, beter gedeend zouwe zien door väöroet te goon met beteikenisvolle verandering binne euze organisatie, in plaots vaan decertificatie.	Veer goon akkoord mit de verklaring van de USOC det de belange van ós sporters en clubs, en hun sport, baeter bediend kènne waere door veurwaarts te gaon mit beteikenend verangering binne ós organisatie, in plaats van ontzègging.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.\nLimburgish:'}]	USA Zjimnastiek steunt ‘n oonaofhenkelek oonderzeuk dat leech maag sjijne op wie misbruuk vaan dees propoortie zoe dapper umsjreve door de euverlevende vaan Larry Nassar zoe lang oongezeen kos blieve en umerp alle noedzakeleke en passende veranderinge.	USA Gymnastics steunt een onafhankelijk onderzoek dat mogelijk licht kan werpen op hoe misbruik van de omvang die zo moedig beschreven is door de overlevenden van Larry Nassar zo lang onopgemerkt kon blijven en omarmt alle noodzakelijke en passende veranderingen.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.\nLimburgish:'}]	USA Zjimnastiek en ‘t USOC höbbe ‘tzelfde doel - zjimnastiek, en aander sporte, zoe veilig meugelek make veur atlete um hun druime te volge in ‘n veilege, goeì en stèrke umgeving.	USA Gymnastics en de USOC höbbe 't zelfde doel - de sport van gymnastiek, en andere sporten, zo veilig meugelijk make veur atleten um hun druime te volge in 'n veilige, positieve en krachtdadige umgeving.
[{'role': 'user', 'content': 'This is an English to Limburgish translation, please provide the Limburgish translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.\nLimburgish:'}]	In de jaore 60 wèrkde Brzezinski veur John F. Kennedy es z’ne adviseur en vervolges veur de Lyndon B. Johnson regering.	Gedurende de jaren 1960 werkte Brzezinski voor John F. Kennedy als zijn adviseur en vervolgens voor de administratie van Lyndon B. Johnson.
