messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Shona translation, please provide the Shona translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nShona:'}]"	"""Pari zvino tave nembeva ina-dzine mwedzi-mina dzisina chirwere cheshuga kunyange dzaimbova nechirwere cheshuga"", akadaro zvakare."	"""Tinotora mbeva dzinomira dzisiri dzinotadzira dzisina kusara dzinotadzira,"" akabvumira."
[{'role': 'user', 'content': 'This is an English to Shona translation, please provide the Shona translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nShona:'}]	Dr. Ehud Ur, purofesa wezvekurapa wepaDalhousie University muHalifax, Nova Scotia uye sachigaro webazi rezvekurapa uye zvesainzi reCanadian Diabetes Association akapa yambiro yekuti tsvakurudzo yacho ichiri kutanga.	Dr. Ehud Ur, muporofesa wechimedzwa mune Dalhousie University mu Halifax, Nova Scotia uye mubvunzo wechikamu chemaCanadian Diabetes Association akatanga kuti kufamba kwematsva kune dzimwe nyaya.
[{'role': 'user', 'content': 'This is an English to Shona translation, please provide the Shona translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nShona:'}]	Sevamwe vana mazvikokota, haanyatsotenda kuti chirwere cheshuga chinogona kurapwa, achitarisa kuti zviwanikwa hazvina basa nevanhu vane chirwere cheshuga cheType 1.	Sezvo vanhu vamwe vevanhu vekushandiswa, akanganwazve kuti kubatsirwa kwematsva kunogadzirwa here, akumbira kuti zviri izvi hazvina kugadzirwa kune vanhu vane diabetes yeType 1 kana vachiri navo.
[{'role': 'user', 'content': 'This is an English to Shona translation, please provide the Shona translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nShona:'}]	Nemusi weMuvhuro, Sara Danius, munyori weNoble Committee for Literature paSwedish Academy, akataura paredhiyo yeSveriges kuti sezvo vakanga vatadza kubata Bob Dylan pachake nezvekuhwina kwake mubairo weNobel Prize in Literature wa2016, vakanga vasiyana nekuramba vachiedza kumutsvaga.	Mugore raMuvhuro, Sara Danius, seketeri yekomiti yeNobel yeLiterature yeSwedish Academy, rakanganisira pakati pechirongwa chekutanga cheSveriges Radio muSweden komiti, yairatidza kubva kumusoro kweBob Dylan kubva kumusoro weNobel Prize yeLiterature ye2016, yakangobvumirwa kutora zvose.
"[{'role': 'user', 'content': 'This is an English to Shona translation, please provide the Shona translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nShona:'}]"	"Danius akati, ""Iye zvino hapana zvatiri kuita. Ndakatumira maemail kumunhu waanoshanda naye waari pedyo naye zvikuru uye akapindura zvakanakanaka. Saka tingati taedzawo zvatinokwanisa."	"Danius akati, ""Kuno tiri kuita zvakanaka. Ndakapindura nekutumira email kune ane akakurumidza neniwo ndakapindura zvakanaka. Pakati pacho, izvi zvakafanana nezvakanaka."""
"[{'role': 'user', 'content': ""This is an English to Shona translation, please provide the Shona translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.\nShona:""}]"	Mukuru weRing, Jamie Siminoff, akambenge ataura kuti kambani yake yakatanga kubva pakusanzwika kwebhero rechitoro chake chemugaraji.	Kukanganwirwa, CEO yeRing, Jamie Siminoff, akabvuma kuti kampani yakabva kare kare iye dzinoratidza kuti dzinogara kare kare kubva kumagariro ake.
[{'role': 'user', 'content': 'This is an English to Shona translation, please provide the Shona translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nShona:'}]	Akati akagadzira bhero repadhoo rinoshandisa masaisai eWifi.	Akabatira dzinza rekugadzirisa dzinobva kumaitiro emaWiFi, akati.
[{'role': 'user', 'content': 'This is an English to Shona translation, please provide the Shona translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nShona:'}]	Siminoff akati zvitengeso zvakasimudzwa mushure mekuonekwa kwake muchikamu che Shark Tank muna2013 apo vatungamiri vemutambo vakaramba kutsigira nemari bhisimusi rekutanga iri.	Siminoff akati mabasa aitenderedzwa mushure mekutanga kwake mukupinda kwe2013 mune Shark Tank episode ino pane vamwe vachida kutora mari kune startup.
[{'role': 'user', 'content': 'This is an English to Shona translation, please provide the Shona translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nShona:'}]	Kokupedzisira kwegore ra2017, Siminoff aibuda panhepfenyuro yeQVC yepa terevhizheni yekutenga.	Mugore ra2017, Siminoff akabuda paQVC, chikamu chekushandisa.
[{'role': 'user', 'content': 'This is an English to Shona translation, please provide the Shona translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nShona:'}]	Ring yakagadzirisawo mhosva nekambani yainokwikwidzana nayo pane zvekuchengetedza, yeADT Corporation.	Ring zvakapindira kubvuma chikoro nekushandirwa nemukuru wechikamu chekubatanidza, ADT Corporation.
