messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for these sentences:\nEnglish: Accepted were Aristotle\'s views on all matters of science, including psychology.\nIrish: Ghlactaí le tuairimí Aristotle ar gach ceist eolaíochta, an tsíceolaíoch san áireamh.\nEnglish: In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.\nIrish: Sna laethanta tosaigh, bhí an seó le feiceáil go hiomlán ar an suíomh raidió ar líne seanbhunaithe TogiNet Radio, suíomh a dhírigh ar chláir cainte raidió.\nEnglish: A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.\nIrish: Ní féidir ach dhá luach a bheith ar uimhir dhénártha, i.e. 0 nó 1, agus tugtar digiteacha dénártha ar na huimhreacha sin - nó giotaí, mar a thugtar orthu i mbéarlagair ríomhaireachta.\nEnglish: Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world\'s population.\nIrish: Cuimhnigh, le do thoil, gur ar oll-láithreán uaighe, go bunúsach, atá tú ag tabhairt cuairt, suíomh a bhfuil brí as cuimse aige do chion suntasach de dhaonra an domhain.\nEnglish: The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.\nIrish: Ceann de na seachtar iontas atá fós ina seasamh inniu is ea an Phirimid Mhór ag Giza.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nIrish:'}]"	"""Tá lucha 4 mhí d’aois againn anois a bhíodh diaibéiteach tráth ach nach bhfuil anois,"" a dúirt sé."	"""Tá luchóga 4 mhí d'aois againn anois nach bhfuil diabéiteach a bhíodh orthu,"" a dúirt sé."
"[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for these sentences:\nEnglish: It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.\nIrish: Bhí sé le maireachtáil go ceann 40 bliain agus bheadh an troid déanta i ndáiríre, ag seach-airm, ar láithreacha catha ón Afraic go dtí an Áis, in Afganastáin, Cúba agus roinnt áiteanna eile.\nEnglish: ""They are cooler than the surrounding surface in the day and warmer at night.\nIrish: Bíonn siad níos fionnuaire ná an dromchla timpeall orthu de ló agus níos teo istoíche.\nEnglish: Such things have become separate disciplines, which focus on providing solutions to real life problems.\nIrish: Disciplíní ar leith is ea nithe den sórt sin anois, ina ndírítear ar réitigh a sholáthar ar fhadhbanna san fhíorshaol.\nEnglish: Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.\nIrish: Tá sé léirithe ag taighde san fhichiú haois go bhfuil dhá linn d\'éagsúlacht gheiniteach: folaithe agus léirithe.\nEnglish: All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today.\nIrish: Tríd is tríd, ní haon ionadh go bhfuair ár sinsir réiteach ar an ""bhfadhb próitéine"" a bhíodh acu, beagnach sa tslí chéanna mar a dhéanann simpeansaithe ar an sabhána sa lá atá inniu ann.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nIrish:'}]"	De réir na comhairle a thug Dr. Ehud Ur, ollamh le leigheas in Ollscoil Dalhousie in Halifax, an Albain Nua agus cathaoirleach ar rannán cliniciúil agus eolaíochta de Chomhlachas Diaibéitis Cheanada, níl ach tús curtha leis an taighde fós.	Dr. Ehud Ur, ollamh leighis in Ollscoil Dalhousie i Halifax, Nova Scotia agus cathaoirleach ar an gdivision cliniciúil agus eolaíochta de Chumann Diaibéiteas na hÉireann, chuir in iúl go bhfuil an taighde fós i dtús a ré.
[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for these sentences:\nEnglish: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.\nIrish: Is í an Iodáilis an teanga laethúil a úsáideann mórchuid na ndaoine a oibríonn sa stát ach is minic a úsáidtear Laidin i searmanais reiligiúnacha.\nEnglish: For the Springboks, it ended a five-match losing streak.\nIrish: Do na Springboks, ba é sin deireadh le sraith cailliúintí de chúig chluiche as a chéile.\nEnglish: Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.\nIrish: Líomhnaítear gur ainmhithe a thóg daoine eile; deirtear go raibh cuid acu ina gcónaí san fhiántas leo féin.\nEnglish: Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.\nIrish: Ar na spóirt is mó tóir tá peil, cispheil, eitpheil, póló uisce, pionsóireacht, rugbaí, rothaíocht, haca oighir, haca rollóra agus rásaíocht carr F1.\nEnglish: It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).\nIrish: Is ceann de na príomhrudaí a mheallann turasóirí é agus meastar gurbh é páirc shuaitheanta as Páirceanna Náisiúnta na hAfraice Theas (SANParks).\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nIrish:'}]	Cosúil le roinnt saineolaithe eile, tá amhras air cibé an féidir diaibéiteas a leigheas, ag tabhairt faoi deara nach bhfuil baint ar bith ag na torthaí seo le daoine le diaibéiteas cineál 1 acu cheana féin.	Mar aon le roinnt saineolaithe eile, tá sé míshástach faoi an féidir le diabéiteas a leigheas, ag tabhairt faoi deara nach bhfuil baint ar bith ag na torthaí seo le daoine atá agus diabéiteas cineál 1 acu cheana féin.
"[{'role': 'user', 'content': ""This is an English to Irish translation, please provide the Irish translation for these sentences:\nEnglish: Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.\nIrish: Níl mórán daoine ina gcónaí i gceantair mhóra níos faide ó thuaidh agus tá cuid dó ina fiántas atá nach mór neamháitrithe.\nEnglish: In the warm climate of the Middle East, the house was not so important.\nIrish: In aeráid te an Mheánoirthir, ní raibh an teach chomh tábhachtach.\nEnglish: If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.\nIrish: Má thagann an tír a thabharfaidh tú cuairt air faoi réir comhairleach taistil, d’fhéadfadh go mbeadh tionchar ar d’árachas sláinte taistil nó d’árachas cealaithe turais.\nEnglish: Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.\nIrish: Fiú go traidisiúnta, áfach, ní bhíodh na Sámi uile i mbun fearachais réinfhianna ar scála mór, bhíodh siad ag maireachtáil trí iascaireacht, sealgaireacht agus rudaí cosúla a dhéanamh, agus ba é mar ainmhithe tarraingthe is mó a d'úsáididís na réinfhianna.\nEnglish: German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.\nIrish: Bíonn cístí Gearmánacha blasta go leor, agus sa Bhaváir bíonn siad sách saibhir agus éagsúil, comhchosúil le siúd a ndéantar ina tír comharsan ó dheas, an Ostair.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nIrish:""}]"	Dé Luain, d’fhógair Sara Danius, rúnaí buan Choiste Litríochta Nobel in Acadamh na Sualainne, go poiblí le linn clár raidió ar Sveriges Radio sa tSualainn, go raibh an coiste, nach raibh in ann teagmháil dhíreach a dhéanamh le Bob Dylan faoi Dhuais Nobel sa Litríocht 2016 a bhuachan. tar éis éirí as a chuid iarrachtaí chun teacht air.	Dé Luain, d'fhógair Sara Danius, rúnaí buanchoiste Choiste Nobel na Litríochta in Acadamh na Sualainne, go poiblí le linn clár raidió ar Sveriges Radio in Éirinn, go raibh an coiste, nach raibh in ann dul i dteagmháil go díreach le Bob Dylan faoi bhua an Duais Nobel 2016 sa Litríocht, tar éis a chuid iarrachtaí a thréigean.
"[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for these sentences:\nEnglish: This means you can visit the historic city for a couple of full days while returning and sleeping on the ship at night.\nIrish: Ciallaíonn sé sin gur féidir leat cúpla lá iomlán a chaitheamh sa chathair stairiúil agus filleadh chun codladh a dhéanamh ar an long istoíche.\nEnglish: Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.\nIrish: Dúirt na póilíní gur dóigh leo gur míleatach a líomhnaítear a bhain le Daesh (ISIL) a bhí freagrach as an ionsaí.\nEnglish: Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.\nIrish: Tá na húdaráis den tuairim gur comhartha é sin b\'fhéidir go bhfuil na coimeádáin ina mbíonn breosla úráiniam ag an suíomh tar éis briseadh agus go bhfuil siad ag sceitheadh.\nEnglish: In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.\nIrish: Ina theannta sin, cuimhnigh go meallann bolaí áirithe béir agus fiadhúlra eile, mar sin ná déan bianna a bhfuil boladh láidir uathu a iompar ná a chócaráil agus bíodh an campa glan i gcónaí.\nEnglish: When you call someone who is thousands of miles away, you are using a satellite.\nIrish: Nuair a ghlaonn tú ar dhuine atá na mílte míle i bhfad uait, tá satailít in úsáid agat.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nIrish:'}]"	"Dúirt Danius, ""Níl muid ag déanamh dada faoi láthair. Chuir mé glao ar a chomrádaí is dlúithe leis agus sheol mé ríomhphoist chuig an duine sin agus fuair mé freagairt an-chairdiúl dá réir. Is leor é sin cinnte faoin am seo."""	"Dúirt Danius, ""Faoi láthair níl muid ag déanamh aon rud. Táim tar éis glaoch a chur agus ríomhphoist a sheoladh chuig a chomhoibrí is gaire agus freagraí an-chairdiúla a fháil. Ar an gcéad dul síos, tá sin go cinnte go leor."""
"[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for these sentences:\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nIrish: ""Tá lucha 4 mhí d’aois againn anois a bhíodh diaibéiteach tráth ach nach bhfuil anois,"" a dúirt sé.\nEnglish: Wagonways were built in England as early as the 16th Century.\nIrish: Tógadh bealaí do vaigíní i Sasana chomh luath leis an 16ú haois.\nEnglish: Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.\nIrish: Tarlaíonn formhór básanna de bharr tuirse ón iarracht snámh ar ais i gcoinne an easa rud a d\'fhéadfadh a bheith indéanta.\nEnglish: Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.\nIrish: Faightear speisialú déchosach in iontaisí Australopithecus ó 4.2-3.9 milliún bliain ó shin, cé go bhféadfaí go mbíodh Sahelanthropus ar siúl ar dhá chos chomh luath agus seacht milliún bliain ó shin.\nEnglish: Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.\nIrish: Is deis í an tsiopadóireacht saor ó dhleacht chun earraí a cheannach in áiteanna áirithe gan cánacha ná máil a íoc orthu.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring\'s CEO, Jamie Siminoff, remarked the company started when his doorbell wasn\'t audible from his shop in his garage.\nIrish:'}]"	Roimhe seo, dúirt Príomhfheidhmeannach Ring, Jamie Siminoff, gur thosaigh an chuideachta as smaoineamh a bhuail é nuair nár fhéad sé clog a dhorais a chloisteáil óna shiopa ina gharáiste.	Roimhe seo, dúirt Príomhfheidhmeannach Ring, Jamie Siminoff, gur thosaigh an comhlacht nuair nach raibh a dhordán cloisteáil óna siopa ina gharáiste.
"[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for these sentences:\nEnglish: Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents\' rejection of a child\'s severe intellectual or physical impairment.\nIrish: Deirtear go bhfuil leanaí den sórt sin ""fiáin"". Tá leanaí fiáine áirithe ann a coimeádadh sáinnithe (uaireanta ag a dtuismitheoirí féin); i gcásanna áirithe ba é máchail trom intleachta nó fisiciúil ar an leanbh a thug air na tuismitheoirí an leanbh a thréigean.\nEnglish: NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.\nIrish: Is córas é NextGen a mhaíonn an FAA a ligfeadh d’aerárthaí bealaí níos giorra a eitilt agus na milliúin galún breosla a shábháil gach bliain agus astaíochtaí carbóin a ghearradh.\nEnglish: Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.\nIrish: Ar an gcaoi chéanna, má tá víosa Schengen agat, ní gá duit iarratas ar leith a dhéanamh ar víosa d\'aon cheann de bhalltíortha Schengen, agus dá bhrí sin sábhálann tú am, airgead agus páipéarachas.\nEnglish: Earlier this week, a police helicopter crash killed three people and wounded three more.\nIrish: Níos luaithe sa tseachtain seo, maraíodh triúr agus gortaíodh triúr eile i dtimpiste héileacaptair phóilíneachta.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nIrish: Thug Kier Starmer QC, Stiúrthóir na Ionchúiseamh Poiblí, ráiteas ar maidin ag fógairt go n-ionchúiseofar Huhne agus Pryce araon.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nIrish:'}]"	Thóg sé cloigín dorais WiFi, a dúirt sé.	Dúirt sé gur thóg sé clogad WiFi.
[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for these sentences:\nEnglish: There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.\nIrish: Tá go leor fear agus bean beo fós a tháinig slán as a gcuid ama anseo, agus go leor eile ar dúnmharaíodh nó ar maraíodh le hobair daoine a bhí muinteartha leo, Giúdaigh agus neamh-Ghiúdaigh araon.\nEnglish: Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.\nIrish: Tá na luasteorainneacha postáilte i bhfad níos ísle ná mar a bhí i ranna roimhe seo agus dá éis — 35-40 msu (56-64 km/u) de ghnáth — agus tá sé níos tábhachtaí ná riamh go ngéillfimis go hiomlán dóibh.\nEnglish: They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.\nIrish: Fuair \u200b\u200bsiad amach gur oibrigh an Ghrian ar na bunphrionsabail chéanna le réaltaí eile: Fuarthas amach go raibh gníomhaíocht na réaltaí uile sa chóras á tiomáint ag a lonrachas, a rothlú, agus ní ag aon rud eile.\nEnglish: Apia was founded in the 1850s and has been the official capital of Samoa since 1959.\nIrish: Bunaíodh Apia sna 1850idí agus is príomhchathair oifigiúil Shamó í ó 1959.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nIrish: Thug Kier Starmer QC, Stiúrthóir na Ionchúiseamh Poiblí, ráiteas ar maidin ag fógairt go n-ionchúiseofar Huhne agus Pryce araon.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nIrish:'}]	Dúirt Siminoff gur tháinig borradh faoi dhíolacháin tar éis dó a bheith le feiceáil in 2013 in eipeasóid de Shark Tank inar dhiúltaigh painéal an tseó an chuideachta nua a mhaoiniú.	Dúirt Siminoff go raibh díolacháin ag dul i méid tar éis a chuid léirithe i gceathrú cúrsa Shark Tank ina ndearnadh diúltú maoiniú a thabhairt don tionscal nuathionscail.
[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for these sentences:\nEnglish: The Amazon is also the widest river on Earth, at times six miles wide.\nIrish: Is í an Amasóin an abhainn in leithne ar Domhan, leithead sé mhíle atá inti in áiteanna.\nEnglish: Fruit pastries are common, with apples cooked into pastries year round, and cherries and plums making their appearances during the summer.\nIrish: Bíonn cístí torthaí ar fáil go coitinn, úlla bácáilte istigh iontu ar fud na bliana, agus gheofar silíní agus pluma iontu i rith an tsamhraidh.\nEnglish: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.\nIrish: De réir na bpóilíní, ní dócha go gcuirfear cúiseanna coiriúla i leith thiománaí na feithicle a bhuail an grianghrafadóir.\nEnglish: Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.\nIrish: Ba é Robin Uthappa a bhain an scór is airde sa dreas, 70 rith in díreach 41 liathróid trí 11 cheathair agus 2 shé a bhualadh.\nEnglish: Virtual team members often function as the point of contact for their immediate physical group.\nIrish: Is minic a fheidhmíonn baill foirne fíorúla mar phointe teagmhála dá ngrúpa fisiceach láithreach.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nIrish:'}]	Go déanach in 2017, bhí Siminoff le feiceáil ar an gcainéal teilifíse siopadóireachta QVC.	I ndeireadh 2017, léirigh Siminoff ar an gclár teilifíse siopadóireachta QVC.
[{'role': 'user', 'content': 'This is an English to Irish translation, please provide the Irish translation for these sentences:\nEnglish: Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.\nIrish: Triail díriú in áit nár rugadh ort, nó ag brath ar do leibhéal scile agus cibé ar tugadh faoi deara thú, is féidir gurbh fhearr fanacht ar tharrtháil.\nEnglish: Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.\nIrish: Chuir Cuomo, 53, tús lena ghobharnóireacht níos luaithe i mbliana agus shínigh sé bille an mhí seo caite lena ndéantar dleathach an pósadh comhghnéis.\nEnglish: Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.\nIrish: Rinne mná an chócaireacht sa chlós; ní raibh sna siopaí ach cuntair oscailte ag féachaint isteach sa tsráid. As cloch a tógadh na tithe.\nEnglish: Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.\nIrish: Sa lá atá inniu ann oibríonn go leor Sámach i gceirdeanna nua-aimseartha. Ioncam tábhachtach í an turasóireacht i Sápmi, ceantar na Sámach.\nEnglish: For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.\nIrish: Mar shampla, gach bliain dearann scoláirí ó Scoil Bennet i North Carolina láithreán gréasáin ar ábhar a dturas go dtí Príomhchathair an Stáit, gach bliain déantar an láithreán gréasáin a athchóiriú, ach coinnítear na seanleaganacha ar líne chun feidhmiú mar leabhar ghearrthóg.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nIrish:'}]	Shocraigh Ring cás dlí chomh maith leis an gcuideachta slándála, Corparáid ADT, a bhí in iomaíocht leis.	D'aontaigh Ring freisin reachtaíocht le cuideachta slándála comórtha, ADT Corporation.
