messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for these sentences:\nEnglish: Accepted were Aristotle\'s views on all matters of science, including psychology.\nMagahi: मनोविज्ञान सहित विज्ञान के सभी मामलन पर अरस्तू के विचार स्वीकृत हलय।\nEnglish: In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.\nMagahi: अपन शुरुआती दिनों में, ई शो पूरी तरह से लंबे समय से चल रहल इंटरनेट रेडियो साइट टोगीनेट रेडियो पर दिखायल गलय हल, जे टॉक रेडियो पर केंद्रित साइट हय।\nEnglish: A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.\nMagahi: एगो बाइनरी नंबर में दो में से केवल एगो मान हो सको हय, अर्थात 0 या 1, अउ इन नंबर के कंप्यूटर शब्दजाल के उपयोग करे लगी बाइनरी अंक - या बिट्स के रूप में संदर्भित कइल जा हय।\nEnglish: Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world\'s population.\nMagahi: कृपया याद रखें कि अहां अनिवार्य रूप से एगो सामूहिक कब्र स्थल पर जा रहल हई, जौरे एगोे ऐसन साइट पर जा रहल हई जेकर दुनिया के आबादी के एगो महत्वपूर्ण हिस्सा के लेल लगभग अगणनीय अर्थ छलई।\nEnglish: The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.\nMagahi: गीज़ा के महान पिरामिड ऊ सात अजूबा में से एगोमात्र हई जे आज भी ख़ड़ा हई।\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nMagahi:'}]"	"ऊ कहलई, ""अब हमारा पास 4 महीना के चूहा हई जे गैर-मधुमेह हई जे मधुमेह होई छलई।"""	"""हमरा लग अब चार महीना के चूहा हई जे अब नॉन-डायबेटिक हई जे पहिले डायबेटिक हलथिन,"" ऊ जोड़लका।"
"[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for these sentences:\nEnglish: It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.\nMagahi: ई अगल 40 वरस तक चले वाला हले अउ वास्तविक रूप से, छद्म सेना सब द्वारा, अफ्रीका से एशिया तक, अफगानिस्तान, क्यूबा अउ ढेर सब अस्थान पर युद्ध के मैदान सब पर लड़ल जयतै।\nEnglish: ""They are cooler than the surrounding surface in the day and warmer at night.\nMagahi: ऊ दिन में आसपास के सतह से ठंडे आऊर रात में गर्म होवो हय।\nEnglish: Such things have become separate disciplines, which focus on providing solutions to real life problems.\nMagahi: ऐसी चीजें अलग-अलग विषय बन गेले हय, जे वास्तविक जीवन की समस्या के समाधान प्रदान करे पर केंद्रित हय।\nEnglish: Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.\nMagahi: बीसवीं सदी के शोध से पता चललइ हे कि आनुवंशिक भिन्नता के दु रूप हई: छिपल अउ प्रकट।\nEnglish: All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today.\nMagahi: सब पर विचार करल जाए, तो हमनि के आश्चर्य नए होबे के चाहि कि हमनि के पुरवज अपन ""प्रोटीन के समस्या"" के कुछ हद तक ओकर तरह हल करल जा हय जैसन कि आज सवाना पर चिम्पांजी सब करो हय।\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nMagahi:'}]"	डॉ. एहुद उर, हयलिफ़ैक्स, नोवा स्कोटिया में डलहौज़ी विश्वविद्यालय में मेडिसिन के प्रोफेसर आऊर कैनेडियन डायबिटीज़ एसोसिएशन के नैदानिक ​​आऊर वैज्ञानिक प्रभाग के अध्यक्ष आगाह कलकई कि शोध अभियो अपन शुरुआती दिन में हई।	हैलिफैक्स, नोवा स्कोशिया में डलहौजी यूनिवर्सिटी के दवाई के प्रोफेसर डॉ. एहुद उर, जे कैनेडियन डायबिटीज एसोसिएशन के क्लिनिकल आउर वैज्ञानिक विभाग के अध्यक्ष हथिन, सावधानी बरतलन कि शोध अभी अपना शुरुआती दिन में हय।
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for these sentences:\nEnglish: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.\nMagahi: इतालवी भी रोजमर्रा के भाषा हय जे राज्य में काम करे वाला में से अधिकांश द्वारा उपयोग कइल जा हय जबकि लैटिन अक्सर धार्मिक समारोहों में उपयोग कइल जा हय।\nEnglish: For the Springboks, it ended a five-match losing streak.\nMagahi: स्प्रिंगबोक्स के लगी, इ पांच मैचों के हार के सिलसिला समाप्त कर दलकय।\nEnglish: Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.\nMagahi: दूसर सब के बारे में कहल जा हई कि ओकरा जानवर सब पाललइ हे; कुछ के बारे में कहल जा हई कि ऊ जंगल में अकेले रह हलई।\nEnglish: Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.\nMagahi: लोकप्रिय खेल में फुटबॉल, बास्केटबॉल, वॉलीबॉल, वाटर-पोलो, तलवारबाजी, रग्बी, साइकिल चलावे, आइस हॉकी, रोलर हॉकी आऊर F1 मोटर रेसिंग शामिल हय।\nEnglish: It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).\nMagahi: ई दक्षिण अफ्रीका के मुख्य आकर्षण में से एगो हय अउ एगोरा दक्षिण अफ्रीकी राष्ट्रीय उद्यान (सैनपार्क्स) के प्रमुख मानल जा हय।\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nMagahi:'}]	कुछ अलग विशेषज्ञ के जैसन, उनके येई बात पर संदेह हई कि मधुमेह के ठीक कैल जा सकई छै कि ना, ई देखके कि आई निष्कर्ष के उन लोगन के लेल कोई प्रासंगिकता ना हई जेकरा पहिले से ही 1 टाइप मधुमेह हई।	कुछ अन्य विशेषज्ञन के तरह, ऊ मधुमेह के इलाज हो सके पर संदेह करऽ हथिन, ई बात ध्यान में रखते हुए कि ई खोज सब के उ लोग सब के कोनो संबंध नइखे जिनकरा पहिले से टाइप 1 मधुमेह हय।
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for these sentences:\nEnglish: Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.\nMagahi: आगे उत्तर में बड़े क्षेत्र काफी कम आबादी वाला हय अउ कुछ लगभग निर्जन जंगल हय।\nEnglish: In the warm climate of the Middle East, the house was not so important.\nMagahi: मध्य पूर्व के गर्म जलवायु में, घर इतना महत्वपूर्ण नए हलय।\nEnglish: If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.\nMagahi: अगर अहां जोन देश में जा रहल छी ऊ यात्रा परामर्श के अधीन हो जाई छलई, तओ अहां के यात्रा स्वास्थ्य बीमा चाहे अहां के यात्रा रद्दीकरण बीमा प्रभावित हो सकई हई।\nEnglish: Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.\nMagahi: ईहां तक \u200b\u200bकि परंपरागत रूप से, हालांकि, सभे सामी बड़का पैमाना पर बारहसिंगा पालन में शामिल नए होएल हई, लेकिन मछली पकड़े, शिकार अउ येहि तरह से करई हई, रेनडियर ज्यादातर मसौदा जानवर के रूप में होई छई।\nEnglish: German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.\nMagahi: जर्मन पेस्ट्री काफी अच्छा हय, अउ बवेरिया में, ओकर दक्षिणी पड़ोसी, ऑस्ट्रिया के समान, काफी समृद्ध अउ विविध हय।\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nMagahi:'}]	सोमरवा के, स्वीडिश अकादमी में साहित्य के लेल नोबेल समिति के स्थायी सचिव, सारा डेनियस स्वीडन में स्वेरिग्स रेडियो पर एगो रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा कलई, समिति, 2016 में साहित्य में नोबेल पुरस्कार जीते के बारे में सीधे बॉब डायलन तक पहुचाबे में असमर्थ रहलन, ओकरा तक पहुंचे के प्रयास में छोड़ देलन।	सोमार के दिन, सारा डेनियस, जे स्वीडिश अकादमी में साहित्य के लेल नोबेल समिति के स्थायी सचिव हई, स्वीडन के स्वेरिजेस रेडियो पर एगो रेडियो कार्यक्रम में सार्वजनिक रूप से घोषणा कइलथिन कि समिति, 2016 के साहित्य में नोबेल पुरस्कार जीतला पर बॉब डिलन के सीधे तौर पर नइखे पहुँच पावे में सक्षम भेल, अउ ओकरा से संपर्क करे के प्रयास छोड़ देलथिन हई।
"[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for these sentences:\nEnglish: This means you can visit the historic city for a couple of full days while returning and sleeping on the ship at night.\nMagahi: एगोर मतलब हई कि अहां रात में जहाज पर लौटते अउ सुतले पूरा दू दिन के लेल ऐतिहासिक शहर के यात्रा कर सकई छी।\nEnglish: Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.\nMagahi: पुलिस कहलै कि ओयी हमला के जिम्मेदारी एगो कथित दाएश (ISIL) आतंकवादी पर शक हई।\nEnglish: Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.\nMagahi: अधिकारियों के अनुमान हय कि इ इंगित करो हय कि साइट पर यूरेनियम ईंधन रखे वाला कंटेनर फट गलय हा आऊर लीक हो रहल हय।\nEnglish: In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.\nMagahi: एगोर अलावा, ई बात से अवगत रहें कि गंध भालू अउ अन्य वन्यजीव के आकर्षित करो हय, यहेले गंधयुक्त खाद्य पदार्थ के ले जाए या पकावे से बचल अउ एगो स्वच्छ शिविर रखें।\nEnglish: When you call someone who is thousands of miles away, you are using a satellite.\nMagahi: जब आप कोनो ऐसन व्यक्ति के बुलावो हय जे हजारों मील दूर हय:, तओ तो उपग्रह के उपयोग कर रहले हय।\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nMagahi:'}]"	"डेनियस कहलथिन, ""अभी हम कुछ ना कर रहल हई। हम उनकर सबसे करीबी सहयोगी के फोन कईले हई आऊर ईमेल भेजले हई. एकर बाद हमरा बहुत ही दोस्ताना जवाब मिलल हई। अभी के लेल, ई निश्चित रूप से पर्याप्त हई।"""	"दानियस कहलकै, ""अभी हमनी कुछ नय कर रहल छी। हम ओकर सबसे नजदीकी सहयोगी के फोन कइली अउ ईमेल भेजली हई अउ बहुत नीक जवाब भी मिलल हई। फिलहाल, ई जरूर बहुत अछै।"""
"[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for these sentences:\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nMagahi: ऊ कहलई, ""अब हमारा पास 4 महीना के चूहा हई जे गैर-मधुमेह हई जे मधुमेह होई छलई।""\nEnglish: Wagonways were built in England as early as the 16th Century.\nMagahi: इंग्लैंड में 16वीं शताब्दी में वैगनवे बनावल गेल हले।\nEnglish: Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.\nMagahi: अधिकांश मौत धारा के विपरीत पउरे के कोशिश में थकान के परिणामस्वरूप होई हई, जे असंभव हो सकइ हई।\nEnglish: Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.\nMagahi: 4.2-3.9 मिलियन वरस पहले ऑस्ट्रेलोपिथेकस जीवास्म में द्विपाद विशेसज्ञता पायल जा हय, हालांकि सहेलथ्रोपस सात मिलियन वर्ष पहले दो पैरन पर चल सको हले।\nEnglish: Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.\nMagahi: शुल्क मुक्त खरीदारी कुछ स्थान पर करे अउ उत्पाद शुल्क से छूट प्राप्त सामान खरीदे के अवसर हय।\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring\'s CEO, Jamie Siminoff, remarked the company started when his doorbell wasn\'t audible from his shop in his garage.\nMagahi:'}]"	अइसे पहिले, रिंग के CEO, जेमी सिमिनॉफ टिप्पणी कलई कि कंपनी तब शुरू होलई जब उनकर गैरेज में उनकर दोकान से ओकरा दरवाजा के घंटी ना सुनाई देत रहलई।	पहिले, Ring के CEO, Jamie Siminoff, कहलथिन कि कंपनी तब शुरू भेल जब ओकर डोरबेल ओकर गैरेज में ओकर दोकान से सुनाई नै देत हलै।
"[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for these sentences:\nEnglish: Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents\' rejection of a child\'s severe intellectual or physical impairment.\nMagahi: अइसन बच्चा लोगन के ""पाश्विक"" या जंगली कहल जा हई। कुछ जंगली बच्चा सब के लोगन (आमतौर पर उनकर अपन माए-बाप) कैद कर देलथिन हे; कुछ मामला में बच्चा के अइसन परित्याग माए-बाप द्वारा बच्चा के गंभीर बौद्धिक या शारीरिक असमर्थता के अस्वीकार करे के चलते होलई हल।\nEnglish: NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.\nMagahi: एफएए के दावा हई कि नेक्स्टजेन एगो अइसन प्रणाली हई जे विमान के छोटा रस्ता पर उड़ान भरे आऊर हर साल लाखों गैलन ईंधन बचावे आऊर कार्बन उत्सर्जन में कटौती करे के अनुमति देतइ।\nEnglish: Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.\nMagahi: येही तरह, शेंगेन वीज़ा होए से, अहां शेंगेन सदस्य देश में से प्रत्येक के लेल अलग से वीज़ा के लेल आवेदन करे के आवश्यकता नए हई, येहिलेल समय, धन अउ कागजी कार्रवाई के बचत होवो हलई।\nEnglish: Earlier this week, a police helicopter crash killed three people and wounded three more.\nMagahi: इ सप्ताह में पहिले एगो पुलिस हेलिकॉप्टर दुर्घटना में तीन लोगन मर गेलथिन एवं तीन आऊर घायल हो गेलथिन।\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nMagahi: लोक अभियोजन निदेशक कीर स्टार्मर क्यू सी आज सुबह बयान में घोषणा करलथिन हे कि हुह्ने आऊर प्राइस दुनों पर अभियोजन चलावल जतई।\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nMagahi:'}]"	ऊ एगो वाईफाई दरवाजे के घंटी बनलई, ऊ कहले।	ऊ एगो वाईफाई दरवाजा घंटी बनवलथिन हे, ऊ कहलथिन हे।
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for these sentences:\nEnglish: There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.\nMagahi: अभीयो बहुत से पुरुष अउ महिला जीवित हई जे ईहां अपन समय तक जीवित रहई, अउ बहुत से ऐसे लोगन जेकरा प्रियजन मारल गेल रहई चाहे उहाँ मृत्यु के लेल काम कैल गेल रहई, यहूदी अउ गैर-यहूदी समान रूप से।\nEnglish: Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.\nMagahi: पोस्ट कियल गेल गति सीमा पिछला अउ बाद के खंड के तुलना में काफी कम हय - आमतौर पर 35-40 मील प्रति घंटा (56-64 किमी / घंटा) - अउ ओकर सख्त आज्ञाकारिता अन्यथा से भी अधिक महत्वपूर्ण हय।\nEnglish: They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.\nMagahi: ऊ पलई कि सूर्य दोसर सितारा के जैसन मूल सिद्धांत पर संचालित होई हई: सिस्टम में सभा सितारा के गतिविधि ओकर चमक, ओकर घूर्णन, आऊर कुछो ना के द्वारा संचालित होई हई।\nEnglish: Apia was founded in the 1850s and has been the official capital of Samoa since 1959.\nMagahi: एपिया के स्थापना 1850 के दशक में होलय हल अउ 1959 से ई समोआ के आधिकारिक राजधानी हकय।\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nMagahi: लोक अभियोजन निदेशक कीर स्टार्मर क्यू सी आज सुबह बयान में घोषणा करलथिन हे कि हुह्ने आऊर प्राइस दुनों पर अभियोजन चलावल जतई।\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nMagahi:'}]	सिमिनॉफ कहलई कि शार्क टैंक एपिसोड में उनकर 2013 के उपस्थिति के बाद बिक्री में बढ़ोतरी होलई, जहवा शो पैनल स्टार्टअप के वित्त पोषित करे से मना कर देलई।	सिमिनॉफ कहलथिन कि उनकर 2013 में शार्क टैंक के एपिसोड में दिखाई देला के बाद बिक्री बढ़ गेलई, जहाँ शो पैनल स्टार्टअप के फंडिंग देवे से मना कर देलकई।
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for these sentences:\nEnglish: The Amazon is also the widest river on Earth, at times six miles wide.\nMagahi: अमेज़ॅन पृथ्वी के सबसे चौड़ी नदी भी हय, जे कभी-कभी छह मील चौड़ी होवो हय।\nEnglish: Fruit pastries are common, with apples cooked into pastries year round, and cherries and plums making their appearances during the summer.\nMagahi: फल के पेस्ट्री आम हय, सेब के साल भर पेस्ट्री में पकायल जा हय, अउ चेरी अउ प्लम गर्मि के दौरान अपन उपस्थिति बनावो हय।\nEnglish: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.\nMagahi: पुलिसिया के कहे मुताबिक, फोटोग्राफर के धक्का मारे वाला ड्राइवर के आपराधिक आरोप के सामना के करे के कोई संभावने नय हय।\nEnglish: Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.\nMagahi: रॉबिन उथप्पा महज 41 गेंद में 11 चौका आऊर 2 छक्का के मदद से 70 रन बनाके पारी के सर्वोच्च स्कोर बना देलई।\nEnglish: Virtual team members often function as the point of contact for their immediate physical group.\nMagahi: आभासी टीम के सदस्य अक्सर अपन तत्काल भौतिक समूह लगी संपर्क बिंदु के रूप में काम करो हय।\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nMagahi:'}]	2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC पर देखाई देलई।	2017 के अंत में, सिमिनॉफ खरीदारी टेलीविजन चैनल QVC पर देखायल गेलई।
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for these sentences:\nEnglish: Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.\nMagahi: कहीं ऐसन लक्ष्य करे के प्रयास करू जहां आप फेर से पकड़े नए जाएं चाहे, अहां के कौशल के आधार पर अउ कोंची अहां पर ध्यान देल गेल हई, अहां बचाव के लेल प्रतीक्षा करेके चाह सकई हई।\nEnglish: Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.\nMagahi: 53 वर्षीय कुओमो इ साल के शुरुआत में अपन शासन शुरू कैलकय आऊर पिछले महीने समलैंगिक विवाह के वैध बनावे वाला विधेयक पर हस्ताक्षर कैलकय।\nEnglish: Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.\nMagahi: आऊरत आँगन में खाना बनवो हलय; स्टोर खुलल काउंटर हलय जे गली में देख रहले हल। मकान बनवे के लगी पत्थरन के प्रयोग कियल जावो हलय।\nEnglish: Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.\nMagahi: आई कैगो सामी आधुनिक ट्रेड में काम करई छलई। सामी क्षेत्र के सपमी में पर्यटन एगो महत्वपूर्ण आय हई।\nEnglish: For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.\nMagahi: उदाहरण लगी, हर साल उत्तरी कैरोलिना के बेनेट स्कूल के छात्र राज्य की राजधानी के अपन यात्रा के बारे में एगो वेबसाइट डिजाइन करो हय, हर साल वेबसाइट के फिर से तैयार कइल जा हय, लेकिन पुराने संस्करणों को स्क्रैपबुक के रूप में काम करे लगी ऑनलाइन रखल जा हए।\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nMagahi:'}]	रिंग प्रतिस्पर्धा सुरक्षा कंपनी, ADT कोप्रेशन के जौरे एगो मुकदमो निपटलई।	रिंगो एगो मुकदमा भी सुलझा लेलकय जे प्रतिस्पर्धी सुरक्षा कंपनी, एडीटी कॉर्पोरेशन के साथ हलय।
