messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Tok Pisin translation, please provide the Tok Pisin translation for these sentences:\nEnglish: Accepted were Aristotle\'s views on all matters of science, including psychology.\nTok Pisin: Ol samting we ol i tok orait long en em ol tingting bilong Aristotle long sains (science), wantaim saikoloji (psychology).\nEnglish: In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.\nTok Pisin: Long ol nupela de bilong em, dispela \'show\' i save kamap long redio bilong intanet TogiNet Radio, dispela em i wanpela websait we i save gat ol toktok bilong redio long en.\nEnglish: A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.\nTok Pisin: Wanpela \'binary number\' em i ken i gat tupela velu (value), dispela em i 0 o 1, na ol dispela namba em ol i save kolim olsem ol \'binary digit\' - o \'bits\' long toktok bilong komputa.\nEnglish: Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world\'s population.\nTok Pisin: Plis tingim olsem yu bai lukim wanpela bikpela matmat we ol i planim planti lain long en, tu dispela ples em i gat bikpela mining long planti manmeri long dispela graun.\nEnglish: The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.\nTok Pisin: \'Great Pyramid\' long Giza em i wanpela bilong ol \'seven wonders\' we i sanap yet long tude.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nTok Pisin:'}]"	"""Nau mipela i gat wanpela rat we i no gat sik suga moa na em i gat 4-pela mun,"" dispela man i tok."	Mi save kisim hamas 4-mis bilong maus we i no inap kisim diabetes, tasol bilong taim i stap, ol i save kisim diabetes, em i save addim.
"[{'role': 'user', 'content': 'This is an English to Tok Pisin translation, please provide the Tok Pisin translation for these sentences:\nEnglish: It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.\nTok Pisin: Dispela woa em bai i stap 40-pela yia na pait i kamap tru tru, long ol ami (army) we i makim ol kantri, long ol ples bilong pait long Africa i go long Asia, long Afghanistan, Cuba na planti narapela ples.\nEnglish: ""They are cooler than the surrounding surface in the day and warmer at night.\nTok Pisin: Ol i stap kol moa long ol ples we i raunim ol long san na long nait ol i hot moa long ol ples we i raunim ol.\nEnglish: Such things have become separate disciplines, which focus on providing solutions to real life problems.\nTok Pisin: Dispela kain ol samting i gat wanwan eria bilong stadi bilong ol yet, na i lukluk long ol rot bilong givim ol ansa long ol problem we i save kamap long olgeta de.\nEnglish: Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.\nTok Pisin: Ol risets i kamap long \'Twentieth century\' i bin soim olsem i gat tupela \'pool\' bilong \'genetic variation\': wanpela em i hait na wanpela em i stap ples klia.\nEnglish: All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today.\nTok Pisin: Taim yumi skelim olgeta samting, yumi mas no ken kirap nogut sapos ol tumbuna bilong ol i stretim ol ""problem bilong \'protein\'"" bilong ol long wankain we olsem ol \'chimps\' long \'savanna\' i save mekim long tude.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nTok Pisin:'}]"	Dr. Ehud Ur, em i wanpela profesa bilong marasin long Dalhousie University long Halifax, long Nova Scotia na em i siaman sains na klinik seksen bilong Canadian Diabetes Association i givim tok lukaut olsem dispela risets i nupela yet.	Dr. Ehud Ur, profesa bilong mifesis long Dalhousie University long Halifax, Nova Scotia na praipela bilong klinik na sains divison bilong Canadian Diabetes Association, i kisim wanpela waring long reseach em i stil i save kam long samting bilong samting.
"[{'role': 'user', 'content': ""This is an English to Tok Pisin translation, please provide the Tok Pisin translation for these sentences:\nEnglish: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.\nTok Pisin: Tok ples Italian em ol lain i save wok insait long steit (state) i save yusim tu long toktok long olgeta de na ol i save yusim Latin long mekim ol seremoni (ceremony) bilong lotu.\nEnglish: For the Springboks, it ended a five-match losing streak.\nTok Pisin: Long ol Springboks, em i pinis bilong 5-pela gem we ol i lus i kam inap nau.\nEnglish: Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.\nTok Pisin: Ol narapela 'feral' pikinini em ol lain i tok olsem ol animal long bus i lukautim ol; sampela em ol lain i tok olsem ol i stap ol yet long bus.\nEnglish: Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.\nTok Pisin: Ol 'sport' we planti manmeri i save long en em 'football', 'basketball', 'volleyball', 'water-polo', 'fencing', 'rugby', 'cycling', 'ice hockey', 'roller hockey' na 'F1 motor racing'.\nEnglish: It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).\nTok Pisin: Em i wanpela bilong ol bikpela samting we i save pulim ol turis i go long South Africa na ol i save lukim em olsem impoten samting insait long South African National Parks (SANParks).\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nTok Pisin:""}]"	Wankain olsem ol narapela saveman, em i gat tupela tingting sapos ol i ken oraitim sik suga, em i tok olsem ol dispela samting we ol i painimaut long en, em i no bilong ol manmeri husat i gat Type 1 bilong sik suga.	Olgeta samting bilong ol narapela samting i save kisim samting bilong hia, em i no save kisim samting bilong man i gat diabetes bilong wanpela samting, em i no inap kisim diabetes bilong wanpela samting bilong man i gat diabetes bilong wanpela samting bilong man i gat diabetes bilong wanpela samting bilong man i gat diabetes bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wanpela samting bilong wan
"[{'role': 'user', 'content': ""This is an English to Tok Pisin translation, please provide the Tok Pisin translation for these sentences:\nEnglish: Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.\nTok Pisin: Ol bikpela eria longwe long not em i no gat planti manmeri na sampela ples we i no gat manmeri long en.\nEnglish: In the warm climate of the Middle East, the house was not so important.\nTok Pisin: Long ol ples we i hot long Middle East, haus em i no impoten.\nEnglish: If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.\nTok Pisin: Sapos kantri we yu bai go long en em ol lain i tok save long sampela samting we yu mas lukaut long en, sampela senis bai kamap long 'travel health insurance' o 'trip cancellation insurance' bilong yu.\nEnglish: Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.\nTok Pisin: Bipo, i no olgeta Sámi i bin stap insait long wok bilong lukautim planti lain 'reindeer', tasol ol i stap long painim pis, painim abus na kain olsem, planti bilong ol i save gat 'reindeer' bilong karim kago.\nEnglish: German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.\nTok Pisin: Ol 'German pastry' em ol i gutpela tru, na long Bavaria, ol i gat gutpela teist na i gat kainkain, wankain olsem ol dispela bilong ol lain i stap saut, ol Austria.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nTok Pisin:""}]"	Long Mande, nambawan sekreteri bilong Nobel Commitee for Literature long Swedish Academy, i tokaut long pablik long redio progrem bilong Sveriges Radio long Sweden olsem, ol i bin no inap long toktok wantaim Bob Dylan long 2016 Nobel Prize in Literature we em bin winim, na ol i no wok long traim long toktok wantaim em.	Monti, Sara Danius, stapela siksek long Nobel Kometi long Laitara bilong Swedia Akaademi, i kisim kisim long raesi program long Sveriges Radio long Swedia, i openly anonsim long kometi, i no ken raitim Bob Dylan tasol long winnim Nobel Prize long Laitara bilong 2016, ol i laing givim up long traimim hariapim em.
"[{'role': 'user', 'content': 'This is an English to Tok Pisin translation, please provide the Tok Pisin translation for these sentences:\nEnglish: This means you can visit the historic city for a couple of full days while returning and sleeping on the ship at night.\nTok Pisin: Dispela em i min olsem yu ken lukim siti we i gat histori bilong en long sampela de taim yu kam bek long nait na slip long sip.\nEnglish: Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.\nTok Pisin: Polis i tok ol i saspek olsem wanpela soldia bilong Daesh (ISIL) i kamapim dispela hevi.\nEnglish: Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.\nTok Pisin: Ol atoriti i ting olsem dispela i soim olsem ol dispela kontena we i holim \'uranium\' long dispela senta i mas bruk na i wok long lik (leak).\nEnglish: In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.\nTok Pisin: Na tu, lukaut long ol smel we i save pulim ol bea na ol narapela animal, olsem na no ken karim o kukim kaikai we i gat strongpela smel na mekim kem i stap klin.\nEnglish: When you call someone who is thousands of miles away, you are using a satellite.\nTok Pisin: Taim yu ringim sampela lain we i stap tausen \'mile\' longwe, yu wok long yusim wanpela \'satellite\'.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nTok Pisin:'}]"	"Danius i tok, ""Nau yet, mipela i no wok long mekim wanpela samting. Mi bin ring na salim ol i-meil long man i save wok wantaim em na mi bin kisim ol gutpela bekim na dispela em i inap."""	"Danius i tok, ""Wanem taim bilong tude, mi no ken mekim wanpela samting. Mi save kisim kisim na kisim arapela samting bilong em long samting bilong wanpela samting bilong em nabaut na mi save kisim wanpela no gutpela samting bilong antap long dispela. Tasol long nait bilong tude, mi no ken mekim wanpela samting moa."""
"[{'role': 'user', 'content': 'This is an English to Tok Pisin translation, please provide the Tok Pisin translation for these sentences:\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nTok Pisin: ""Nau mipela i gat wanpela rat we i no gat sik suga moa na em i gat 4-pela mun,"" dispela man i tok.\nEnglish: Wagonways were built in England as early as the 16th Century.\nTok Pisin: Ol Wagonways em ol i bin bildim long England taim bipo long \'16th Century\'.\nEnglish: Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.\nTok Pisin: Planti dai i save kamap bikos ol manmeri i pilim tait long traim long swim i kam bek agensim \'current\', na dispela em i hat long mekim.\nEnglish: Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.\nTok Pisin: Pasin bilong wokabaut long tupela lek em ol i painim long fosil (fossil) bilong ol Australopithecus we i bin stap 4.2-3.9 milien yia i go pinis, tasol ol Sahelanthropus i bin wokabaut long tupela lek long kain taim olsem seven milien yia i go pinis.\nEnglish: Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.\nTok Pisin: \'Duty free shopping\' em i sans long baim ol samting we yu no inap long baim takis na \'excises\' long sampela lokesen.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring\'s CEO, Jamie Siminoff, remarked the company started when his doorbell wasn\'t audible from his shop in his garage.\nTok Pisin:'}]"	Bipo, CEO bilong Ring, Jamie Siminoff, i tok olsem dispela kampani i stat taim em i no inap long harim belo bilong dua bilong haus bilong em taim em i stap long stua bilong em we i stap long ples bilong em long putim kar.	Previou, Ring CEO, Jamie Siminoff, i save tokim em i bin kisim start long kompni bilong em tasol bikos dorbel bilong em i no inap haring long haus bilong em long garijen em i stap.
"[{'role': 'user', 'content': 'This is an English to Tok Pisin translation, please provide the Tok Pisin translation for these sentences:\nEnglish: Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents\' rejection of a child\'s severe intellectual or physical impairment.\nTok Pisin: Dispela kain ol pikinini em ol i save kolim ol olsem ""\'feral"" o wel pikinini. Sampela \'feral\' pikinini em sampela lain (planti taim em i papamam bilong ol yet) i save mekim ol i stap long haus tasol; long sampela taim ol papamama i no bisi long dispela pikinini bikos em i gat samting i rong long het bilong em o long bodi bilong em.\nEnglish: NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.\nTok Pisin: NextGen em i wanpela sistem we FAA i tok olsem em bai larim ol balus long flai long ol sotpela rot na seivim (save) planti milien galen (gallon) bilong \'fuel\' long olgeta yia na daunim mak bilong \'carbon\' we i save go long \'air\'.\nEnglish: Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.\nTok Pisin: Wankain, taim yu gat wanpela Schengen visa, yu no nid long aplai long ol visa long wanwan bilong ol Schengen memba kantri, na dispela seivim taim, mani na pepawok.\nEnglish: Earlier this week, a police helicopter crash killed three people and wounded three more.\nTok Pisin: Sampela taim i go pinis long dispela wik, wanpela helikopta (helicopter) i \'crash\' na i kilim tripela lain na narapela tripela i kisim bagarap long bodi bilong ol.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nTok Pisin: Director of Public Prosecutions, Kier Starmer QC, i givim wanpela tok save long moning we i tokaut olsem ol bai kotim Huhne na Pryce.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nTok Pisin:'}]"	Em i wokim wanpela WiFi belo bilong dua, em i tok.	Em bilipim wanpela Waifai dor bel, em tok.
"[{'role': 'user', 'content': ""This is an English to Tok Pisin translation, please provide the Tok Pisin translation for these sentences:\nEnglish: There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.\nTok Pisin: I gat planti manmeri i stap laip yet husat i bin stap long dispela taim, na planti lain moa husat i gat ol lain we ol laikim i bin dai o ol i bin wok go na dai long hap, ol Jew na ol lain i no Jew wantaim.\nEnglish: Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.\nTok Pisin: Ol tok save long mak bilong spit i stap daunbilo moa long ol narapela seksen — planti taim em i 35-40 mph (56-64 km/h) — na pasin bilong bihainim ol gut em i moa impoten long sakim tok.\nEnglish: They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.\nTok Pisin: Ol i painimaut olsem Sun i save ol wankain bikpela tingting olsem ol narapela sta: Dispela ektiviti bilong olgeta sta long sistem em ol i painimaut olsem 'luminosity' na 'rotation' bilong ol i save mekim ol i tanim tanim, na i no gat narapela samting gen.\nEnglish: Apia was founded in the 1850s and has been the official capital of Samoa since 1959.\nTok Pisin: Apia em ol i bin kamapim em long 1850s na em i bin nambawan kapitol bilong Samoa stat long 1959 i kam inap nau.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nTok Pisin: Director of Public Prosecutions, Kier Starmer QC, i givim wanpela tok save long moning we i tokaut olsem ol bai kotim Huhne na Pryce.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nTok Pisin:""}]"	Siminoff i tok olsem namba bilong ol samting we em i wok long salim i go antap taim emi kamap long wanpela episod bilong Shark Tank progrem we ol lain i stap insait long dispela progrem i no laik long givim em sampela mani bilong helpim bisnis bilong em.	Siminoff i tok pikinini i stap na i go antap wantaim taim em i bin go bek long aksi Shark Tank long 2013, taim em i no gat fund long kisim samting bilong staplain samting bilong em.
"[{'role': 'user', 'content': ""This is an English to Tok Pisin translation, please provide the Tok Pisin translation for these sentences:\nEnglish: The Amazon is also the widest river on Earth, at times six miles wide.\nTok Pisin: Na tu, Amazon em namba wan wara we namel bilong em i bikpela tru long Earth, na mak bilong namel bilong en em i sikspela 'mile'.\nEnglish: Fruit pastries are common, with apples cooked into pastries year round, and cherries and plums making their appearances during the summer.\nTok Pisin: I gat ol planti 'fruit pastry', na i gat ol epol we ol i wokim 'pastry' long en i save stap long olgeta taim bilong yia, na ol 'cherry pastry' na 'plum pastry' em ol i save mekim long taim bilong sama (summer).\nEnglish: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.\nTok Pisin: Ol polis i tok olsem, i luk olsem draiva bilong dispela kar we i bamim dispela man bilong kisim foto bai i no inap long kisim ol sas.\nEnglish: Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.\nTok Pisin: Robin Uthappa i mekim nambawan sko (score) we i winim olgeta bikpela sko bilong dispela 'inning', em i mekim 70-pela 'runs' long 41-pela bal tasol taim em i paitim bal long mak bilong 11-pela foa na 2-pela siks.\nEnglish: Virtual team members often function as the point of contact for their immediate physical group.\nTok Pisin: Ol tim we i save wok wantaim long komputa i save wok stap olsem man o meri we i save bungim ol grup we i wok wantaim long ofis.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nTok Pisin:""}]"	Klostu long pinis bilong yia 2017, Siminoff i kamap long QVC, wanpela televisen 'channel' bilong salim samting,	Long lait 2017, Siminoff i kamap long shopping TV chanel, QVC.
"[{'role': 'user', 'content': ""This is an English to Tok Pisin translation, please provide the Tok Pisin translation for these sentences:\nEnglish: Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.\nTok Pisin: Traim long swim i go long wanpela hap we 'current' i no pulim bek gen o, bihainim mak bilong yu long swim na saposl i gat lain i lukim yu, yu ken tingting long wet long ol lain i ken seivim (save) yu.\nEnglish: Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.\nTok Pisin: Cuomo, husat i gat 53 krismas, i statim wok bilong em olsem gavana long stat bilong dispela yia na i sainim wanpela 'bill' long mun i go pinis we i mekim lo i tok orait long man i maritim man yet na meri i maritim meri yet.\nEnglish: Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.\nTok Pisin: Ol meri i save kukim kaikai autsait long sait bilong haus; ol stoa em ol tebol we i op na i lukluk i go long rot. Ol i save yusim ol ston long bildim ol haus.\nEnglish: Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.\nTok Pisin: Tude planti Sámi i mekim ol wok bilong tude. Wok bilong givim sevis long turis em i save wanpela impoten rot bilong kisim mani long ol Sápmi, long Sámi eria.\nEnglish: For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.\nTok Pisin: Eksampel, long wanwan yia ol sumatin long Bennet School long North Carolina i save disainim wanpela websait long raun bilong ol i go long State Capital, na long wanwan yia dispela websait i kisim nupela stail, tasol ol olpela 'version' i save stap yet 'online' olsem wanpela 'scrapebook'.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nTok Pisin:""}]"	Na tu, Ring i bin givim mani long wanpela sekuriti kampani, ADT Corporation, we i bin laik kisim em i go long kot.	Ring i kisim sindaun long saksies bilong kompani bilong sekuriti, ADT Corporation.
