messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for these sentences:\nEnglish: Accepted were Aristotle\'s views on all matters of science, including psychology.\nIgbo: A nabatara echiche Aristotle gbasara okwu sayensi niile ma mmuta akparamagwa ya bu psychology\nEnglish: In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.\nIgbo: N’oge mbu ya, ihe ngosi a ka egosiputara n’igwe saịtị intaneti na-agba ọsọ nke TogiNet Radio, ebe a lekwasịrị anya na redio na-ekwu okwu.\nEnglish: A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.\nIgbo: Otu akara ọnụọgụ abụọ nwere ike inwe naanị otu n’ime mbamuru abụọ, ya bụ 0 ma ọ bụ 1, ma a na-akpọ akara ndị a dị ka ọnụọgụ keọnụọgụ abụọ - ma ọ bụ bits, iji asụsụ mpụiche kọmputa.\nEnglish: Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world\'s population.\nIgbo: biko cheta na ebe ina aga izute bu n’ezie ogige eliri otutu ozu, dika kwa nwere ihe-oputara ana agaghi agutali onu nye okere onu-ogugu uwa putara-ihe\nEnglish: The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.\nIgbo: Oke Piramid na Giza bụ naanị nke ka kwụ taa n\'ime ihe itụnanya asaa ahụ.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nIgbo:'}]"	Ugbu a, anyị nwere ụmụ oke ọnwa anọ na-arịabu ọrịa shuga mana ha anaghị arịazi ya.	"""Ugbu a anyị nwere ụmụ oke dị ọnwa anọ ndị na-adịghị arịa ọrịa shuga bụ ndị na-arịa ọrịa shuga na mbụ,"" ka o kwukwara."
"[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for these sentences:\nEnglish: It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.\nIgbo: O kwesịrị ịnọru ruo afọ iri anọ na-abịa abịa ma a ga-alụkwa ya n\'ezie, site n\'aka ụsụụ ndị agha nnọchite, n\'ama agha site n\'Afrịka ruo Eshia, n\'ime Afghanistan, Kiuba na ọtụtụ ebe ndị ọzọ.\nEnglish: ""They are cooler than the surrounding surface in the day and warmer at night.\nIgbo: Ha na-adị oyi karịa gburugburu ha n\'ehihie ma dị ọkụ karịa n\'abalị.\nEnglish: Such things have become separate disciplines, which focus on providing solutions to real life problems.\nIgbo: Ụdị ihe ndị ahụ aghụọla nkebi ọzụzụ ndị iche, nke na-agbado anya na-enye ụmụ azịza maka ụmụ nsogbu keụwa dị ire.\nEnglish: Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.\nIgbo: Nnyocha na narị afọ nke iri abụọ egosipụtala na enwere ụdịrị genetik variyeshọn abụọ: nke zoro ezo na nke pụtara apụta.\nEnglish: All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today.\nIgbo: Eleghị anya, ya atụla anyị n\'anya ma ọbụrụ na ndị nna nna anyi ji aka ha gboo ""mkpa protin"" ha n\'usoro dị ka nke enwe bi n\'ọhịa si eme taa.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nIgbo:'}]"	Dr. Ehud Ur, ọkammụta nke ọgwụ na Mahadum Dalhousie nọ na Halifax, Nova Scotia na onye isi oche nke ngalaba ụlọ ọgwụ na sayensi ahụ nke Òtù Ọrịa Shuga ndị Kanada dọrọ aka na ntị na nnyocha ahụ ka nọ n’oge ndị mbụ ya.	Dr. Ehud Ur, prọfesọ nke ọgwụ na Mahadum Dalhousie dị na Halifax, Nova Scotia na onye isi oche nke ngalaba ọrụ nlekọta ahụike na sayensị nke Otu Ndị Ọrịa Shuga Canada dọrọ aka na ntị na nnyocha ahụ ka nọ n'oge mbido ya.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for these sentences:\nEnglish: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.\nIgbo: Asụsụ Itali ka ọtụtụ ndị na-arụ ọrụ na steeti na-asụkwa kwa ụbọchị ebe a na-asụkarị Latin n’emume ndị ụka ga.\nEnglish: For the Springboks, it ended a five-match losing streak.\nIgbo: Maka òtù Springboks ndị ahụ, ọ kwụsịrị na egwuregwu-ise nke ogologo usoro ọdịda.\nEnglish: Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.\nIgbo: Ndị ọzọ bụ ebubo ka eboro n’ọbụ ụmụ anụmanụ kpọpụtara ha; a sịkwara n’ụfọdụ biri n’ime ọhịa na onwe ha.\nEnglish: Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.\nIgbo: Egwuregwu ndị a ma ama gụnyere futbọl, basketbọl, volleybọl, polo-mmiri, fencing, rugby, ịgba ịnyịnya, hockey ice, hockey roller na ịgba ọsọ ụgbọ ala F1.\nEnglish: It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).\nIgbo: Ọ bụ otu n’ime nke isi ihe ndọta nke Ndịda Afrịka ma a na-ewe ya dị ka nke kacha mma nke Ebennọkọta Nkeobodo (SANParks) Ndịda Afrịka.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nIgbo:'}]	Ka ndị ọkachamara ndị ọzọ, o kwenyeghị na a ga agwọtanwu ọrịa shuga, o depụtara na ihe nchọpụta ndị a enweghị mmetụta nye ndị nwere ọrịa shuga Taịp 1.	Dị ka ụfọdụ ndị ọkachamara ndị ọzọ, o nwere obi abụọ ma a pụrụ ịgwọ ọrịa shuga, na-ekwusi ike na nchọpụta ndị a enweghị mkpa maka ndị nwere Ọrịa shuga Ụdị 1.
"[{'role': 'user', 'content': ""This is an English to Igbo translation, please provide the Igbo translation for these sentences:\nEnglish: Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.\nIgbo: Ebe ndị buru ibu na ngapụga ugwu bụ ọzara nke obere ndị mmadụ bi ma ụfọdụ fọrọ nke nta ka ọ bụrụ ebe ndị mmadụ ebighị.\nEnglish: In the warm climate of the Middle East, the house was not so important.\nIgbo: Na ekpem-oku nke udidi na mba ndi etiti owuwa-anyanwu, ulo ahu abachaghi uru.\nEnglish: If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.\nIgbo: Ọ bụrụ na mba ahụ ị ga-aga ileta bụrụ nke nọ n'okpuru otu ndụmọdụ njem, mkpuchi ahụike njem gị ma ọ bụ mkpuchi nkagbu njem gị bụ nke o nwere ike imetụta.\nEnglish: Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.\nIgbo: Ọbụna n'ọdịnala, agbanyeghị, ọ bụghị Sámi niile bụ ndị metụtara n'ime nnukwu ogo ọzụzụ anụmanụ reendiya, mana biri site n'igbu azụ, ịchụ nta na ihe yiri ya, na-enwe reendiya n'ọtụtụ oge dị ka ụmụ anụmanụ akpọbatara.\nEnglish: German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.\nIgbo: Pastrị ndị Jamini dị nnọọ mma; na Bavaria, ọ na-enwe ọtụtụ ihe ma dịkwa iche iche ka nke ndị Ọstrịa, agbata obi ha n'akụkụ ndịda.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nIgbo:""}]"	N'ụbọchị Mọnde, Sara Danius, onye odeakwụkwọ Nobel kọmitii maka akwụkwọ agụmagụ n'ụlọ akwụkwọ Swidin, kwuputara n'ihu ọha na ihe omume redio na Sveriges Redio dị na Swidin, mgbe o siere kọmitii ahụ ike inweta Bob Dilan gbasara mmeri na ihe nrite Nobel na mpaghara Akwụkwọ agụmagụ nke afọ 2016 o nwetara, na ha ahapụlarị mbọ ha na-agba inweta ya.	N'ụbọchị Mọnde, Sara Danius, odeakwụkwọ na-adịgide adịgide nke Kọmitii Nobel maka Akwụkwọ na Swedish Academy, kwupụtara n'ihu ọha n'oge mmemme redio na Sveriges Radio na Sweden na kọmitii ahụ, n'ihi na ha enweghị ike iru Bob Dylan n'ụzọ kpọmkwem gbasara imeri Nobel Prize na Akwụkwọ nke afọ 2016, ahapụla mbọ ha n'ịchọ iru ya.
"[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for these sentences:\nEnglish: This means you can visit the historic city for a couple of full days while returning and sleeping on the ship at night.\nIgbo: Nke a pụtara na i nwere ike ịwere ụfọdụ ụbọchị gaa leta obodo ochie a, ma na-echighata n\'ụgbọ mmiri ịrahụ ụra abalị.\nEnglish: Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.\nIgbo: Ndị uwe ojii sị na ha na-enyo otu onye a na-ebo ebubo na ọ bụ onye agha nnupuisi Daesh (ISIL) dịka onye mere mwakpo ahụ.\nEnglish: Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.\nIgbo: Ndị isi chere na nke a na-egosi na o nwere ike gbọmgbọm ndị ji mmanụ ụgbọ yurenium agbawaala ma na-ehi ehi.\nEnglish: In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.\nIgbo: Na mgbakwunye, mara amara na usi na adọta ụmụ bea na anụ ọhịa ndị ọzọ, ya mere zere ibu ma ọ bụ isi ụmụ nri na-esi usi ma debe kampụ dị ọcha.\nEnglish: When you call someone who is thousands of miles away, you are using a satellite.\nIgbo: Mgbe ikporo mmadu onye no otutu puku maili site n’ebe ino , ihe iji bu igwe satalaiti.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nIgbo:'}]"	"Danius si, ""Ugbu a anyị anaghị eme ihe ọbụla. Akpọọlam oku ma zijere onye ya na ya kacha arụkọ ozi ịntaneetị ma nwetekwa ụsa nnabata. Ugbua nke ahụ zuru oke."""	"Danius kwuru, sị, ""Ugbu a, anyị anaghị eme ihe ọ bụla. Akpọọla m oku ma zipụ ozi-e na onye ọrụ ibe ya kacha nso ma nweta nzaghachi enyi. Maka ugbu a, nke ahụ zuru oke."""
"[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for these sentences:\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nIgbo: Ugbu a, anyị nwere ụmụ oke ọnwa anọ na-arịabu ọrịa shuga mana ha anaghị arịazi ya.\nEnglish: Wagonways were built in England as early as the 16th Century.\nIgbo: E wuru ụzọ ụgbọ ibu gasị n’Ingland dị ka n\'oge dị ka narị afọ nke iri na isii ahụ.\nEnglish: Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.\nIgbo: Imirikiti ọnwụ na-eme n\'ihi ike ọgwụgwụ n\'ịgbalị igwughachi azụ megide kọrenti mmiri, nke nwere ike ọ gaghị ekwe omume.\nEnglish: Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.\nIgbo: Achoputara ọkachamara bipedal na fosil Australopithecus site na nde nde afọ 4.2-3.9 gara aga, o bu ezie na Sahelanthropus nwere ike ije ije n\'ukwu abuo na nde afọ asaa gara aga.\nEnglish: Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.\nIgbo: Azụmaahịa na-enweghị ụtụ isi bụ ohere ịzụ ngwaahịa ndị ewezụgara site na ụtụ isi n’ụgwọ ndị ọzọ n’ebe ụfọdụ.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring\'s CEO, Jamie Siminoff, remarked the company started when his doorbell wasn\'t audible from his shop in his garage.\nIgbo:'}]"	Na mbu,onye isi Ring, Jamie Siminoff, kwuru na ulo oru ya bidoro mgbe onughi mgbirigba ya n’ulo ahia ya di na ime ebe o na adoba ugboala ya.	N'oge gara aga, onye isi oche Ring, Jamie Siminoff, kwuru na ụlọ ọrụ ahụ malitere mgbe ọ nọ na-enweghị ike ịnụ ụda mgbịrịgba ọnụ ụzọ ya n'ime ụlọ ahịa ya dị na gareji.
"[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for these sentences:\nEnglish: Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents\' rejection of a child\'s severe intellectual or physical impairment.\nIgbo: Ụdị ụmụaka a ka a na akpọ ndị azụghị azụ. Ọtụtụ ụmụaka an na azụghị azụ abụrụla ndị ndị mmadụ jituru ejitu (ọ na abụkarị ndị mụrụ ha); oge ụfọdụ ngharịpụ ụmụaka bụ maka ọjụjụ ntụpọ dị na ahụ nwatakịrị ahụ a na ahụ anya maọbụ ntụpọ dị n\' akọ n\'uche ya.\nEnglish: NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.\nIgbo: NextGen bụ otu sistemụ FAA na-asị ga-enye ụgbọ elu òhèerè ife site n’ụzọ kara pee mpe ma chekwa ọtụtụ nde galọnụ nke mmanụ kwa afọ na mkpọfụ anwụrụ.\nEnglish: Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.\nIgbo: N\'otu aka ahụ, site n’inwe otu visa Schengen, ị kwesịghịzi itinye akwụkwọ maka visa otu n’ime mba ndịòtù Schengen nke ọ bụla iche, ya mere chekwa oge, ego na mmepe akwụkwọ.\nEnglish: Earlier this week, a police helicopter crash killed three people and wounded three more.\nIgbo: Na mbido izu a, helịkọpta ndị uwe ojii kpọkasịrị gbuo mmadụ atọ ma merụọ mmadụ atọ ọzọ ahụ.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nIgbo: Onye nchịkwa Amamikpe n\'ihu ọha, Kier Stama QC, kwuru okwu n\'ụtụtụ a ikwusa amamikpe Huhne na Pryce.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nIgbo:'}]"	O kwuru na ọ rụrụ mgbịrịgba ụzọ ji WiFi arụ ọrụ.	O wuru mgbịrịgba ọnụ ụzọ nke nwere WiFi, ka o kwuru.
"[{'role': 'user', 'content': ""This is an English to Igbo translation, please provide the Igbo translation for these sentences:\nEnglish: There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.\nIgbo: A ka nwere ọtụtụ ndị dị ndụ taa lanarịrị oge ha nọrọ ebe a, na ọtụtụ ndị ọzọ ndị nwere ndị ha hụrụ n'anya ndị e gburu ma ọ bụ jiri ọrụ gbuo ha ebe ahụ, ma Ndị Juu ma ndị ọzọ na-abụghị Ndị Juu.\nEnglish: Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.\nIgbo: Ókè ekwomọsọ ebipụtara dị obere karịa n'ụzọ ahụrụ anya na ngalaba ndị ọzọ gara aga ma ndị na-abịa abịa - na-abụkarị mph 35-40 (km/h 56-64) - ma nrubeisi siri ike na ha kara dị mkpa karịa otu ọzọ.\nEnglish: They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.\nIgbo: Ha chọpụtara na Anyanwụ na-arụ ọrụ n’otu ụdị isi iwu dịka kpakpandu ndị ọzọ: A chọpụtara na omume kpakpandu niile nọ na sistemụ bụ onwunwu ọkụ na ntụgharị ha na-anya ha, ma ọ nweghị ihe ọzọ..\nEnglish: Apia was founded in the 1850s and has been the official capital of Samoa since 1959.\nIgbo: E kepụtara Apịa n'afọ ndị 1850; kemgbe 1959, ọ bụ isi obodo Samoa.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nIgbo: Onye nchịkwa Amamikpe n'ihu ọha, Kier Stama QC, kwuru okwu n'ụtụtụ a ikwusa amamikpe Huhne na Pryce.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nIgbo:""}]"	Siminoff sị na orire ahịa gbaliri elu ka ogosichara n'ihe nkiri Shak Tank n'afọ 2013 ebe ndị ndozi ihe ngosi jụrụ itinye ego na mbido.	Siminoff kwuru na ahịa mụbara ka ọ gachara ihe ngosi ya na Shark Tank nke afọ 2013 ebe ndị otu ihe ngosi jụrụ inye ego mmalite ahụ.
"[{'role': 'user', 'content': ""This is an English to Igbo translation, please provide the Igbo translation for these sentences:\nEnglish: The Amazon is also the widest river on Earth, at times six miles wide.\nIgbo: Amazọn bụkwa osimiri kachasị saa mbara n'ụwa, mgbe ụfọdụ ọ na-eru maịlụ isii.\nEnglish: Fruit pastries are common, with apples cooked into pastries year round, and cherries and plums making their appearances during the summer.\nIgbo: A na-ahụkarị ụmụ achịcha mkpụrụ osisi, e ji apụl eme achịcha mgbe niile n'afọ, ejikwa cheri na plọm eme achịcha n'oge sọma.\nEnglish: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.\nIgbo: Dị ka ndị uwe ojii kwuru, ọkwụ ụgbọ ala ahụ suru onye na-ese fòto eleghị anya ọ gaghị enwe ebubo mpụ ọ bụla.\nEnglish: Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.\nIgbo: Robin Uthappa nwetara akara kachasị na innings, ọsọ 70 n’ime naanị ụmụ bọọlụ 41 site n’ịkụ anọ ugboro 11 na isii ugboro 2.\nEnglish: Virtual team members often function as the point of contact for their immediate physical group.\nIgbo: Ndịòtù òtù kedịnuche na-arụkarị ọrụ dị ka ebe nzute mbụ maka òtù ozugbo ha keanahụanya.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nIgbo:""}]"	Na ngwụcha 2017, e gosiri Siminoff na chanel igbe onyonyo QVC.	N'oge ikpeazụ n'afọ 2017, Siminoff pụtara na ọwa telivishọn QVC a na-ere ahịa.
"[{'role': 'user', 'content': ""This is an English to Igbo translation, please provide the Igbo translation for these sentences:\nEnglish: Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.\nIgbo: Gbalịa tụọ atụmatụ ọzọ maka ebe ejidebeghi gị, maọbụ, dabere na nka gị yana ma achọpụtala gị, ị nwere ike ịchere maka nnapụta.\nEnglish: Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.\nIgbo: Kuomo, onye dị afọ iri ise na atọ, bidoro ọchịchị gọọmenti steeti na mbido afọ a ma binye aka n'ọnwa gara aga n'iwu kwadoro mmekọahụ nwoke na nwoke maọbụ nwanyị na nwanyị.\nEnglish: Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.\nIgbo: Ụmụ nwanyị siri nri na mbara eze; ụmụ ụlọ ahịa wụbụ naanị ọgụego mepere emepe na-elefe anya n'okporo ámá. E jire okwute maka ịrụ ụlọ.\nEnglish: Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.\nIgbo: Taa ọtụtụ Sámi na-arụ ọrụ n’ụmụ ahịa nke ugbu a. Njem nleta bụ mkpata egọ dị mkpa na Sápmi, mpaghara Sámi ahụ.\nEnglish: For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.\nIgbo: Na imaatu, kwa afo umu-akwukwo sitere Ulo-akwukwo Bennet di na mpaghara ugwu Carolina na aruputa otu websaiti banyere njem ha na Isi Obodo, kwa afo aga arozihari websaiti a, mana aga edowe udidi ochie ya na ikuku iru oru dika akwukwo-efu.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nIgbo:""}]"	Ring dozikwara otu ikpe ha na ụlọ ọrụ ọzọ na-ahụ maka nchekwa, ADT Corporation nwere.	Ring jikwara okwu ikpe dozie esemokwu ya na ụlọ ọrụ nchekwa asọmpi, ụlọ ọrụ ADT Corporation.
