messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nIgbo:'}]"	Ugbu a, anyị nwere ụmụ oke ọnwa anọ na-arịabu ọrịa shuga mana ha anaghị arịazi ya.	Anyị sọrọ ụlọ ọkụkọ ọdịnihu na-agụụ na-enweghị ndị na-eme diabetes na ndị na-eme diabetes.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nIgbo:'}]	Dr. Ehud Ur, ọkammụta nke ọgwụ na Mahadum Dalhousie nọ na Halifax, Nova Scotia na onye isi oche nke ngalaba ụlọ ọgwụ na sayensi ahụ nke Òtù Ọrịa Shuga ndị Kanada dọrọ aka na ntị na nnyocha ahụ ka nọ n’oge ndị mbụ ya.	Dr. Ehud Ur, ofezi ndịnị ọzọ na Dalhousie University na Halifax, Nova Scotia na onye nkuzi na nke a na-akpọrọ na Canadian Diabetes Association, na-akpọrọ ihe nkiri na-achọrọ na ihe ọ bụla na-eme.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nIgbo:'}]	Ka ndị ọkachamara ndị ọzọ, o kwenyeghị na a ga agwọtanwu ọrịa shuga, o depụtara na ihe nchọpụta ndị a enweghị mmetụta nye ndị nwere ọrịa shuga Taịp 1.	N'ihi na ndị ọrụ ndị ozo, ọ dịghị ike iji nchekwa onwe ya nke a na-emepe diabetes, na-enweghị ike iji ịchọrọ ihe nkiri a na-emepe maka ndị mmadụ ndị na-akpọ Type 1 diabetes.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nIgbo:'}]	N'ụbọchị Mọnde, Sara Danius, onye odeakwụkwọ Nobel kọmitii maka akwụkwọ agụmagụ n'ụlọ akwụkwọ Swidin, kwuputara n'ihu ọha na ihe omume redio na Sveriges Redio dị na Swidin, mgbe o siere kọmitii ahụ ike inweta Bob Dilan gbasara mmeri na ihe nrite Nobel na mpaghara Akwụkwọ agụmagụ nke afọ 2016 o nwetara, na ha ahapụlarị mbọ ha na-agba inweta ya.	Na Mọnde, Sara Danius, onye okenye sekretari nke Ọrịa Nobel nke Literature na Swedish Academy, naanị nke a na ọdịnaya na Sveriges Radio na Sweden, ụbọchị, okenye oke sekretari, na-enwe ọrụ na ọ bụla Bob Dylan n'ime ọrụ ịkpọ Nobel Prize nke 2016 n'akụkụ Literature, na-ekwuola ihe ọ bụla na-enwe ya.
"[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nIgbo:'}]"	"Danius si, ""Ugbu a anyị anaghị eme ihe ọbụla. Akpọọlam oku ma zijere onye ya na ya kacha arụkọ ozi ịntaneetị ma nwetekwa ụsa nnabata. Ugbua nke ahụ zuru oke."""	"Danius si, ""Ebe ahu anyi adighi anya. Nna m bụ nke a, m na-akpọọ na m na-adịghị e-mail na onye nwere ike ọrụ ya nke ọma. Na ihe ọ bụla, ya bụ ihe ọ bụla."""
"[{'role': 'user', 'content': ""This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.\nIgbo:""}]"	Na mbu,onye isi Ring, Jamie Siminoff, kwuru na ulo oru ya bidoro mgbe onughi mgbirigba ya n’ulo ahia ya di na ime ebe o na adoba ugboala ya.	N'ihi na a kọrịta, CEO nke Ring, Jamie Siminoff, na-akpọrọ ndị ọrụ nke ha na ọrụ ya na-akpọrọ n'ime ụlọ ya na n'ime ụlọ ya na-akpọrọ.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nIgbo:'}]	O kwuru na ọ rụrụ mgbịrịgba ụzọ ji WiFi arụ ọrụ.	Ọ bụrụ na ọ bụrụ na ya na-akpọrọ WiFi door bell, ya gwa.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nIgbo:'}]	Siminoff sị na orire ahịa gbaliri elu ka ogosichara n'ihe nkiri Shak Tank n'afọ 2013 ebe ndị ndozi ihe ngosi jụrụ itinye ego na mbido.	Siminoff si na ọrụ gara aga mgbe ọ na-eme ihe 2013 na ụdị Shark Tank nke ọrụ ha na-akpọrọ akwụkwọ na-akpọrọ ihe ọmụma.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nIgbo:'}]	Na ngwụcha 2017, e gosiri Siminoff na chanel igbe onyonyo QVC.	Na 2017 nke ukwuu, Siminoff na-akpọrọ na televishọn ọrụ QVC.
[{'role': 'user', 'content': 'This is an English to Igbo translation, please provide the Igbo translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nIgbo:'}]	Ring dozikwara otu ikpe ha na ụlọ ọrụ ọzọ na-ahụ maka nchekwa, ADT Corporation nwere.	Ring na-akpọrọ akụkọ na ADT Corporation, ọnọdụ nke ndị na-ekwupụta n'ime ọrụ ọrụ.
