messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for these sentences:\nEnglish: Accepted were Aristotle\'s views on all matters of science, including psychology.\nHausa: Cikin wadanda aka amince da su akwai ra’ayin/fahimtar Aristotle kan dukkan batutuwan kimiyya, ciki har da ilimin halayyar dan adam.\nEnglish: In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.\nHausa: A farkon zamanin, an nuna wasan ne kawai a gidan rediyo na yanar gizo mai dogon lokaci TogiNet Radio, shafin da ke mayar da hankali kan maganan rediyo.\nEnglish: A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.\nHausa: Lambar binary na iya samun ɗaya daga darajoji biyu, misali 0 ko 1, kuma waɗannan lambobin ana kiransu da lambobin binary - ko guntaye, in za a yi amfani da yaren kwamfuta.\nEnglish: Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world\'s population.\nHausa: Da fatan za a tuna cewa da gaske ana ziyartar babban kabari ne, kazalika da shafin da ke da kusan ma\'ana ga yawancin ɓangarorin duniya.\nEnglish: The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.\nHausa: Babban alwatikan a Giza shine kawai ɗayan abubuwan al\'ajabi bakwai da har yanzu suke tsaye a yau.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nHausa:'}]"	“Yanzu muna bera mai watanni 4 wadanda ba su da ciwon sukari ba wadanda ke da suke fama da ciwon sukari,” in ji shi.	"""Mun aiki a cikin shan shi ne 4-shi da ya yi wa mice wanda aka yi daibetin, aka yi non-daibetin,"" ya ce kuma.

Hausa translation: ""Mun aiki a cikin shan shi ne 4-shi da ya yi wa mice wanda aka yi daibetin, aka yi non-daibetin,"" ya ce kuma."
"[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for these sentences:\nEnglish: It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.\nHausa: An tsara zai kai shekaru 40 masu zuwa kuma za ayi yaƙe shi a hakika,ta sojojin haya, a filayen yaƙi daga Africa zuwa Asia, a Afghanistan, Cuba da sauran wurare da dama.\nEnglish: ""They are cooler than the surrounding surface in the day and warmer at night.\nHausa: “Suna da sanyi fiye da kewayan farfajiyar ckin rana kuma suna yin dumi da dare.\nEnglish: Such things have become separate disciplines, which focus on providing solutions to real life problems.\nHausa: Irin waɗannan abubuwa sun zama horo daban, waɗanda ke mai da hankali kan samar da mafita ga matsalolin rayuwa.\nEnglish: Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.\nHausa: Binciken ƙarni na ashirin ya nuna cewa akwai rabe-raben halittar gado guda biyu: ɓoyayye da na bayyananne.\nEnglish: All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today.\nHausa: In an yi la’akari da dukkan abubuwa, bai kamata mu yi mamaki ba idan magabatanmu suka magance “matsalar kayan gina jiki” ta irin hanyar da goggon biri a yankin savanna suke yi a yau.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nHausa:'}]"	Dokta Ehud Ur, farfesan magani a Jami’ar Dalhousie da ke Halifax, Nova Scotia kuma shugaban sashen likitanci da bangaren kimiyya na kungiyar masu ciwon sikari ta Kanada ya yi gargadin cewa har yanzu binciken yana kan farkonsa.	Dr. Ehud Ur, a medicine professor a Dalhousie University yana Halifax, Nova Scotia da zaton masu yanar da aurewa a Canadian Diabetes Association ya bayyana da yanar da aurewa a cikin cikin al’ada da yake da yau.
"[{'role': 'user', 'content': ""This is an English to Hausa translation, please provide the Hausa translation for these sentences:\nEnglish: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.\nHausa: Yaren Italiyanci kuma yare ne na yau da kullun da yawancin waɗanda ke aiki a cikin jihar ke amfani dashi yayin da ake amfani da Latin a cikin bukukuwan addini.\nEnglish: For the Springboks, it ended a five-match losing streak.\nHausa: Don 'yan Springboks, ya ƙare rashin nasara a wasanni biyar.\nEnglish: Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.\nHausa: Wasu ana zargin dabbobi ne suka yi rainon su; an ce wasu sun yi rayuwa a daji da kansu.\nEnglish: Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.\nHausa: Shahararrun wasanni sun hada da kwallon kafa, kwallon kwando, wasan kwallon raga, wasan ruwa, wasan takobi, wasan kwallon rugby, tseren kekuna, kwallon gora, wasan kwallon gorar kankara da na tseren motoci na F1.\nEnglish: It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).\nHausa: Yana ɗaya daga cikin manyan wuraren sha’awa na Afirka ta Kudu kuma ana ɗaukarsa a matsayin ja-gaba a wuraren Buɗe Ido na Afirka ta Kudu (SANParks).\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nHausa:""}]"	Kamar wasu ƙwararrun, yana da shakkun cewa ko za a iya warkar da ciwon sukari, inda ya bayyana cewa sakamakon bincike ba shi da alaƙa da mutanen da tuni su ke da nau’in ciwon sukari na 1.	Yana da kyau daidai a kullum shi, kuma ya yi da shakka a cikin an ce kuma ya yi da shakka a cikin an ce kada diabetes ya yi tattauna, domin ya yi da shafi a cikin wannan masa da ya kasance shi ne yayin da ake shafi mana a cikin mutane da ke tunani a Type 1 diabetes.
"[{'role': 'user', 'content': ""This is an English to Hausa translation, please provide the Hausa translation for these sentences:\nEnglish: Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.\nHausa: Manyan yankuna da ke gaba da arewa ba su da yawa kuma wasu kusan ba kowa ke zaune a ciki.\nEnglish: In the warm climate of the Middle East, the house was not so important.\nHausa: A cikin yanayi mai zafi na Gabas ta tsakiya, gida ba shi da matuƙar mahimmanci.\nEnglish: If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.\nHausa: Idan ƙasar da za ka ziyarta ta zama cikin wadanda sai an nemi shawarar masana, inshorar lafiyarka da ta ikon soke tafiya na iya shafuwa.\nEnglish: Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.\nHausa: Ko a al'adance, duk da cewa, ba duk dan Sami bane suka tsunduma cikin harkar kiwo mai yawa, amma sun rayu ne daga kamun kifi, farauta da makamantansu, wadanda suke da dabbobin doki akasarinsu dabbobi.\nEnglish: German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.\nHausa: Kayan ciye-ciyen Jamusawa akwai kyau, kuma a Bavaria, suna da daɗin gaske da mabambanta, irin na maƙwabciyarsu ta kudanci, Austria.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nHausa:""}]"	A ranar Litinin, Sara Danius, sakatariyar dindindin ta Kwamitin Adabi na kungiyar nagartattu a Kwalejin Nazarin Sweden, ta sanar a bainar jama'a yayin wani shirin rediyo a Sveriges Radio a Sweden kwamitin, ba zai iya kaiwa ga Bob Dylan kai tsaye ba game da lashe kyautar Nobel ta 2016 a Adabi, ta yi watsi da ita kokarinta na isa gare shi.	A lokacin da L Monday, Sara Danius, mai sunanka da Nobel Committee for Literature a Sweddish Academy, ya bayyana da kanta a radio program da yake suka shirya a Sveriges Radio, da ya kuma ya bayyana da kusan da aikin ya sa a Bob Dylan ya karya da Nobel Prize for Literature 2016, al'ada suka zabba da aikinsa da shi.
"[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for these sentences:\nEnglish: This means you can visit the historic city for a couple of full days while returning and sleeping on the ship at night.\nHausa: Wannan na nuna cewa kana iya ziyartar birni mai tarihi na kwanaki da dama yayin da ake dawowa ko yin bacci a cikin jirgin ruwan da dare.\nEnglish: Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.\nHausa: \'Yan sanda sun ce suna zargin wani da ake zargin dan ta\'addar Daesh (ISIL) ne da alhakin kai harin.\nEnglish: Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.\nHausa: Hukumomi suna hasashen cewa wannan yana nuna cewa mai yiwuwa gangunan da a ke ajiye man uranium a wurin sun fashe kuma suna zuba.\nEnglish: In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.\nHausa: Bugu da ƙari, ka sani cewa ƙamshi na janyo bear da waɗansu namun daji, don haka guji ɗauka ko dafa abinci mai ƙamshi da kuma tsaftace sansani.\nEnglish: When you call someone who is thousands of miles away, you are using a satellite.\nHausa: Lokacin da kuka kira wanda yake da nisan duban mil kuna amfani da tauraron dan adam.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nHausa:'}]"	Danius ya ce, “Yanzu haka ba mwa yin komi. Na kira na kuma aika emails zuwa abokan aikinsa na kusa na kuma anshi amsoshi masu kyau. A yanzu haka, wannan bai isa ba.”	"Danius ta ce, ""Wannan ake yanzu muka da fahimta ce. Na kira ne da al'ada da abin da ake shirya zuwa mai shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa idan nan da ake shirya zuwa id"
"[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for these sentences:\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nHausa: “Yanzu muna bera mai watanni 4 wadanda ba su da ciwon sukari ba wadanda ke da suke fama da ciwon sukari,” in ji shi.\nEnglish: Wagonways were built in England as early as the 16th Century.\nHausa: An samar da layukan tarago a Ingila tun a wajejen Ƙarni na 16.\nEnglish: Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.\nHausa: Yawancin mace-mace suna faruwa ne sakamakon gajiya da ke ƙoƙari ya koma baya kan na yanzu, wanda ƙila ba zai yiwu ba.\nEnglish: Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.\nHausa: An sami kwarewar dabbobi masu tafiya da kafafu biyu a ƙasusuwan tarihi na Australopithecus daga shekaru miliyan 4.2-3.9 da suka shude, duk da cewa watakila Sahelanthropus sun yi tafiya da kafafu biyu tun wajen shekaru miliyan bakwai da suka gabata.\nEnglish: Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.\nHausa: Sayan kaya ta rahusa ita ce damar siyan kayan da aka kebe daga haraji da fifcewa a wasu wurare.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring\'s CEO, Jamie Siminoff, remarked the company started when his doorbell wasn\'t audible from his shop in his garage.\nHausa:'}]"	A baya, Shugaban kamfanin Ring, Jamie Siminoff, ya bayyana cewa kamfanin ya fara lokacin da ba a jiyo sauti kararrawar jikin ƙofar sa daga shagonsa a cikin garejinsa.	"Ina yanzu, CEO Ring ya ce, Jamie Siminoff, ya shiga ya ce aka shafi a cikin wannan lokaci da doorbell ya ce kasance ya yi wa shi a cikin shi ne magana a tsuntsuwa ta yi wa shi a garaje ya ce.

Note: There might be variations in the Hausa language based on the region and the speaker's background. The provided translation is in standard Hausa language."
"[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for these sentences:\nEnglish: Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents\' rejection of a child\'s severe intellectual or physical impairment.\nHausa: Ana kiran irin waɗannan yaran “sakakku” ko masu wuyar juyawa. Mutane sun sha kulle waɗansu sakakkun yara (yawanci iyayensu ne); a wasu al’amuran kuma barin yaran na da alaƙa da ƙin amincewar iyaye da naƙasar basira ko ta jikin yaro.\nEnglish: NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.\nHausa: NextGen tsari ne wanda FAA ke ikirarin zai bawa jirgin sama damar yin gajeren hanyoyi da kuma adana miliyoyin galan na mai a kowace shekara da kuma yanke hayakin mai.\nEnglish: Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.\nHausa: Hakanan, samun izinin shiga kasashen Schengen, ya sa baka bukatar samun izinin daidaikun kasashe da ke cikin jerin kasashen, hakan na rage asarar lokaci, kudi da cike ciken takardu.\nEnglish: Earlier this week, a police helicopter crash killed three people and wounded three more.\nHausa: A farkon makon nan ne, wani jirgi mai saukar ungulu na yan sanda ya yi hadari inda mutane uku suka rasa rayukansu yayinda wasu ukun su ka jikkata.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nHausa: Darektan gabatar da kara na hukumar, Kier Starmer QC, a safiyar yau ya sanar da gurfanar da mutanen biyu, Huhne da Pryce, a gaban shari’a.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nHausa:'}]"	Ya ce, ya gina ƙararrawar ƙofa ta WiFi.	Yayin aikata a yi yawan WiFi da baya, a kasance.
[{'role': 'user', 'content': 'This is an English to Hausa translation, please provide the Hausa translation for these sentences:\nEnglish: There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.\nHausa: Har yanzu akwai maza da mata da yawa da ke raye waɗanda suka rayu lokacinsu a nan, kuma da yawa da yawa waɗanda suke da ƙaunatattunsu waɗanda aka kashe ko suka yi aiki zuwa can, yahudawa da waɗanda ba Yahudawa ba.\nEnglish: Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.\nHausa: Alamomin kayyade gudun ababen hawa sun yi karanci a nan fiye da a wuraren da ke baya - anfi samun wadanda ba sa wuce mph 35-40 (56-64 km/h) - biyayya ga alamomin na da mahimmanci maimakon rashin yi musu biyayya.\nEnglish: They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.\nHausa: Sun gano cewa Rana na aiki akan manufa iri daya kamar sauran taurari: An gano cewa ayukkan duk taurari a cikin tsarin suna samuwa ne ta hasken su, juyin su, banda haka babu komai.\nEnglish: Apia was founded in the 1850s and has been the official capital of Samoa since 1959.\nHausa: An kafa Apia a shekarun 1850s kuma ta kasance ita ce babban birnin Samoa a hukumance tun 1959.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nHausa: Darektan gabatar da kara na hukumar, Kier Starmer QC, a safiyar yau ya sanar da gurfanar da mutanen biyu, Huhne da Pryce, a gaban shari’a.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nHausa:'}]	Siminoff ya ce tallace-tallace sun bunkasa bayan bayyanarsa a 2013 a cikin wani taron fim na Shark Tank inda taron kwamitin ya nuna ba da tallafin farawa.	Siminoff ya ce kuma aka yi shawarar da kyauta a ranar 2013, a cikin wani lokaci da Shark Tank ya dawo aka yi yin aiki, a cikin wannan lokaci ya kafa aikin aka yi a gaban taurarin al'ada.
"[{'role': 'user', 'content': ""This is an English to Hausa translation, please provide the Hausa translation for these sentences:\nEnglish: The Amazon is also the widest river on Earth, at times six miles wide.\nHausa: Amazon kuma shine kogi mafi fadi a Duniya, a wasu lokutan nisan mil shida.\nEnglish: Fruit pastries are common, with apples cooked into pastries year round, and cherries and plums making their appearances during the summer.\nHausa: Abincin 'ya'yan itace sun zama ruwan dare, ta yin abinci da tufa a tsawon shekara, da kuma cherries da plums da ke bayyana lokacin bazara.\nEnglish: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.\nHausa: Bisa ga fadin yan sanda, direban motan da ya buge mai hoton na iya fuskantan zargin aikata laifi.\nEnglish: Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.\nHausa: Robin Uthapa ya ci makunan wasan kriket mafi sama, guduwa 70 cikin kawai ƙwallaye 41 ta hanyar bugawa huɗu guda 11 da kuma shida guda 2.\nEnglish: Virtual team members often function as the point of contact for their immediate physical group.\nHausa: Mambobin na kan intanet galibi suna aiki a matsayin hanyar tuntuɓa ta rukuninsu na zahiri.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nHausa:""}]"	A ƙarshen 2017, Siminoff ya bayyana a tashar telebijin mai sayarwa ta QVC.	Sa'a 2017 kasar, Siminoff ya ci QVC - jirgin tallafawa da shirinan.
"[{'role': 'user', 'content': ""This is an English to Hausa translation, please provide the Hausa translation for these sentences:\nEnglish: Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.\nHausa: Yi ƙoƙarin auna wani wuri inda ba za a sake samun ka ba ko kuma, ya danganta da ƙwarewarka da kuma cewa ko an gan ka, watakila za ka so jiran ceto.\nEnglish: Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.\nHausa: Cuomo, mai shekaru 53, ya fara mulkin sa a farkon wannan shekarar kuma ya sanya hannu kan wata doka a watan da ya halatta auren jinsi.\nEnglish: Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.\nHausa: Mata sun yi girki a farfajiyar; shagunan buɗe ido ne kawai suna kallon titi. An yi amfani da dutse don gina gidaje.\nEnglish: Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.\nHausa: A yau yawancin Sámi suna yin sana'o'in zamani. Yawon buda ido muhimmin kudin shiga ne a cikin Sámi, yankin na Sámi.\nEnglish: For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.\nHausa: Misali, kowace shekara ɗalibai daga Makarantar Bennet a Arewacin Carolina suna tsara gidan yanar gizo game da tafiyarsu zuwa Babban Birnin Jiha, kowace shekara gidan yanar gizon yana sake fasalin su, amma ana ajiye tsofaffin sigar akan layi don zama littafin shara.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nHausa:""}]"	Ring ta kuma sasanta takardar kotu tsakanin wata kamfanin adawa na tsaro wato ADT Corporation.	Ring ta yi da yawancin karfi a kasuwancin karuwa da shiga da Ring, ADT Corporation.
