messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nMagahi:'}]"	"ऊ कहलई, ""अब हमारा पास 4 महीना के चूहा हई जे गैर-मधुमेह हई जे मधुमेह होई छलई।"""	हमनी के अब चार महीना के चूहा हई जे अब नॉन-डायबिटिक हई जे पहिले डायबिटिक रहल हल, ऊ आउर जोड़लकै।
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nMagahi:'}]	डॉ. एहुद उर, हयलिफ़ैक्स, नोवा स्कोटिया में डलहौज़ी विश्वविद्यालय में मेडिसिन के प्रोफेसर आऊर कैनेडियन डायबिटीज़ एसोसिएशन के नैदानिक ​​आऊर वैज्ञानिक प्रभाग के अध्यक्ष आगाह कलकई कि शोध अभियो अपन शुरुआती दिन में हई।	Dr. Ehud Ur, Dalhousie University, Halifax, Nova Scotia ke dawai ke professor aour Canadian Diabetes Association ke clinical aour scientific division ke adhyaksh chetavani dihalen ki research abhi apna prarambhik din me ba.
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nMagahi:'}]	कुछ अलग विशेषज्ञ के जैसन, उनके येई बात पर संदेह हई कि मधुमेह के ठीक कैल जा सकई छै कि ना, ई देखके कि आई निष्कर्ष के उन लोगन के लेल कोई प्रासंगिकता ना हई जेकरा पहिले से ही 1 टाइप मधुमेह हई।	कुछ अउरी विशेषज्ञ लोगन के नियन, ऊ इ सोच में शंका करऽ हथिन कि का डायबिटीज के इलाज हो सकऽ है, ई नोट करते कि ई खोज सब ओह लोगन के लेल कोई मतलब नइखे जिनका पहिने से टाइप 1 डायबिटीज है।
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nMagahi:'}]	सोमरवा के, स्वीडिश अकादमी में साहित्य के लेल नोबेल समिति के स्थायी सचिव, सारा डेनियस स्वीडन में स्वेरिग्स रेडियो पर एगो रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा कलई, समिति, 2016 में साहित्य में नोबेल पुरस्कार जीते के बारे में सीधे बॉब डायलन तक पहुचाबे में असमर्थ रहलन, ओकरा तक पहुंचे के प्रयास में छोड़ देलन।	सोमार के, स्वीडिश अकादमी में साहित्य खातिर नोबेल कमिटी के स्थायी सचिव सारा डेनियस, स्वेरिजेस रेडियो पर एगो रेडियो कार्यक्रम में सार्वजनिक रूप से घोषणा कइलथिन कि कमिटी, 2016 के साहित्य खातिर नोबेल पुरस्कार जीते वाला बॉब डिलन के सीधा तौर पर संपर्क नइखे कर पावत आउर ओकरा से संपर्क करे के प्रयास छोड़ देलकइ हवे।
"[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nMagahi:'}]"	"डेनियस कहलथिन, ""अभी हम कुछ ना कर रहल हई। हम उनकर सबसे करीबी सहयोगी के फोन कईले हई आऊर ईमेल भेजले हई. एकर बाद हमरा बहुत ही दोस्ताना जवाब मिलल हई। अभी के लेल, ई निश्चित रूप से पर्याप्त हई।"""	"Danius कहलकै, ""अखन हमनी कुछुओ नइखी कर रहल। हम कॉल कइलीयै आउर ओकर सबसे नजदीकी सहयोगी के ईमेल भेजलीयै आउर बड़ा दोस्ताना जवाब पइलीयै। फिलहाल, ई पक्का काफी हवै।"""
"[{'role': 'user', 'content': ""This is an English to Magahi translation, please provide the Magahi translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.\nMagahi:""}]"	अइसे पहिले, रिंग के CEO, जेमी सिमिनॉफ टिप्पणी कलई कि कंपनी तब शुरू होलई जब उनकर गैरेज में उनकर दोकान से ओकरा दरवाजा के घंटी ना सुनाई देत रहलई।	पहिने, Ring के CEO, Jamie Siminoff कहलकै कि कंपनी शुरू भेलै जब ओकर दरवाजा के घंटी ओकरा गैराज में ओकर दोकान से सुनाई नै देत रहै।
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nMagahi:'}]	ऊ एगो वाईफाई दरवाजे के घंटी बनलई, ऊ कहले।	ऊ एगो WiFi दरवाजा घंटी बनौलक हल, ऊ कहलक हल।
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nMagahi:'}]	सिमिनॉफ कहलई कि शार्क टैंक एपिसोड में उनकर 2013 के उपस्थिति के बाद बिक्री में बढ़ोतरी होलई, जहवा शो पैनल स्टार्टअप के वित्त पोषित करे से मना कर देलई।	Siminoff kahlas ki unkar 2013 mein Shark Tank ke episode mein aawat ke baad bikri badh gayal jekra mein show panel startup ke fund dene se mana kar dihalak.
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nMagahi:'}]	2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC पर देखाई देलई।	2017 के अंत में, सिमिनॉफ खरीदारी टेलीविजन चैनल QVC पर देखाई देलनि।
[{'role': 'user', 'content': 'This is an English to Magahi translation, please provide the Magahi translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nMagahi:'}]	रिंग प्रतिस्पर्धा सुरक्षा कंपनी, ADT कोप्रेशन के जौरे एगो मुकदमो निपटलई।	Ringo ek pratispardhi suraksha company, ADT Corporation ke saath mukadma bhi suljha lihalas hai.
