messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nStandard Latvian:'}]"	Mums tagad ir 4 mēnešus vecas peles, kas nav diabēta slimnieces, bet kuras agrāk bija diabēta slimnieces, viņš piebilda.	"""Mums tagad ir četrus mēnešus veci peles, kas vairs nav diabētiķi, bet agrāk bija,"" viņš piebilda."
[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nStandard Latvian:'}]	Dalhuzī Universitātes, kas atrodas Helifeksā, Jaunskotijā, medicīnas profesors un Kanādas Diabēta asociācijas Klīniskā un zinātniskā departamenta priekšsēdētājs Dr. Ehuds Ūrs brīdināja, ka pētījums vēl ir tikai pašā sākuma stadijā.	Dr. Ehuds Urs, medicīnas profesors Dalhauzijas Universitātē Halifaksā, Jaunskotijā un Kanādas Diabēta asociācijas klīniskās un zinātniskās nodaļas priekšsēdētājs brīdināja, ka pētījums vēl ir sākuma stadijā.
[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nStandard Latvian:'}]	Tāpat kā daži citi speciālisti, viņš skeptiski raugās uz to, vai diabētu iespējams ārstēt, un norāda, ka šie pētījuma rezultāti nav saistīti ar cilvēkiem, kuri jau slimo ar 1. tipa cukura diabētu.	Tāpat kā daži citi eksperti, viņš ir skeptisks par to, vai diabētu var izārstēt, norādot, ka šie atklājumi nav saistīti ar cilvēkiem, kuriem jau ir 1. tipa diabēts.
[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nStandard Latvian:'}]	Zviedrijas Akadēmijas Nobela komitejas, kas piešķirt prēmijas literatūrā, ilggadējā sekretāre Sara Daniusa pirmdien Zviedrijas radio „Sveriges Radio” raidījumā publiski paziņoja, ka komiteja nav varējusi tieši sasniegt Bobu Dilanu saistībā ar 2016. gada Nobela prēmijas literatūrā iegūšanu un savus mēģinājumus viņu sasniegt vairs neturpinās.	Pirmdien, Zviedrijas Akadēmijas Nobela komitejas pastāvīgā sekretāre Sara Daniusa publiski paziņoja Sveriges Radio raidījumā Zviedrijā, ka komiteja, nespējot tieši sazināties ar Bobu Dilanu par 2016. gada Nobela prēmijas literatūrā iegūšanu, ir pārtraukusi centienus viņu sasniegt.
"[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nStandard Latvian:'}]"	"Daniusa sacīja: ""Šobrīd mēs nedarām neko. Es esmu zvanījusi un nosūtījusi viņa tuvākajam līdzstrādniekam e-pasta vēstules, un saņēmusi ļoti draudzīgas atbildes. Patriez ar to noteikti pietiek."""	"Danius teica: ""Pašlaik mēs neko nedaram. Es zvanīju un sūtīju e-pastus viņa tuvākajam sadarbības partnerim un saņēmu ļoti draudzīgas atbildes. Pagaidām tas noteikti ir pietiekami."""
"[{'role': 'user', 'content': ""This is an English to Standard Latvian translation, please provide the Standard Latvian translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.\nStandard Latvian:""}]"	Iepriekš uzņēmuma „Ring” izpilddirektors Džeimijs Siminofs atzīmēja, ka viņš nodibinājis uzņēmumu tad, kad viņa veikala durvju zvans nebija dzirdams garāžā.	Iepriekš Ring izpilddirektors Džeimijs Siminofs atzīmēja, ka uzņēmums tika dibināts, kad viņa durvju zvans nebija dzirdams no viņa darbnīcas garāžā.
[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nStandard Latvian:'}]	Pēc viņa teiktā viņš izgudroja bezvadu durvju zvanu.	Viņš uztaisīja WiFi durvju zvanu, viņš teica.
[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nStandard Latvian:'}]	Siminofs teica, ka pārdošanas apjomi pieauga pēc tam, kad viņš 2013. gadā piedalījās vienā realitātes seriāla „Shark Tank” sērijā, kurā šova speciālistu komanda finansējumu jaunuzņēmumam nepiešķīra.	"Siminofs teica, ka pēc viņa 2013. gada uzstāšanās ""Haija tvertnes"" epizodē, kur šova žūrija atteicās finansēt startapu, pārdošana pieauga."
[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nStandard Latvian:'}]	2017. gada beigās Smirnoff parādījās televīzijas iepirkšanās kanālā QVC.	2017. gada beigās Siminofs parādījās iepirkšanās televīzijas kanālā QVC.
[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nStandard Latvian:'}]	Uzņēmums „Ring” arī atrisināja strīdu ar konkurējošo drošības uzņēmumu „ADT Corporation”.	Ring arī noregulēja tiesvedību ar konkurentu drošības uzņēmumu ADT korporāciju.
